tmc,tstamp,speed
129P04124,2020-03-13 00:00:00,56.51
129P04124,2020-03-13 00:10:00,59.23
129P04124,2020-03-13 00:20:00,58.48
129P04124,2020-03-13 00:30:00,59.41
129P04124,2020-03-13 00:40:00,49.02
129P04124,2020-03-13 00:50:00,48.67
129P04124,2020-03-13 01:00:00,44.60
129P04124,2020-03-13 01:10:00,50.22
129P04124,2020-03-13 01:20:00,50.09
129P04124,2020-03-13 01:30:00,50.05
129P04124,2020-03-13 01:40:00,60.48
129P04124,2020-03-13 01:50:00,53.39
129P04124,2020-03-13 02:00:00,50.60
129P04124,2020-03-13 02:10:00,56.04
129P04124,2020-03-13 02:20:00,59.51
129P04124,2020-03-13 02:30:00,62.42
129P04124,2020-03-13 02:40:00,56.00
129P04124,2020-03-13 02:50:00,57.00
129P04124,2020-03-13 03:00:00,60.00
129P04124,2020-03-13 03:10:00,54.73
129P04124,2020-03-13 03:20:00,58.09
129P04124,2020-03-13 03:30:00,59.26
129P04124,2020-03-13 03:40:00,55.37
129P04124,2020-03-13 03:50:00,52.89
129P04124,2020-03-13 04:00:00,57.89
129P04124,2020-03-13 04:10:00,61.46
129P04124,2020-03-13 04:20:00,59.11
129P04124,2020-03-13 04:30:00,60.25
129P04124,2020-03-13 04:40:00,53.24
129P04124,2020-03-13 04:50:00,57.42
129P04124,2020-03-13 05:00:00,57.81
129P04124,2020-03-13 05:10:00,57.57
129P04124,2020-03-13 05:20:00,61.23
129P04124,2020-03-13 05:30:00,58.55
129P04124,2020-03-13 05:40:00,61.06
129P04124,2020-03-13 05:50:00,56.93
129P04124,2020-03-13 06:00:00,59.57
129P04124,2020-03-13 06:10:00,59.61
129P04124,2020-03-13 06:20:00,57.59
129P04124,2020-03-13 06:30:00,60.92
129P04124,2020-03-13 06:40:00,56.31
129P04124,2020-03-13 06:50:00,53.71
129P04124,2020-03-13 07:00:00,57.58
129P04124,2020-03-13 07:10:00,58.80
129P04124,2020-03-13 07:20:00,56.39
129P04124,2020-03-13 07:30:00,54.79
129P04124,2020-03-13 07:40:00,55.72
129P04124,2020-03-13 07:50:00,57.38
129P04124,2020-03-13 08:00:00,54.10
129P04124,2020-03-13 08:10:00,57.20
129P04124,2020-03-13 08:20:00,55.67
129P04124,2020-03-13 08:30:00,53.49
129P04124,2020-03-13 08:40:00,53.29
129P04124,2020-03-13 08:50:00,55.53
129P04124,2020-03-13 09:00:00,54.22
129P04124,2020-03-13 09:10:00,55.97
129P04124,2020-03-13 09:20:00,53.18
129P04124,2020-03-13 09:30:00,53.48
129P04124,2020-03-13 09:40:00,53.34
129P04124,2020-03-13 09:50:00,52.49
129P04124,2020-03-13 10:00:00,52.89
129P04124,2020-03-13 10:10:00,51.89
129P04124,2020-03-13 10:20:00,51.09
129P04124,2020-03-13 10:30:00,51.30
129P04124,2020-03-13 10:40:00,50.98
129P04124,2020-03-13 10:50:00,51.19
129P04124,2020-03-13 11:00:00,51.87
129P04124,2020-03-13 11:10:00,52.59
129P04124,2020-03-13 11:20:00,50.58
129P04124,2020-03-13 11:30:00,50.79
129P04124,2020-03-13 11:40:00,50.98
129P04124,2020-03-13 11:50:00,51.98
129P04124,2020-03-13 12:00:00,51.89
129P04124,2020-03-13 12:10:00,50.69
129P04124,2020-03-13 12:20:00,50.77
129P04124,2020-03-13 12:30:00,49.57
129P04124,2020-03-13 12:40:00,50.89
129P04124,2020-03-13 12:50:00,52.39
129P04124,2020-03-13 13:00:00,51.57
129P04124,2020-03-13 13:10:00,51.47
129P04124,2020-03-13 13:20:00,50.70
