tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length
129+04146,0,46.4330642,46.8635319,0.423509281,I93 NB,MA-213/Exit 48,New Hampshire State Line,3,65,681.8851905
129P04145,1,45.84257853,46.4330642,0.58230387,I93 NB,MA-213/Exit 48,MA-213/Exit 48,3,65,937.2888746
129+04145,2,45.74527415,45.84257853,0.095826811,I93 NB,Pelham St/Exit 47,Pelham St/Exit 47,3,65,153.4764018
129P04144,3,45.37925701,45.74527415,0.35946333,I93 NB,Pelham St/Exit 47,Pelham St/Exit 47,3,65,580.4964548
129+04144,4,44.39691448,45.37925701,0.967313316,I93 NB,MA-110/MA-113/Exit 46,Pelham St/Exit 47,3,65,1554.466804
129P04143,5,43.8628128,44.39691448,0.525802438,I93 NB,MA-110/MA-113/Exit 46,MA-110/MA-113/Exit 46,3,65,845.708938
129+04143,6,43.31508284,43.8628128,0.539372161,I93 NB,River Rd/Exit 45,MA-110/MA-113/Exit 46,3,65,867.2582925
129P04142,7,43.06890372,43.31508284,0.241630708,I93 NB,River Rd/Exit 45,River Rd/Exit 45,3,65,389.813197
129+04142,8,41.38499543,43.06890372,1.656731431,I93 NB,I-495/Exit 44,River Rd/Exit 45,3,65,2666.698023
129P04141,9,40.80945385,41.38499543,0.567987774,I93 NB,I-495/Exit 44,I-495/Exit 44,3,65,911.5422009
129+04141,10,39.94588892,40.80945385,0.849498367,I93 NB,MA-133/Lowell St/Exit 43,I-495/Exit 44,3,65,1367.567838
129P04140,11,39.48096303,39.94588892,0.458082353,I93 NB,MA-133/Lowell St/Exit 43,MA-133/Lowell St/Exit 43,3,65,736.317338
129+04140,12,38.18544729,39.48096303,1.275786105,I93 NB,Dascomb Rd/Exit 42,MA-133/Lowell St/Exit 43,3,65,2051.688441
129P04139,13,37.96123962,38.18544729,0.219925376,I93 NB,Dascomb Rd/Exit 42,Dascomb Rd/Exit 42,3,65,355.0662456
129+04139,14,35.36724725,37.96123962,2.553534054,I93 NB,MA-125/Ballardvale St/Exit 41,Dascomb Rd/Exit 42,4,65,4107.946466
129P04138,15,34.85043611,35.36724725,0.509325473,I93 NB,MA-125/Ballardvale St/Exit 41,MA-125/Ballardvale St/Exit 41,4,65,818.5736288
129+04138,16,34.51751209,34.85043611,0.327125045,I93 NB,MA-62/Exit 40,MA-125/Ballardvale St/Exit 41,4,65,527.2616394
129P04137,17,34.31475044,34.51751209,0.199206971,I93 NB,MA-62/Exit 40,MA-62/Exit 40,4,65,321.0869855
129+04137,18,33.06271019,34.31475044,1.232575558,I93 NB,Concord St/Exit 39,MA-62/Exit 40,4,65,1983.011106
129P04136,19,32.80913227,33.06271019,0.249059415,I93 NB,Concord St/Exit 39,Concord St/Exit 39,4,65,401.5507731
129+04136,20,31.82168081,32.80913227,0.972190143,I93 NB,MA-129/Exit 38,Concord St/Exit 39,4,65,1563.87445
129P04135,21,31.55268536,31.82168081,0.264046019,I93 NB,MA-129/Exit 38,MA-129/Exit 38,4,65,425.9995297
129+04135,22,30.711169,31.55268536,0.828233939,I93 NB,Commerce Way/Exit 37C,MA-129/Exit 38,4,65,1332.789812
129P16182,23,30.04891274,30.711169,0.652107091,I93 NB,Commerce Way/Exit 37C,Commerce Way/Exit 37C,4,65,1048.953498
129+16182,24,29.10922281,30.04891274,0.923809282,I93 NB,I-93/MA-218/Exit 37,Commerce Way/Exit 37C,4,65,1488.172461
129P04134,25,28.59246973,29.10922281,0.508899608,I93 NB,I-95/MA-128/Exit 37,I-95/MA-128/Exit 37,4,65,818.0515026
129+04134,26,27.45208178,28.59246973,1.123063239,I93 NB,Montvale Ave/Exit 36,I-95/MA-128/Exit 37,4,65,1805.755192
129P04133,27,27.07841097,27.45208178,0.367249384,I93 NB,Montvale Ave/Exit 36,Montvale Ave/Exit 36,4,65,591.415999
129+04133,28,26.63809761,27.07841097,0.432977256,I93 NB,Fallon Rd/Exit 35,Montvale Ave/Exit 36,4,65,697.243091
129P04132,29,26.42763394,26.63809761,0.207883467,I93 NB,Fallon Rd/Exit 35,Fallon Rd/Exit 35,4,65,333.3606843
129+04132,30,25.66822707,26.42763394,0.747275487,I93 NB,MA-28/Main St/Exit 34,Fallon Rd/Exit 35,4,65,1202.958749
129P04131,31,25.56717027,25.66822707,0.09896544,I93 NB,MA-28/Main St/Exit 34,MA-28/Main St/Exit 34,4,65,159.9627779
129+04131,32,23.69442563,25.56717027,1.844119067,I93 NB,MA-28/Fellsway/Exit 33,MA-28/Main St/Exit 34,4,65,2965.974966
129P04130,33,23.30426872,23.69442563,0.383713714,I93 NB,MA-28/Fellsway/Exit 33,MA-28/Fellsway/Exit 33,4,55,617.5525543
129+04130,34,23.02867579,23.30426872,0.271777556,I93 NB,MA-60/Exit 32,MA-28/Fellsway/Exit 33,4,55,436.7534671
129P04129,35,22.62096803,23.02867579,0.40052616,I93 NB,MA-60/Exit 32,MA-60/Exit 32,4,55,645.5879168
129+04129,36,22.38452483,22.62096803,0.233817197,I93 NB,Mystic Valley Pkwy/Exit 31,MA-60/Exit 32,4,55,374.5587929
129P04128,37,21.98206407,22.38452483,0.396252958,I93 NB,Mystic Valley Pkwy/Exit 31,Mystic Valley Pkwy/Exit 31,4,55,637.2957656
129+04128,38,21.67090398,21.98206407,0.306521836,I93 NB,Mystic Ave/Exit 30,Mystic Valley Pkwy/Exit 31,4,55,492.7666617
129P04127,39,21.4368594,21.67090398,0.230391286,I93 NB,Mystic Ave/Exit 30,Mystic Ave/Exit 30,4,55,370.6389375
129+04127,40,21.20941322,21.4368594,0.223426687,I93 NB,North of Exit 29,Mystic Ave/Exit 30,4,55,360.0365559
129+14217,41,20.78595778,21.20941322,0.416339458,I93 NB,Exit 29/MA-28/MA-38,North of Exit 29,4,50,670.755761
129P04126,42,20.48513178,20.78595778,0.294979167,I93 NB,Exit 29/MA-28/MA-38,Exit 29/MA-28/MA-38,4,45,474.9606925
129+04126,43,19.80751257,20.48513178,0.670173111,I93 NB,Sullivan Square/Exit 28,Exit 29/MA-28/MA-38,4,45,1078.551301
129P04125,44,19.46619115,19.80751257,0.338528143,I93 NB,Sullivan Square/Exit 28,Sullivan Square/Exit 28,4,45,543.8148028
129+04125,45,19.06200244,19.46619115,0.399468794,I93 NB,On-ramp from Storrow Drive,Sullivan Square/Exit 28,4,45,644.4577285
129P04124,46,18.81689021,19.06200244,0.240286145,I93 NB,US-1/Exit 27,On-ramp from Storrow Drive,4,45,388.0050503
129+04124,47,18.37914432,18.81689021,0.431612325,I93 NB,Zakim Bridge,US-1/Exit 27,4,45,693.2387096
129P04123,48,18.32778351,18.37914432,0.050454935,I93 NB,South of Zakim Bridge,Zakim Bridge,4,45,81.36633469
129+04123,49,18.16157193,18.32778351,0.163942728,I93 NB,Valenti Way,South of Zakim Bridge,4,45,263.2114114
129P04122,50,18.0940202,18.16157193,0.066381075,I93 NB,Exit 26/Storrow Drive,Valenti Way,4,45,106.9752732
129+04122,51,17.81812499,18.0940202,0.271941312,I93 NB,South of Sumner Tunnel,Exit 26/Storrow Drive,4,45,437.4354018
129P04121,52,17.78219113,17.81812499,0.035198645,I93 NB,South of Sumner Tunnel,South of Sumner Tunnel,4,45,56.90826454
129+04121,53,17.57631989,17.78219113,0.20175225,I93 NB,Government CenterNorth St/Exit 23,South of Sumner Tunnel,4,45,324.5266387
129P04120,54,17.53728487,17.57631989,0.038496397,I93 NB,Government CenterNorth St/Exit 23,Government CenterNorth St/Exit 23,4,45,61.88497531
129+04120,55,17.09157838,17.53728487,0.43874813,I93 NB,West of Congress St,Government CenterNorth St/Exit 23,4,45,706.1612355
129P04119,56,17.0332353,17.09157838,0.057679192,I93 NB,Summer St,West of Congress St,4,45,92.72607311
129+04119,57,16.97515418,17.0332353,0.057027331,I93 NB,On-ramp from I-90/East St,Summer St,4,45,92.21705879
129+04118,58,16.92453767,16.97515418,0.050021651,I93 NB,East St,On-ramp from I-90/East St,4,45,80.28077071
129+04117,59,16.78588532,16.92453767,0.136233404,I93 NB,O'Neill Tunnel South Portal/Kneeland St,East St,3,45,219.6136241
129P14199,60,16.71592882,16.78588532,0.06908751,I93 NB,Broadway/Frontage Road on ramp,O'Neill Tunnel South Portal/Kneeland St,3,45,110.9766166
129+14199,61,16.65024445,16.71592882,0.064641401,I93 NB,I-90/Massachusetts Turnpike/Exit 20,Broadway/Frontage Road on ramp,3,45,104.3593923
129P04116,62,16.50729947,16.65024445,0.141011379,I93 NB,I-90/Massachusetts Turnpike/Exit 20,I-90/Massachusetts Turnpike/Exit 20,3,45,226.4576769
129+04116,63,15.88985629,16.50729947,0.607671807,I93 NB,Massachusetts Ave/Exit 18,I-90/Massachusetts Turnpike/Exit 20,3,45,977.4478677
129P04115,64,15.38091046,15.88985629,0.501931268,I93 NB,Massachusetts Ave/Exit 18,Massachusetts Ave/Exit 18,4,45,805.6781454
129+04115,65,15.29802023,15.38091046,0.081652986,I93 NB,Southampton St/Exit 16,Massachusetts Ave/Exit 18,4,45,131.2622376
129P04114,66,15.09003023,15.29802023,0.20514698,I93 NB,Southampton St/Exit 16,Southampton St/Exit 16,4,45,329.3578678
129+04114,67,14.72218565,15.09003023,0.361801537,I93 NB,Columbia Rd/Exit 15,Southampton St/Exit 16,4,45,583.143079
129P04113,68,14.34742402,14.72218565,0.369422635,I93 NB,Columbia Rd/Exit 15,Columbia Rd/Exit 15,4,55,593.8633014
129+04113,69,13.0542664,14.34742402,1.272522083,I93 NB,Morrissey Blvd/Exit 14,Columbia Rd/Exit 15,4,55,2047.988826
129P04112,70,12.95185144,13.0542664,0.100927547,I93 NB,Morrissey Blvd/Exit 14,Morrissey Blvd/Exit 14,4,55,161.9026824
129+04112,71,12.89318313,12.95185144,0.057913579,I93 NB,Freeport St/Exit 13,Morrissey Blvd/Exit 14,4,55,92.99927414
