tmc,tstamp,speed,cvalue
129+04597,2020-01-03 00:00:00,67.89,83.40
129+04597,2020-01-03 00:10:00,63.28,86.10
129+04597,2020-01-03 00:20:00,62.00,84.50
129+04597,2020-01-03 00:30:00,62.00,69.89
129+04597,2020-01-03 00:40:00,70.15,43.30
129+04597,2020-01-03 00:50:00,62.32,54.50
129+04597,2020-01-03 01:00:00,60.00,68.50
129+04597,2020-01-03 01:10:00,63.00,97.00
129+04597,2020-01-03 01:20:00,66.83,94.33
129+04597,2020-01-03 01:30:00,65.07,96.90
129+04597,2020-01-03 01:40:00,62.68,94.70
129+04597,2020-01-03 01:50:00,65.24,86.33
129+04597,2020-01-03 02:00:00,65.10,99.00
129+04597,2020-01-03 02:10:00,64.50,99.00
129+04597,2020-01-03 02:20:00,66.99,85.14
129+04597,2020-01-03 02:30:00,69.21,78.00
129+04597,2020-01-03 02:40:00,66.18,87.50
129+04597,2020-01-03 02:50:00,67.17,96.30
129+04597,2020-01-03 03:00:00,63.32,73.80
129+04597,2020-01-03 03:10:00,63.75,90.10
129+04597,2020-01-03 03:20:00,63.56,93.50
129+04597,2020-01-03 03:30:00,64.89,97.90
129+04597,2020-01-03 03:40:00,66.96,81.90
129+04597,2020-01-03 03:50:00,64.09,97.30
129+04597,2020-01-03 04:00:00,63.19,95.20
129+04597,2020-01-03 04:10:00,66.37,92.90
129+04597,2020-01-03 04:20:00,72.15,46.40
129+04597,2020-01-03 04:30:00,64.21,84.70
129+04597,2020-01-03 04:40:00,63.63,84.80
129+04597,2020-01-03 04:50:00,71.73,56.60
129+04597,2020-01-03 05:00:00,69.28,70.40
129+04597,2020-01-03 05:10:00,69.70,85.00
129+04597,2020-01-03 05:20:00,65.38,99.80
129+04597,2020-01-03 05:30:00,69.79,99.80
129+04597,2020-01-03 05:40:00,68.99,98.90
129+04597,2020-01-03 05:50:00,71.46,77.20
129+04597,2020-01-03 06:00:00,68.24,97.00
129+04597,2020-01-03 06:10:00,68.36,99.30
129+04597,2020-01-03 06:20:00,69.09,99.40
129+04597,2020-01-03 06:30:00,67.99,100.00
129+04597,2020-01-03 06:40:00,67.18,100.00
129+04597,2020-01-03 06:50:00,69.49,100.00
129+04597,2020-01-03 07:00:00,70.39,100.00
129+04597,2020-01-03 07:10:00,69.59,100.00
129+04597,2020-01-03 07:20:00,70.40,100.00
129+04597,2020-01-03 07:30:00,69.19,100.00
129+04597,2020-01-03 07:40:00,70.69,100.00
129+04597,2020-01-03 07:50:00,68.96,100.00
129+04597,2020-01-03 08:00:00,72.07,100.00
