tmc,tstamp,speed,cvalue
129-04612,2020-05-23 00:00:00,61.66,74.90
129-04612,2020-05-23 00:10:00,65.99,94.30
129-04612,2020-05-23 00:20:00,62.84,90.56
129-04612,2020-05-23 00:30:00,61.77,95.10
129-04612,2020-05-23 00:40:00,64.77,92.00
129-04612,2020-05-23 00:50:00,66.74,85.38
129-04612,2020-05-23 01:00:00,63.60,93.10
129-04612,2020-05-23 01:10:00,64.37,84.67
129-04612,2020-05-23 01:20:00,66.89,84.80
129-04612,2020-05-23 01:30:00,65.07,91.10
129-04612,2020-05-23 01:40:00,64.00,87.00
129-04612,2020-05-23 01:50:00,58.46,76.00
129-04612,2020-05-23 02:00:00,57.00,77.60
129-04612,2020-05-23 02:10:00,62.65,95.00
129-04612,2020-05-23 02:20:00,63.00,97.00
129-04612,2020-05-23 02:30:00,63.00,98.00
129-04612,2020-05-23 02:40:00,63.00,97.00
129-04612,2020-05-23 02:50:00,60.09,95.38
129-04612,2020-05-23 03:00:00,62.50,98.83
129-04612,2020-05-23 03:10:00,62.00,100.00
129-04612,2020-05-23 03:20:00,65.00,93.33
129-04612,2020-05-23 03:30:00,64.82,94.83
129-04612,2020-05-23 03:40:00,65.13,94.89
129-04612,2020-05-23 03:50:00,70.32,76.30
129-04612,2020-05-23 04:00:00,70.42,69.60
129-04612,2020-05-23 04:10:00,72.80,64.20
129-04612,2020-05-23 04:20:00,65.87,78.13
129-04612,2020-05-23 04:30:00,66.95,84.30
129-04612,2020-05-23 04:40:00,63.00,71.30
129-04612,2020-05-23 04:50:00,59.46,47.33
129-04612,2020-05-23 05:00:00,82.83,13.33
129-04612,2020-05-23 05:10:00,77.09,60.80
129-04612,2020-05-23 05:20:00,74.47,90.30
129-04612,2020-05-23 05:30:00,71.70,70.63
129-04612,2020-05-23 05:40:00,67.27,49.20
129-04612,2020-05-23 05:50:00,67.96,78.60
129-04612,2020-05-23 06:00:00,70.69,93.40
129-04612,2020-05-23 06:10:00,73.48,72.00
129-04612,2020-05-23 06:20:00,76.61,43.90
129-04612,2020-05-23 06:30:00,68.79,96.80
129-04612,2020-05-23 06:40:00,69.18,97.50
129-04612,2020-05-23 06:50:00,70.78,95.50
129-04612,2020-05-23 07:00:00,67.60,100.00
129-04612,2020-05-23 07:10:00,70.06,90.80
129-04612,2020-05-23 07:20:00,75.57,58.30
129-04612,2020-05-23 07:30:00,71.43,85.20
129-04612,2020-05-23 07:40:00,65.87,100.00
129-04612,2020-05-23 07:50:00,67.74,99.00
129-04612,2020-05-23 08:00:00,67.99,100.00
129-04612,2020-05-23 08:10:00,68.18,99.30
129-04612,2020-05-23 08:20:00,70.10,100.00
129-04612,2020-05-23 08:30:00,70.12,90.90
129-04612,2020-05-23 08:40:00,71.77,93.10
129-04612,2020-05-23 08:50:00,70.49,99.00
129-04612,2020-05-23 09:00:00,70.09,99.00
129-04612,2020-05-23 09:10:00,68.98,99.60
129-04612,2020-05-23 09:20:00,77.34,52.70
129-04612,2020-05-23 09:30:00,76.26,76.20
129-04612,2020-05-23 09:40:00,76.10,80.70
129-04612,2020-05-23 09:50:00,72.35,95.90
129-04612,2020-05-23 10:00:00,69.19,100.00
