tmc,tstamp,speed,cvalue
129P04429,2020-04-18 00:00:00,60.55,45.20
129P04429,2020-04-18 00:10:00,58.07,52.44
129P04429,2020-04-18 00:20:00,60.00,78.00
129P04429,2020-04-18 00:30:00,60.00,99.60
129P04429,2020-04-18 00:40:00,60.00,100.00
129P04429,2020-04-18 00:50:00,53.54,59.29
129P04429,2020-04-18 01:00:00,52.83,68.17
129P04429,2020-04-18 01:10:00,,
129P04429,2020-04-18 01:20:00,62.00,60.33
129P04429,2020-04-18 01:30:00,60.00,83.22
129P04429,2020-04-18 01:40:00,,
129P04429,2020-04-18 01:50:00,,
129P04429,2020-04-18 02:00:00,,
129P04429,2020-04-18 02:10:00,,
129P04429,2020-04-18 02:20:00,,
129P04429,2020-04-18 02:30:00,57.00,
129P04429,2020-04-18 02:40:00,61.00,88.00
129P04429,2020-04-18 02:50:00,54.66,65.20
129P04429,2020-04-18 03:00:00,53.51,86.00
129P04429,2020-04-18 03:10:00,55.00,100.00
129P04429,2020-04-18 03:20:00,61.00,55.83
129P04429,2020-04-18 03:30:00,61.00,64.75
129P04429,2020-04-18 03:40:00,,
129P04429,2020-04-18 03:50:00,,
129P04429,2020-04-18 04:00:00,48.00,32.56
129P04429,2020-04-18 04:10:00,48.00,81.50
129P04429,2020-04-18 04:20:00,50.87,75.50
129P04429,2020-04-18 04:30:00,52.25,65.20
129P04429,2020-04-18 04:40:00,46.73,51.11
129P04429,2020-04-18 04:50:00,58.00,28.25
129P04429,2020-04-18 05:00:00,,
129P04429,2020-04-18 05:10:00,54.00,88.25
129P04429,2020-04-18 05:20:00,56.37,71.80
129P04429,2020-04-18 05:30:00,52.93,76.67
129P04429,2020-04-18 05:40:00,54.31,89.30
129P04429,2020-04-18 05:50:00,56.38,67.80
129P04429,2020-04-18 06:00:00,53.25,88.00
129P04429,2020-04-18 06:10:00,59.49,67.80
129P04429,2020-04-18 06:20:00,62.09,57.40
129P04429,2020-04-18 06:30:00,60.93,99.10
129P04429,2020-04-18 06:40:00,65.46,100.00
129P04429,2020-04-18 06:50:00,60.42,96.10
129P04429,2020-04-18 07:00:00,70.67,50.80
129P04429,2020-04-18 07:10:00,67.90,100.00
129P04429,2020-04-18 07:20:00,64.35,100.00
129P04429,2020-04-18 07:30:00,64.77,100.00
129P04429,2020-04-18 07:40:00,68.26,83.10
129P04429,2020-04-18 07:50:00,66.79,100.00
129P04429,2020-04-18 08:00:00,66.64,100.00
129P04429,2020-04-18 08:10:00,65.18,100.00
129P04429,2020-04-18 08:20:00,66.86,100.00
129P04429,2020-04-18 08:30:00,70.22,80.11
129P04429,2020-04-18 08:40:00,73.99,36.50
129P04429,2020-04-18 08:50:00,65.24,100.00
129P04429,2020-04-18 09:00:00,68.41,99.50
129P04429,2020-04-18 09:10:00,63.17,76.60
129P04429,2020-04-18 09:20:00,60.30,43.20
129P04429,2020-04-18 09:30:00,61.17,84.80
129P04429,2020-04-18 09:40:00,61.71,100.00
129P04429,2020-04-18 09:50:00,68.49,64.50
129P04429,2020-04-18 10:00:00,67.97,68.60
129P04429,2020-04-18 10:10:00,69.56,68.60
129P04429,2020-04-18 10:20:00,67.60,90.60
129P04429,2020-04-18 10:30:00,70.38,87.90
129P04429,2020-04-18 10:40:00,72.72,87.13
129P04429,2020-04-18 10:50:00,69.53,88.00
129P04429,2020-04-18 11:00:00,67.02,72.70
129P04429,2020-04-18 11:10:00,68.69,98.70
129P04429,2020-04-18 11:20:00,63.77,100.00
129P04429,2020-04-18 11:30:00,69.02,86.10
129P04429,2020-04-18 11:40:00,70.91,73.30
129P04429,2020-04-18 11:50:00,66.82,94.80
129P04429,2020-04-18 12:00:00,68.66,90.20
129P04429,2020-04-18 12:10:00,65.87,100.00
129P04429,2020-04-18 12:20:00,65.17,99.70
129P04429,2020-04-18 12:30:00,66.06,98.90
129P04429,2020-04-18 12:40:00,66.72,93.60
129P04429,2020-04-18 12:50:00,73.53,38.50
129P04429,2020-04-18 13:00:00,69.59,93.20
129P04429,2020-04-18 13:10:00,74.54,55.00
129P04429,2020-04-18 13:20:00,72.76,68.80
129P04429,2020-04-18 13:30:00,69.40,84.50
129P04429,2020-04-18 13:40:00,69.89,92.90
129P04429,2020-04-18 13:50:00,63.94,94.30
129P04429,2020-04-18 14:00:00,66.89,99.30
129P04429,2020-04-18 14:10:00,67.96,99.30
129P04429,2020-04-18 14:20:00,64.40,99.10
129P04429,2020-04-18 14:30:00,59.54,98.40
