tmc,tstamp,speed,cvalue
129-04920,2020-03-08 00:00:00,47.89,91.11
129-04920,2020-03-08 00:10:00,47.99,94.00
129-04920,2020-03-08 00:20:00,44.03,70.00
129-04920,2020-03-08 00:30:00,42.00,74.00
129-04920,2020-03-08 00:40:00,44.05,88.13
129-04920,2020-03-08 00:50:00,40.98,80.80
129-04920,2020-03-08 01:00:00,44.37,95.88
129-04920,2020-03-08 01:10:00,47.68,85.00
129-04920,2020-03-08 01:20:00,47.21,94.00
129-04920,2020-03-08 01:30:00,47.00,98.40
129-04920,2020-03-08 01:40:00,45.98,98.63
129-04920,2020-03-08 01:50:00,45.00,96.00
129-04920,2020-03-08 03:00:00,38.83,74.70
129-04920,2020-03-08 03:10:00,43.20,83.20
129-04920,2020-03-08 03:20:00,46.13,81.70
129-04920,2020-03-08 03:30:00,43.17,76.40
129-04920,2020-03-08 03:40:00,43.24,91.90
129-04920,2020-03-08 03:50:00,43.28,96.40
129-04920,2020-03-08 04:00:00,39.61,78.10
129-04920,2020-03-08 04:10:00,46.10,79.90
129-04920,2020-03-08 04:20:00,46.09,83.80
129-04920,2020-03-08 04:30:00,42.54,97.00
129-04920,2020-03-08 04:40:00,42.20,96.30
129-04920,2020-03-08 04:50:00,41.42,86.00
129-04920,2020-03-08 05:00:00,39.10,61.10
129-04920,2020-03-08 05:10:00,45.27,72.90
129-04920,2020-03-08 05:20:00,43.18,94.50
129-04920,2020-03-08 05:30:00,39.17,90.00
129-04920,2020-03-08 05:40:00,48.01,54.40
129-04920,2020-03-08 05:50:00,44.13,90.80
129-04920,2020-03-08 06:00:00,44.06,99.40
129-04920,2020-03-08 06:10:00,44.35,100.00
129-04920,2020-03-08 06:20:00,41.96,96.00
129-04920,2020-03-08 06:30:00,29.62,79.30
129-04920,2020-03-08 06:40:00,47.78,100.00
129-04920,2020-03-08 06:50:00,47.07,98.00
129-04920,2020-03-08 07:00:00,51.08,77.90
129-04920,2020-03-08 07:10:00,44.56,94.80
129-04920,2020-03-08 07:20:00,45.87,99.70
129-04920,2020-03-08 07:30:00,46.17,93.30
129-04920,2020-03-08 07:40:00,50.47,84.40
129-04920,2020-03-08 07:50:00,52.44,71.60
129-04920,2020-03-08 08:00:00,48.48,99.70
129-04920,2020-03-08 08:10:00,45.96,100.00
129-04920,2020-03-08 08:20:00,40.12,98.10
129-04920,2020-03-08 08:30:00,49.45,87.30
129-04920,2020-03-08 08:40:00,46.55,99.70
129-04920,2020-03-08 08:50:00,47.16,100.00
129-04920,2020-03-08 09:00:00,46.17,100.00
129-04920,2020-03-08 09:10:00,48.12,100.00
129-04920,2020-03-08 09:20:00,49.68,100.00
129-04920,2020-03-08 09:30:00,47.36,100.00
129-04920,2020-03-08 09:40:00,48.27,100.00
129-04920,2020-03-08 09:50:00,50.78,99.60
129-04920,2020-03-08 10:00:00,50.76,95.80
129-04920,2020-03-08 10:10:00,49.18,100.00
129-04920,2020-03-08 10:20:00,49.84,97.50
129-04920,2020-03-08 10:30:00,47.90,100.00
129-04920,2020-03-08 10:40:00,47.63,99.60
129-04920,2020-03-08 10:50:00,49.66,96.40
129-04920,2020-03-08 11:00:00,50.17,97.00
129-04920,2020-03-08 11:10:00,44.28,100.00
129-04920,2020-03-08 11:20:00,41.19,89.50
129-04920,2020-03-08 11:30:00,48.63,96.50
129-04920,2020-03-08 11:40:00,48.68,85.40
129-04920,2020-03-08 11:50:00,49.72,85.80
129-04920,2020-03-08 12:00:00,47.19,89.30
129-04920,2020-03-08 12:10:00,51.97,82.90
129-04920,2020-03-08 12:20:00,48.27,100.00
129-04920,2020-03-08 12:30:00,51.02,93.60
129-04920,2020-03-08 12:40:00,49.17,98.50
129-04920,2020-03-08 12:50:00,42.47,81.50
129-04920,2020-03-08 13:00:00,41.98,93.40
129-04920,2020-03-08 13:10:00,47.79,98.40
129-04920,2020-03-08 13:20:00,49.73,98.00
129-04920,2020-03-08 13:30:00,48.69,99.90
129-04920,2020-03-08 13:40:00,47.49,100.00
