tmc,tstamp,speed,cvalue
129-04920,2020-08-25 00:00:00,47.00,94.00
129-04920,2020-08-25 00:10:00,53.48,80.33
129-04920,2020-08-25 00:20:00,56.47,73.90
129-04920,2020-08-25 00:30:00,57.00,80.00
129-04920,2020-08-25 00:40:00,,
129-04920,2020-08-25 00:50:00,48.38,27.33
129-04920,2020-08-25 01:00:00,39.00,48.71
129-04920,2020-08-25 01:10:00,,
129-04920,2020-08-25 01:20:00,38.00,92.00
129-04920,2020-08-25 01:30:00,42.93,71.20
129-04920,2020-08-25 01:40:00,46.60,67.75
129-04920,2020-08-25 01:50:00,,
129-04920,2020-08-25 02:00:00,51.00,74.00
129-04920,2020-08-25 02:10:00,49.24,85.33
129-04920,2020-08-25 02:20:00,,
129-04920,2020-08-25 02:30:00,50.00,
129-04920,2020-08-25 02:40:00,47.28,87.11
129-04920,2020-08-25 02:50:00,45.93,92.50
129-04920,2020-08-25 03:00:00,,
129-04920,2020-08-25 03:10:00,47.61,89.00
129-04920,2020-08-25 03:20:00,45.47,91.40
129-04920,2020-08-25 03:30:00,40.38,75.80
129-04920,2020-08-25 03:40:00,33.21,65.80
129-04920,2020-08-25 03:50:00,39.03,85.80
129-04920,2020-08-25 04:00:00,42.87,92.38
129-04920,2020-08-25 04:10:00,42.00,86.67
129-04920,2020-08-25 04:20:00,39.57,87.43
129-04920,2020-08-25 04:30:00,42.76,79.00
129-04920,2020-08-25 04:40:00,52.90,34.80
129-04920,2020-08-25 04:50:00,52.36,52.00
129-04920,2020-08-25 05:00:00,45.95,83.60
129-04920,2020-08-25 05:10:00,43.81,80.30
129-04920,2020-08-25 05:20:00,44.73,73.50
129-04920,2020-08-25 05:30:00,41.27,66.70
129-04920,2020-08-25 05:40:00,47.57,76.90
129-04920,2020-08-25 05:50:00,45.85,83.90
129-04920,2020-08-25 06:00:00,47.64,79.40
129-04920,2020-08-25 06:10:00,49.52,60.60
129-04920,2020-08-25 06:20:00,44.55,91.10
129-04920,2020-08-25 06:30:00,51.25,83.40
129-04920,2020-08-25 06:40:00,49.39,95.80
129-04920,2020-08-25 06:50:00,48.98,100.00
129-04920,2020-08-25 07:00:00,51.07,92.90
129-04920,2020-08-25 07:10:00,46.00,95.10
129-04920,2020-08-25 07:20:00,44.42,78.00
129-04920,2020-08-25 07:30:00,47.44,98.30
129-04920,2020-08-25 07:40:00,48.19,95.70
129-04920,2020-08-25 07:50:00,45.64,91.10
129-04920,2020-08-25 08:00:00,43.80,81.40
129-04920,2020-08-25 08:10:00,47.93,82.60
129-04920,2020-08-25 08:20:00,49.59,79.20
