tmc,tstamp,speed
129P04124,2020-03-18 00:00:00,56.06,95.10
129P04124,2020-03-18 00:10:00,58.93,88.60
129P04124,2020-03-18 00:20:00,59.99,83.88
129P04124,2020-03-18 00:30:00,,
129P04124,2020-03-18 00:40:00,64.86,35.63
129P04124,2020-03-18 00:50:00,55.40,33.00
129P04124,2020-03-18 01:00:00,46.55,44.50
129P04124,2020-03-18 01:10:00,54.89,97.50
129P04124,2020-03-18 01:20:00,49.96,82.10
129P04124,2020-03-18 01:30:00,45.00,65.63
129P04124,2020-03-18 01:40:00,48.00,98.11
129P04124,2020-03-18 01:50:00,64.31,20.00
129P04124,2020-03-18 02:00:00,63.20,47.70
129P04124,2020-03-18 02:10:00,60.00,82.75
129P04124,2020-03-18 02:20:00,,
129P04124,2020-03-18 02:30:00,57.00,88.11
129P04124,2020-03-18 02:40:00,62.43,68.33
129P04124,2020-03-18 02:50:00,64.80,69.10
129P04124,2020-03-18 03:00:00,45.05,15.10
129P04124,2020-03-18 03:10:00,42.39,32.80
129P04124,2020-03-18 03:20:00,,
129P04124,2020-03-18 03:30:00,44.08,100.00
129P04124,2020-03-18 03:40:00,58.06,53.30
129P04124,2020-03-18 03:50:00,57.68,67.20
129P04124,2020-03-18 04:00:00,56.48,71.67
129P04124,2020-03-18 04:10:00,65.97,43.50
129P04124,2020-03-18 04:20:00,63.56,81.00
129P04124,2020-03-18 04:30:00,58.58,92.90
129P04124,2020-03-18 04:40:00,57.14,86.40
129P04124,2020-03-18 04:50:00,69.11,31.80
129P04124,2020-03-18 05:00:00,70.68,39.60
129P04124,2020-03-18 05:10:00,53.51,47.40
129P04124,2020-03-18 05:20:00,64.08,67.30
129P04124,2020-03-18 05:30:00,63.11,85.00
129P04124,2020-03-18 05:40:00,62.98,90.40
129P04124,2020-03-18 05:50:00,55.88,91.00
129P04124,2020-03-18 06:00:00,61.56,95.20
129P04124,2020-03-18 06:10:00,58.85,93.20
129P04124,2020-03-18 06:20:00,59.06,96.30
129P04124,2020-03-18 06:30:00,60.93,93.10
129P04124,2020-03-18 06:40:00,55.67,100.00
129P04124,2020-03-18 06:50:00,57.11,100.00
129P04124,2020-03-18 07:00:00,60.78,91.00
129P04124,2020-03-18 07:10:00,62.38,81.70
129P04124,2020-03-18 07:20:00,62.99,89.70
129P04124,2020-03-18 07:30:00,63.18,92.00
129P04124,2020-03-18 07:40:00,62.24,91.60
129P04124,2020-03-18 07:50:00,59.47,100.00
129P04124,2020-03-18 08:00:00,62.25,97.80
129P04124,2020-03-18 08:10:00,60.77,99.90
129P04124,2020-03-18 08:20:00,59.38,99.40
129P04124,2020-03-18 08:30:00,61.08,98.30
