tmc,tstamp,speed
129P04124,2020-03-10 00:00:00,53.86,56.00
129P04124,2020-03-10 00:10:00,48.80,30.20
129P04124,2020-03-10 00:20:00,52.18,86.89
129P04124,2020-03-10 00:30:00,53.47,93.20
129P04124,2020-03-10 00:40:00,52.48,95.90
129P04124,2020-03-10 00:50:00,51.00,96.00
129P04124,2020-03-10 01:00:00,54.26,83.33
129P04124,2020-03-10 01:10:00,55.73,78.40
129P04124,2020-03-10 01:20:00,52.98,94.80
129P04124,2020-03-10 01:30:00,57.38,82.60
129P04124,2020-03-10 01:40:00,59.00,83.00
129P04124,2020-03-10 01:50:00,69.99,16.80
129P04124,2020-03-10 02:00:00,63.49,46.90
129P04124,2020-03-10 02:10:00,55.24,66.60
129P04124,2020-03-10 02:20:00,62.59,99.10
129P04124,2020-03-10 02:30:00,47.50,32.22
129P04124,2020-03-10 02:40:00,52.17,74.20
129P04124,2020-03-10 02:50:00,55.93,96.00
129P04124,2020-03-10 03:00:00,63.98,53.10
129P04124,2020-03-10 03:10:00,54.84,75.80
129P04124,2020-03-10 03:20:00,61.87,75.30
129P04124,2020-03-10 03:30:00,65.00,69.67
129P04124,2020-03-10 03:40:00,51.78,32.00
129P04124,2020-03-10 03:50:00,65.75,73.60
129P04124,2020-03-10 04:00:00,61.55,98.10
129P04124,2020-03-10 04:10:00,58.11,66.30
129P04124,2020-03-10 04:20:00,63.95,88.50
129P04124,2020-03-10 04:30:00,59.47,82.80
129P04124,2020-03-10 04:40:00,61.55,95.90
129P04124,2020-03-10 04:50:00,63.65,85.50
129P04124,2020-03-10 05:00:00,59.47,88.70
129P04124,2020-03-10 05:10:00,54.55,48.50
129P04124,2020-03-10 05:20:00,56.70,77.30
129P04124,2020-03-10 05:30:00,59.08,97.20
129P04124,2020-03-10 05:40:00,60.77,78.70
129P04124,2020-03-10 05:50:00,58.30,99.00
129P04124,2020-03-10 06:00:00,61.27,93.70
129P04124,2020-03-10 06:10:00,57.55,100.00
129P04124,2020-03-10 06:20:00,53.02,100.00
129P04124,2020-03-10 06:30:00,56.49,100.00
129P04124,2020-03-10 06:40:00,53.71,100.00
129P04124,2020-03-10 06:50:00,55.78,100.00
129P04124,2020-03-10 07:00:00,55.81,100.00
129P04124,2020-03-10 07:10:00,55.39,100.00
129P04124,2020-03-10 07:20:00,55.68,100.00
129P04124,2020-03-10 07:30:00,57.18,100.00
129P04124,2020-03-10 07:40:00,54.44,100.00
129P04124,2020-03-10 07:50:00,57.21,88.00
129P04124,2020-03-10 08:00:00,60.47,82.60
129P04124,2020-03-10 08:10:00,59.11,97.50
129P04124,2020-03-10 08:20:00,53.77,100.00
129P04124,2020-03-10 08:30:00,51.98,100.00
129P04124,2020-03-10 08:40:00,56.83,96.20
129P04124,2020-03-10 08:50:00,59.24,88.70
129P04124,2020-03-10 09:00:00,56.19,100.00
129P04124,2020-03-10 09:10:00,56.28,99.10
