tmc,tstamp,speed,cvalue
129-04128,2020-12-28 00:00:00,66.39,100.00
129-04128,2020-12-28 00:10:00,66.85,100.00
129-04128,2020-12-28 00:20:00,64.97,100.00
129-04128,2020-12-28 00:30:00,59.26,100.00
129-04128,2020-12-28 00:40:00,60.41,100.00
129-04128,2020-12-28 00:50:00,63.85,100.00
129-04128,2020-12-28 01:00:00,63.79,100.00
129-04128,2020-12-28 01:10:00,61.30,100.00
129-04128,2020-12-28 01:20:00,55.14,97.00
129-04128,2020-12-28 01:30:00,59.19,100.00
129-04128,2020-12-28 01:40:00,58.78,100.00
129-04128,2020-12-28 01:50:00,57.46,100.00
129-04128,2020-12-28 02:00:00,63.00,100.00
129-04128,2020-12-28 02:10:00,61.98,100.00
129-04128,2020-12-28 02:20:00,63.89,100.00
129-04128,2020-12-28 02:30:00,65.88,100.00
129-04128,2020-12-28 02:40:00,65.70,100.00
129-04128,2020-12-28 02:50:00,58.08,100.00
129-04128,2020-12-28 03:00:00,68.49,100.00
129-04128,2020-12-28 03:10:00,69.79,100.00
129-04128,2020-12-28 03:20:00,72.47,100.00
129-04128,2020-12-28 03:30:00,69.78,100.00
129-04128,2020-12-28 03:40:00,67.54,100.00
129-04128,2020-12-28 03:50:00,66.68,100.00
129-04128,2020-12-28 04:00:00,65.85,100.00
129-04128,2020-12-28 04:10:00,68.59,100.00
129-04128,2020-12-28 04:20:00,66.76,100.00
129-04128,2020-12-28 04:30:00,69.34,100.00
129-04128,2020-12-28 04:40:00,70.35,100.00
129-04128,2020-12-28 04:50:00,72.24,100.00
129-04128,2020-12-28 05:00:00,70.39,100.00
129-04128,2020-12-28 05:10:00,70.36,100.00
129-04128,2020-12-28 05:20:00,68.03,100.00
129-04128,2020-12-28 05:30:00,65.74,100.00
129-04128,2020-12-28 05:40:00,66.35,100.00
129-04128,2020-12-28 05:50:00,64.49,100.00
129-04128,2020-12-28 06:00:00,66.30,98.00
129-04128,2020-12-28 06:10:00,64.41,98.00
129-04128,2020-12-28 06:20:00,65.21,95.00
129-04128,2020-12-28 06:30:00,62.96,93.00
129-04128,2020-12-28 06:40:00,60.98,93.00
129-04128,2020-12-28 06:50:00,64.65,90.00
129-04128,2020-12-28 07:00:00,65.28,90.00
129-04128,2020-12-28 07:10:00,64.49,90.00
129-04128,2020-12-28 07:20:00,66.27,90.00
129-04128,2020-12-28 07:30:00,63.18,91.00
129-04128,2020-12-28 07:40:00,64.97,90.00
129-04128,2020-12-28 07:50:00,64.27,91.00
129-04128,2020-12-28 08:00:00,66.33,90.00
129-04128,2020-12-28 08:10:00,63.55,90.00
129-04128,2020-12-28 08:20:00,66.30,90.00
129-04128,2020-12-28 08:30:00,63.82,90.00
129-04128,2020-12-28 08:40:00,64.39,90.00
129-04128,2020-12-28 08:50:00,64.39,90.00
129-04128,2020-12-28 09:00:00,67.05,90.00
129-04128,2020-12-28 09:10:00,64.40,94.00
129-04128,2020-12-28 09:20:00,66.75,99.00
129-04128,2020-12-28 09:30:00,65.41,100.00
129-04128,2020-12-28 09:40:00,64.45,100.00
129-04128,2020-12-28 09:50:00,64.08,100.00
129-04128,2020-12-28 10:00:00,63.29,100.00
129-04128,2020-12-28 10:10:00,65.98,100.00
129-04128,2020-12-28 10:20:00,64.82,100.00
129-04128,2020-12-28 10:30:00,63.84,100.00
129-04128,2020-12-28 10:40:00,63.99,100.00
129-04128,2020-12-28 10:50:00,67.64,100.00
129-04128,2020-12-28 11:00:00,68.72,100.00
129-04128,2020-12-28 11:10:00,65.32,100.00
129-04128,2020-12-28 11:20:00,64.73,100.00
129-04128,2020-12-28 11:30:00,61.40,100.00
129-04128,2020-12-28 11:40:00,65.90,100.00
129-04128,2020-12-28 11:50:00,64.46,100.00
129-04128,2020-12-28 12:00:00,65.14,100.00
129-04128,2020-12-28 12:10:00,67.69,100.00
129-04128,2020-12-28 12:20:00,65.29,100.00
129-04128,2020-12-28 12:30:00,62.69,100.00
129-04128,2020-12-28 12:40:00,64.02,100.00
129-04128,2020-12-28 12:50:00,64.20,100.00
129-04128,2020-12-28 13:00:00,64.47,100.00
129-04128,2020-12-28 13:10:00,67.64,100.00
129-04128,2020-12-28 13:20:00,66.66,100.00
129-04128,2020-12-28 13:30:00,66.61,100.00
129-04128,2020-12-28 13:40:00,61.29,100.00
129-04128,2020-12-28 13:50:00,65.63,100.00
129-04128,2020-12-28 14:00:00,66.18,100.00
129-04128,2020-12-28 14:10:00,67.00,100.00
129-04128,2020-12-28 14:20:00,64.59,100.00
129-04128,2020-12-28 14:30:00,62.51,100.00
129-04128,2020-12-28 14:40:00,63.10,100.00
129-04128,2020-12-28 14:50:00,67.18,100.00
129-04128,2020-12-28 15:00:00,65.92,100.00
129-04128,2020-12-28 15:10:00,65.48,100.00
129-04128,2020-12-28 15:20:00,61.57,100.00
129-04128,2020-12-28 15:30:00,64.09,100.00
129-04128,2020-12-28 15:40:00,65.49,100.00
129-04128,2020-12-28 15:50:00,63.24,100.00
129-04128,2020-12-28 16:00:00,68.05,100.00
129-04128,2020-12-28 16:10:00,64.07,100.00
129-04128,2020-12-28 16:20:00,58.33,100.00
129-04128,2020-12-28 16:30:00,66.34,100.00
129-04128,2020-12-28 16:40:00,65.98,100.00
129-04128,2020-12-28 16:50:00,61.13,100.00
129-04128,2020-12-28 17:00:00,59.02,100.00
129-04128,2020-12-28 17:10:00,62.93,100.00
129-04128,2020-12-28 17:20:00,60.74,100.00
129-04128,2020-12-28 17:30:00,63.60,100.00
129-04128,2020-12-28 17:40:00,62.77,100.00
129-04128,2020-12-28 17:50:00,58.53,100.00
129-04128,2020-12-28 18:00:00,61.13,100.00
129-04128,2020-12-28 18:10:00,62.35,100.00
129-04128,2020-12-28 18:20:00,65.48,100.00
129-04128,2020-12-28 18:30:00,64.48,100.00
129-04128,2020-12-28 18:40:00,63.24,100.00
129-04128,2020-12-28 18:50:00,65.98,100.00
