tmc,tstamp,speed,cvalue
129P04366,2021-01-21 00:00:00,65.30,100.00
129P04366,2021-01-21 00:10:00,66.48,100.00
129P04366,2021-01-21 00:20:00,66.90,100.00
129P04366,2021-01-21 00:30:00,64.98,100.00
129P04366,2021-01-21 00:40:00,64.00,100.00
129P04366,2021-01-21 00:50:00,67.12,100.00
129P04366,2021-01-21 01:00:00,66.53,100.00
129P04366,2021-01-21 01:10:00,64.99,100.00
129P04366,2021-01-21 01:20:00,64.07,100.00
129P04366,2021-01-21 01:30:00,62.97,100.00
129P04366,2021-01-21 01:40:00,61.80,100.00
129P04366,2021-01-21 01:50:00,59.53,100.00
129P04366,2021-01-21 02:00:00,56.90,100.00
129P04366,2021-01-21 02:10:00,57.99,100.00
129P04366,2021-01-21 02:20:00,58.64,100.00
129P04366,2021-01-21 02:30:00,62.09,100.00
129P04366,2021-01-21 02:40:00,62.19,100.00
129P04366,2021-01-21 02:50:00,63.15,100.00
129P04366,2021-01-21 03:00:00,68.69,100.00
129P04366,2021-01-21 03:10:00,66.58,100.00
129P04366,2021-01-21 03:20:00,66.29,100.00
129P04366,2021-01-21 03:30:00,67.34,100.00
129P04366,2021-01-21 03:40:00,63.79,100.00
129P04366,2021-01-21 03:50:00,62.69,100.00
129P04366,2021-01-21 04:00:00,63.85,100.00
129P04366,2021-01-21 04:10:00,66.10,100.00
129P04366,2021-01-21 04:20:00,66.20,100.00
129P04366,2021-01-21 04:30:00,61.49,100.00
129P04366,2021-01-21 04:40:00,65.21,100.00
129P04366,2021-01-21 04:50:00,67.46,100.00
129P04366,2021-01-21 05:00:00,66.26,100.00
129P04366,2021-01-21 05:10:00,68.17,100.00
129P04366,2021-01-21 05:20:00,68.08,100.00
129P04366,2021-01-21 05:30:00,70.25,100.00
129P04366,2021-01-21 05:40:00,70.69,100.00
129P04366,2021-01-21 05:50:00,68.65,100.00
129P04366,2021-01-21 06:00:00,69.88,100.00
129P04366,2021-01-21 06:10:00,68.87,100.00
129P04366,2021-01-21 06:20:00,68.65,100.00
129P04366,2021-01-21 06:30:00,69.30,100.00
129P04366,2021-01-21 06:40:00,64.85,100.00
129P04366,2021-01-21 06:50:00,67.49,100.00
129P04366,2021-01-21 07:00:00,67.13,100.00
129P04366,2021-01-21 07:10:00,64.16,100.00
129P04366,2021-01-21 07:20:00,65.10,100.00
129P04366,2021-01-21 07:30:00,68.44,100.00
129P04366,2021-01-21 07:40:00,67.30,100.00
129P04366,2021-01-21 07:50:00,66.38,100.00
129P04366,2021-01-21 08:00:00,65.00,100.00
129P04366,2021-01-21 08:10:00,68.45,100.00
129P04366,2021-01-21 08:20:00,68.92,100.00
129P04366,2021-01-21 08:30:00,67.32,100.00
129P04366,2021-01-21 08:40:00,67.34,100.00
129P04366,2021-01-21 08:50:00,67.99,100.00
129P04366,2021-01-21 09:00:00,67.97,100.00
129P04366,2021-01-21 09:10:00,67.46,100.00
129P04366,2021-01-21 09:20:00,68.29,100.00
129P04366,2021-01-21 09:30:00,68.08,100.00
129P04366,2021-01-21 09:40:00,67.57,100.00
129P04366,2021-01-21 09:50:00,65.66,100.00
129P04366,2021-01-21 10:00:00,65.72,100.00
129P04366,2021-01-21 10:10:00,67.23,100.00
129P04366,2021-01-21 10:20:00,65.47,100.00
129P04366,2021-01-21 10:30:00,66.58,100.00
129P04366,2021-01-21 10:40:00,65.79,100.00
129P04366,2021-01-21 10:50:00,67.97,100.00
129P04366,2021-01-21 11:00:00,68.80,100.00
129P04366,2021-01-21 11:10:00,67.35,100.00
129P04366,2021-01-21 11:20:00,66.15,100.00
129P04366,2021-01-21 11:30:00,66.44,100.00
129P04366,2021-01-21 11:40:00,68.01,100.00
129P04366,2021-01-21 11:50:00,68.07,100.00
129P04366,2021-01-21 12:00:00,69.77,100.00
129P04366,2021-01-21 12:10:00,69.11,100.00
129P04366,2021-01-21 12:20:00,67.68,100.00
129P04366,2021-01-21 12:30:00,69.12,100.00
129P04366,2021-01-21 12:40:00,69.04,100.00
129P04366,2021-01-21 12:50:00,66.28,100.00
129P04366,2021-01-21 13:00:00,68.38,100.00
129P04366,2021-01-21 13:10:00,67.62,100.00
129P04366,2021-01-21 13:20:00,66.65,100.00
129P04366,2021-01-21 13:30:00,65.58,100.00
129P04366,2021-01-21 13:40:00,67.10,100.00
129P04366,2021-01-21 13:50:00,65.59,100.00
129P04366,2021-01-21 14:00:00,66.78,100.00
129P04366,2021-01-21 14:10:00,65.76,100.00
129P04366,2021-01-21 14:20:00,68.35,100.00
129P04366,2021-01-21 14:30:00,67.94,100.00
129P04366,2021-01-21 14:40:00,66.54,100.00
129P04366,2021-01-21 14:50:00,66.34,100.00
129P04366,2021-01-21 15:00:00,64.64,100.00
129P04366,2021-01-21 15:10:00,67.38,100.00
129P04366,2021-01-21 15:20:00,68.77,100.00
129P04366,2021-01-21 15:30:00,69.61,100.00
129P04366,2021-01-21 15:40:00,68.57,100.00
129P04366,2021-01-21 15:50:00,69.88,100.00
129P04366,2021-01-21 16:00:00,69.29,100.00
129P04366,2021-01-21 16:10:00,67.84,100.00
129P04366,2021-01-21 16:20:00,67.27,100.00
129P04366,2021-01-21 16:30:00,68.96,99.00
129P04366,2021-01-21 16:40:00,67.36,97.00
129P04366,2021-01-21 16:50:00,63.80,99.00
129P04366,2021-01-21 17:00:00,67.95,91.00
129P04366,2021-01-21 17:10:00,62.94,95.00
129P04366,2021-01-21 17:20:00,64.45,92.00
129P04366,2021-01-21 17:30:00,64.96,96.00
129P04366,2021-01-21 17:40:00,64.46,97.00
129P04366,2021-01-21 17:50:00,66.38,96.00
129P04366,2021-01-21 18:00:00,69.76,94.00
129P04366,2021-01-21 18:10:00,67.59,96.00
129P04366,2021-01-21 18:20:00,66.62,100.00
129P04366,2021-01-21 18:30:00,66.58,100.00
129P04366,2021-01-21 18:40:00,66.09,100.00
129P04366,2021-01-21 18:50:00,68.35,100.00
129P04366,2021-01-21 19:00:00,68.82,100.00
129P04366,2021-01-21 19:10:00,69.22,100.00
129P04366,2021-01-21 19:20:00,69.36,100.00
129P04366,2021-01-21 19:30:00,69.41,100.00
129P04366,2021-01-21 19:40:00,67.96,100.00
129P04366,2021-01-21 19:50:00,68.93,100.00
129P04366,2021-01-21 20:00:00,67.56,100.00
129P04366,2021-01-21 20:10:00,69.17,100.00
129P04366,2021-01-21 20:20:00,66.46,100.00
129P04366,2021-01-21 20:30:00,70.69,100.00
129P04366,2021-01-21 20:40:00,68.50,100.00
129P04366,2021-01-21 20:50:00,68.79,100.00
129P04366,2021-01-21 21:00:00,67.96,100.00
129P04366,2021-01-21 21:10:00,68.39,100.00
129P04366,2021-01-21 21:20:00,66.58,100.00
129P04366,2021-01-21 21:30:00,67.47,100.00
129P04366,2021-01-21 21:40:00,68.30,100.00
129P04366,2021-01-21 21:50:00,69.47,100.00
129P04366,2021-01-21 22:00:00,67.55,100.00
129P04366,2021-01-21 22:10:00,70.16,100.00
129P04366,2021-01-21 22:20:00,67.97,100.00
129P04366,2021-01-21 22:30:00,67.89,100.00
129P04366,2021-01-21 22:40:00,67.76,100.00
129P04366,2021-01-21 22:50:00,68.29,100.00
129P04366,2021-01-21 23:00:00,67.80,100.00
129P04366,2021-01-21 23:10:00,62.23,100.00
129P04366,2021-01-21 23:20:00,58.30,100.00
129P04366,2021-01-21 23:30:00,61.83,100.00
129P04366,2021-01-21 23:40:00,66.20,100.00
129P04366,2021-01-21 23:50:00,68.96,100.00
129P04365,2021-01-21 00:00:00,66.47,100.00
129P04365,2021-01-21 00:10:00,65.68,100.00
129P04365,2021-01-21 00:20:00,64.80,100.00
129P04365,2021-01-21 00:30:00,63.39,100.00
129P04365,2021-01-21 00:40:00,62.69,100.00
129P04365,2021-01-21 00:50:00,65.40,100.00
129P04365,2021-01-21 01:00:00,66.58,100.00
129P04365,2021-01-21 01:10:00,62.13,100.00
129P04365,2021-01-21 01:20:00,60.49,100.00
129P04365,2021-01-21 01:30:00,58.93,100.00
129P04365,2021-01-21 01:40:00,59.79,100.00
129P04365,2021-01-21 01:50:00,58.14,100.00
129P04365,2021-01-21 02:00:00,53.30,93.30
129P04365,2021-01-21 02:10:00,52.90,91.50
129P04365,2021-01-21 02:20:00,57.51,96.00
129P04365,2021-01-21 02:30:00,60.59,100.00
129P04365,2021-01-21 02:40:00,59.78,100.00
129P04365,2021-01-21 02:50:00,65.33,100.00
129P04365,2021-01-21 03:00:00,69.59,100.00
129P04365,2021-01-21 03:10:00,65.97,100.00
129P04365,2021-01-21 03:20:00,66.57,100.00
129P04365,2021-01-21 03:30:00,63.99,100.00
129P04365,2021-01-21 03:40:00,60.98,100.00
129P04365,2021-01-21 03:50:00,59.29,100.00
129P04365,2021-01-21 04:00:00,59.43,100.00
129P04365,2021-01-21 04:10:00,66.10,100.00
129P04365,2021-01-21 04:20:00,64.89,100.00
129P04365,2021-01-21 04:30:00,59.83,100.00
129P04365,2021-01-21 04:40:00,63.92,100.00
129P04365,2021-01-21 04:50:00,66.18,100.00
129P04365,2021-01-21 05:00:00,66.43,100.00
129P04365,2021-01-21 05:10:00,68.87,100.00
129P04365,2021-01-21 05:20:00,68.09,100.00
129P04365,2021-01-21 05:30:00,70.99,100.00
129P04365,2021-01-21 05:40:00,69.63,100.00
129P04365,2021-01-21 05:50:00,69.46,100.00
129P04365,2021-01-21 06:00:00,68.75,100.00
129P04365,2021-01-21 06:10:00,66.02,100.00
129P04365,2021-01-21 06:20:00,66.56,100.00
129P04365,2021-01-21 06:30:00,66.86,100.00
129P04365,2021-01-21 06:40:00,64.32,100.00
129P04365,2021-01-21 06:50:00,66.72,100.00
129P04365,2021-01-21 07:00:00,65.37,100.00
129P04365,2021-01-21 07:10:00,63.10,100.00
129P04365,2021-01-21 07:20:00,64.04,100.00
129P04365,2021-01-21 07:30:00,66.48,100.00
129P04365,2021-01-21 07:40:00,65.70,100.00
129P04365,2021-01-21 07:50:00,65.84,100.00
129P04365,2021-01-21 08:00:00,66.04,100.00
129P04365,2021-01-21 08:10:00,63.69,100.00
129P04365,2021-01-21 08:20:00,67.64,96.20
129P04365,2021-01-21 08:30:00,65.55,98.30
