tmc,tstamp,speed,cvalue
129P04366,2020-03-25 00:00:00,62.65,83.89
129P04366,2020-03-25 00:10:00,,
129P04366,2020-03-25 00:20:00,68.00,93.86
129P04366,2020-03-25 00:30:00,61.99,90.20
129P04366,2020-03-25 00:40:00,61.97,93.90
129P04366,2020-03-25 00:50:00,59.86,75.00
129P04366,2020-03-25 01:00:00,65.60,78.71
129P04366,2020-03-25 01:10:00,68.00,66.67
129P04366,2020-03-25 01:20:00,60.00,77.00
129P04366,2020-03-25 01:30:00,,
129P04366,2020-03-25 01:40:00,64.87,92.20
129P04366,2020-03-25 01:50:00,58.53,51.43
129P04366,2020-03-25 02:00:00,57.42,74.88
129P04366,2020-03-25 02:10:00,63.00,96.20
129P04366,2020-03-25 02:20:00,63.00,98.00
129P04366,2020-03-25 02:30:00,60.97,87.00
129P04366,2020-03-25 02:40:00,67.27,44.90
129P04366,2020-03-25 02:50:00,67.26,83.70
129P04366,2020-03-25 03:00:00,64.70,76.50
129P04366,2020-03-25 03:10:00,64.28,97.90
129P04366,2020-03-25 03:20:00,68.63,68.30
129P04366,2020-03-25 03:30:00,67.53,51.10
129P04366,2020-03-25 03:40:00,62.97,77.14
129P04366,2020-03-25 03:50:00,63.53,83.30
129P04366,2020-03-25 04:00:00,65.37,96.40
129P04366,2020-03-25 04:10:00,68.74,66.60
129P04366,2020-03-25 04:20:00,66.09,55.60
129P04366,2020-03-25 04:30:00,67.30,46.70
129P04366,2020-03-25 04:40:00,74.16,51.90
129P04366,2020-03-25 04:50:00,76.10,56.90
129P04366,2020-03-25 05:00:00,64.94,56.00
129P04366,2020-03-25 05:10:00,63.34,58.40
129P04366,2020-03-25 05:20:00,65.78,72.90
129P04366,2020-03-25 05:30:00,68.22,87.70
129P04366,2020-03-25 05:40:00,74.27,46.80
129P04366,2020-03-25 05:50:00,68.90,85.70
129P04366,2020-03-25 06:00:00,68.55,100.00
129P04366,2020-03-25 06:10:00,70.88,99.30
129P04366,2020-03-25 06:20:00,69.76,100.00
129P04366,2020-03-25 06:30:00,71.83,95.80
129P04366,2020-03-25 06:40:00,67.80,97.00
129P04366,2020-03-25 06:50:00,69.08,100.00
129P04366,2020-03-25 07:00:00,67.09,100.00
129P04366,2020-03-25 07:10:00,73.27,100.00
129P04366,2020-03-25 07:20:00,70.25,100.00
129P04366,2020-03-25 07:30:00,70.97,97.70
129P04366,2020-03-25 07:40:00,73.54,94.60
129P04366,2020-03-25 07:50:00,75.29,95.60
129P04366,2020-03-25 08:00:00,72.45,100.00
129P04366,2020-03-25 08:10:00,69.98,98.20
129P04366,2020-03-25 08:20:00,69.49,100.00
129P04366,2020-03-25 08:30:00,68.88,97.70
129P04366,2020-03-25 08:40:00,71.33,98.20
