tmc,tstamp,speed,cvalue
129-04368,2020-03-27 00:00:00,,
129-04368,2020-03-27 00:10:00,62.00,99.00
129-04368,2020-03-27 00:20:00,62.00,99.00
129-04368,2020-03-27 00:30:00,,
129-04368,2020-03-27 00:40:00,,
129-04368,2020-03-27 00:50:00,68.66,75.67
129-04368,2020-03-27 01:00:00,69.00,84.90
129-04368,2020-03-27 01:10:00,63.00,68.00
129-04368,2020-03-27 01:20:00,,
129-04368,2020-03-27 01:30:00,,
129-04368,2020-03-27 01:40:00,63.07,78.33
129-04368,2020-03-27 01:50:00,60.98,84.25
129-04368,2020-03-27 02:00:00,79.16,19.89
129-04368,2020-03-27 02:10:00,68.37,72.90
129-04368,2020-03-27 02:20:00,81.75,40.00
129-04368,2020-03-27 02:30:00,68.99,83.50
129-04368,2020-03-27 02:40:00,67.77,66.90
129-04368,2020-03-27 02:50:00,60.69,42.20
129-04368,2020-03-27 03:00:00,60.82,66.50
129-04368,2020-03-27 03:10:00,66.38,91.90
129-04368,2020-03-27 03:20:00,66.55,77.60
129-04368,2020-03-27 03:30:00,60.55,87.57
129-04368,2020-03-27 03:40:00,59.26,69.50
129-04368,2020-03-27 03:50:00,57.43,63.30
129-04368,2020-03-27 04:00:00,72.05,29.70
129-04368,2020-03-27 04:10:00,64.61,42.78
129-04368,2020-03-27 04:20:00,56.98,78.90
129-04368,2020-03-27 04:30:00,68.60,73.70
129-04368,2020-03-27 04:40:00,73.57,71.70
129-04368,2020-03-27 04:50:00,72.06,81.20
129-04368,2020-03-27 05:00:00,70.15,84.10
129-04368,2020-03-27 05:10:00,69.19,87.30
129-04368,2020-03-27 05:20:00,77.30,61.10
129-04368,2020-03-27 05:30:00,73.65,88.30
129-04368,2020-03-27 05:40:00,73.07,100.00
129-04368,2020-03-27 05:50:00,72.07,100.00
129-04368,2020-03-27 06:00:00,73.24,100.00
129-04368,2020-03-27 06:10:00,70.67,100.00
129-04368,2020-03-27 06:20:00,69.83,98.60
129-04368,2020-03-27 06:30:00,65.63,100.00
129-04368,2020-03-27 06:40:00,66.88,100.00
129-04368,2020-03-27 06:50:00,68.95,100.00
129-04368,2020-03-27 07:00:00,68.63,86.80
129-04368,2020-03-27 07:10:00,66.58,100.00
129-04368,2020-03-27 07:20:00,67.84,100.00
129-04368,2020-03-27 07:30:00,71.18,100.00
129-04368,2020-03-27 07:40:00,68.12,99.90
129-04368,2020-03-27 07:50:00,66.45,100.00
129-04368,2020-03-27 08:00:00,67.68,100.00
129-04368,2020-03-27 08:10:00,71.85,100.00
129-04368,2020-03-27 08:20:00,70.45,100.00
129-04368,2020-03-27 08:30:00,67.14,96.40
129-04368,2020-03-27 08:40:00,66.41,100.00
129-04368,2020-03-27 08:50:00,67.17,100.00
129-04368,2020-03-27 09:00:00,65.57,98.40
129-04368,2020-03-27 09:10:00,69.70,81.40
129-04368,2020-03-27 09:20:00,64.77,99.40
129-04368,2020-03-27 09:30:00,69.09,100.00
129-04368,2020-03-27 09:40:00,70.12,98.20
129-04368,2020-03-27 09:50:00,73.28,69.40
129-04368,2020-03-27 10:00:00,70.12,99.30
129-04368,2020-03-27 10:10:00,67.34,98.50
129-04368,2020-03-27 10:20:00,65.97,97.00
129-04368,2020-03-27 10:30:00,70.95,100.00
129-04368,2020-03-27 10:40:00,71.67,99.50
129-04368,2020-03-27 10:50:00,71.65,100.00
129-04368,2020-03-27 11:00:00,70.17,97.90
129-04368,2020-03-27 11:10:00,65.63,100.00
129-04368,2020-03-27 11:20:00,73.64,84.40
129-04368,2020-03-27 11:30:00,70.35,100.00
129-04368,2020-03-27 11:40:00,71.33,100.00
129-04368,2020-03-27 11:50:00,70.69,100.00
129-04368,2020-03-27 12:00:00,72.37,100.00
129-04368,2020-03-27 12:10:00,73.01,100.00
129-04368,2020-03-27 12:20:00,77.58,100.00
129-04368,2020-03-27 12:30:00,74.59,100.00
129-04368,2020-03-27 12:40:00,69.37,95.10
