tmc,tstamp,speed,cvalue
129P04267,2020-09-18 00:00:00,52.20,90.00
129P04267,2020-09-18 00:10:00,57.46,90.00
129P04267,2020-09-18 00:20:00,56.98,96.00
129P04267,2020-09-18 00:30:00,57.00,100.00
129P04267,2020-09-18 00:40:00,56.05,100.00
129P04267,2020-09-18 00:50:00,56.57,100.00
129P04267,2020-09-18 01:00:00,57.54,100.00
129P04267,2020-09-18 01:10:00,60.99,100.00
129P04267,2020-09-18 01:20:00,60.70,99.00
129P04267,2020-09-18 01:30:00,56.34,95.00
129P04267,2020-09-18 01:40:00,54.00,100.00
129P04267,2020-09-18 01:50:00,52.10,100.00
129P04267,2020-09-18 02:00:00,50.07,93.00
129P04267,2020-09-18 02:10:00,48.20,90.00
129P04267,2020-09-18 02:20:00,48.00,90.00
129P04267,2020-09-18 02:30:00,,
129P04267,2020-09-18 02:40:00,51.15,95.00
129P04267,2020-09-18 02:50:00,49.49,100.00
129P04267,2020-09-18 03:00:00,49.00,100.00
129P04267,2020-09-18 03:10:00,48.30,92.00
129P04267,2020-09-18 03:20:00,48.00,90.00
129P04267,2020-09-18 03:30:00,48.00,90.00
129P04267,2020-09-18 03:40:00,,
129P04267,2020-09-18 03:50:00,,
129P04267,2020-09-18 04:00:00,,
129P04267,2020-09-18 04:10:00,49.29,100.00
129P04267,2020-09-18 04:20:00,52.80,100.00
129P04267,2020-09-18 04:30:00,52.70,100.00
129P04267,2020-09-18 04:40:00,52.99,98.00
129P04267,2020-09-18 04:50:00,52.70,90.00
129P04267,2020-09-18 05:00:00,52.00,90.00
129P04267,2020-09-18 05:10:00,52.00,90.00
129P04267,2020-09-18 05:20:00,49.32,100.00
129P04267,2020-09-18 05:30:00,48.00,100.00
129P04267,2020-09-18 05:40:00,49.40,100.00
129P04267,2020-09-18 05:50:00,53.40,95.00
129P04267,2020-09-18 06:00:00,53.00,90.00
129P04267,2020-09-18 06:10:00,60.62,99.00
129P04267,2020-09-18 06:20:00,62.49,100.00
129P04267,2020-09-18 06:30:00,58.19,100.00
129P04267,2020-09-18 06:40:00,54.83,100.00
129P04267,2020-09-18 06:50:00,55.37,100.00
129P04267,2020-09-18 07:00:00,57.40,100.00
129P04267,2020-09-18 07:10:00,55.63,100.00
129P04267,2020-09-18 07:20:00,57.19,100.00
129P04267,2020-09-18 07:30:00,56.15,100.00
129P04267,2020-09-18 07:40:00,56.69,100.00
129P04267,2020-09-18 07:50:00,57.36,100.00
129P04267,2020-09-18 08:00:00,55.28,100.00
129P04267,2020-09-18 08:10:00,52.43,100.00
129P04267,2020-09-18 08:20:00,57.21,100.00
129P04267,2020-09-18 08:30:00,51.68,100.00
129P04267,2020-09-18 08:40:00,53.36,100.00
129P04267,2020-09-18 08:50:00,55.88,100.00
129P04267,2020-09-18 09:00:00,58.88,100.00
129P04267,2020-09-18 09:10:00,57.07,100.00
129P04267,2020-09-18 09:20:00,54.76,100.00
129P04267,2020-09-18 09:30:00,54.89,100.00
129P04267,2020-09-18 09:40:00,53.48,100.00
129P04267,2020-09-18 09:50:00,54.90,100.00
129P04267,2020-09-18 10:00:00,55.65,100.00
129P04267,2020-09-18 10:10:00,56.46,100.00
129P04267,2020-09-18 10:20:00,52.80,100.00
129P04267,2020-09-18 10:30:00,53.23,100.00
129P04267,2020-09-18 10:40:00,62.99,100.00
129P04267,2020-09-18 10:50:00,55.89,100.00
129P04267,2020-09-18 11:00:00,54.94,100.00
129P04267,2020-09-18 11:10:00,52.98,100.00
129P04267,2020-09-18 11:20:00,54.60,100.00
129P04267,2020-09-18 11:30:00,56.57,100.00
129P04267,2020-09-18 11:40:00,52.77,100.00
129P04267,2020-09-18 11:50:00,54.85,100.00
129P04267,2020-09-18 12:00:00,54.98,100.00
129P04267,2020-09-18 12:10:00,56.40,100.00
129P04267,2020-09-18 12:20:00,57.89,100.00
129P04267,2020-09-18 12:30:00,56.51,100.00
129P04267,2020-09-18 12:40:00,56.75,100.00
129P04267,2020-09-18 12:50:00,59.31,100.00
129P04267,2020-09-18 13:00:00,54.45,100.00
129P04267,2020-09-18 13:10:00,54.74,100.00
129P04267,2020-09-18 13:20:00,58.16,100.00
129P04267,2020-09-18 13:30:00,54.16,100.00
129P04267,2020-09-18 13:40:00,55.76,100.00
129P04267,2020-09-18 13:50:00,54.45,100.00
129P04267,2020-09-18 14:00:00,54.59,100.00
129P04267,2020-09-18 14:10:00,56.38,100.00
129P04267,2020-09-18 14:20:00,50.78,100.00
129P04267,2020-09-18 14:30:00,53.35,100.00
129P04267,2020-09-18 14:40:00,51.27,100.00
129P04267,2020-09-18 14:50:00,54.73,100.00
129P04267,2020-09-18 15:00:00,55.17,100.00
129P04267,2020-09-18 15:10:00,53.15,100.00
129P04267,2020-09-18 15:20:00,50.96,100.00
129P04267,2020-09-18 15:30:00,54.78,100.00
129P04267,2020-09-18 15:40:00,52.54,100.00
129P04267,2020-09-18 15:50:00,56.31,100.00
129P04267,2020-09-18 16:00:00,56.79,100.00
129P04267,2020-09-18 16:10:00,57.89,100.00
129P04267,2020-09-18 16:20:00,56.47,100.00
129P04267,2020-09-18 16:30:00,55.57,100.00
129P04267,2020-09-18 16:40:00,55.03,100.00
129P04267,2020-09-18 16:50:00,57.80,100.00
129P04267,2020-09-18 17:00:00,55.49,100.00
129P04267,2020-09-18 17:10:00,53.12,100.00
129P04267,2020-09-18 17:20:00,53.97,100.00
129P04267,2020-09-18 17:30:00,55.68,100.00
129P04267,2020-09-18 17:40:00,56.61,100.00
129P04267,2020-09-18 17:50:00,56.09,100.00
129P04267,2020-09-18 18:00:00,55.30,100.00
129P04267,2020-09-18 18:10:00,53.79,100.00
129P04267,2020-09-18 18:20:00,52.48,100.00
129P04267,2020-09-18 18:30:00,55.00,100.00
129P04267,2020-09-18 18:40:00,56.62,100.00
129P04267,2020-09-18 18:50:00,58.01,100.00
129P04267,2020-09-18 19:00:00,59.54,100.00
129P04267,2020-09-18 19:10:00,56.63,100.00
129P04267,2020-09-18 19:20:00,56.17,100.00
129P04267,2020-09-18 19:30:00,56.84,100.00
129P04267,2020-09-18 19:40:00,55.95,100.00
129P04267,2020-09-18 19:50:00,59.56,100.00
129P04267,2020-09-18 20:00:00,56.65,100.00
129P04267,2020-09-18 20:10:00,57.19,100.00
129P04267,2020-09-18 20:20:00,56.29,100.00
129P04267,2020-09-18 20:30:00,54.96,100.00
129P04267,2020-09-18 20:40:00,57.69,100.00
129P04267,2020-09-18 20:50:00,55.47,100.00
129P04267,2020-09-18 21:00:00,52.37,100.00
129P04267,2020-09-18 21:10:00,54.80,100.00
129P04267,2020-09-18 21:20:00,55.38,100.00
129P04267,2020-09-18 21:30:00,57.53,100.00
129P04267,2020-09-18 21:40:00,54.23,100.00
129P04267,2020-09-18 21:50:00,55.05,100.00
129P04267,2020-09-18 22:00:00,56.59,100.00
129P04267,2020-09-18 22:10:00,57.90,100.00
129P04267,2020-09-18 22:20:00,57.97,100.00
129P04267,2020-09-18 22:30:00,61.00,100.00
129P04267,2020-09-18 22:40:00,60.30,100.00
129P04267,2020-09-18 22:50:00,55.58,100.00
129P04267,2020-09-18 23:00:00,56.33,100.00
129P04267,2020-09-18 23:10:00,59.08,100.00
129P04267,2020-09-18 23:20:00,56.28,100.00
129P04267,2020-09-18 23:30:00,53.77,100.00
129P04267,2020-09-18 23:40:00,55.10,100.00
129P04267,2020-09-18 23:50:00,57.07,100.00
129+04270,2020-09-18 00:00:00,43.00,91.00
129+04270,2020-09-18 00:10:00,43.99,91.00
129+04270,2020-09-18 00:20:00,40.40,95.00
129+04270,2020-09-18 00:30:00,46.81,96.00
129+04270,2020-09-18 00:40:00,50.89,100.00
129+04270,2020-09-18 00:50:00,55.63,100.00
129+04270,2020-09-18 01:00:00,53.95,100.00
129+04270,2020-09-18 01:10:00,54.47,100.00
129+04270,2020-09-18 01:20:00,54.00,100.00
129+04270,2020-09-18 01:30:00,54.51,99.00
129+04270,2020-09-18 01:40:00,58.00,96.00
129+04270,2020-09-18 01:50:00,48.85,98.00
129+04270,2020-09-18 02:00:00,46.39,94.00
129+04270,2020-09-18 02:10:00,46.39,90.00
129+04270,2020-09-18 02:20:00,47.00,90.00
129+04270,2020-09-18 02:30:00,48.88,90.00
129+04270,2020-09-18 02:40:00,55.28,100.00
129+04270,2020-09-18 02:50:00,58.90,93.00
129+04270,2020-09-18 03:00:00,57.90,90.00
129+04270,2020-09-18 03:10:00,57.00,90.00
129+04270,2020-09-18 03:20:00,57.00,90.00
129+04270,2020-09-18 03:30:00,,
129+04270,2020-09-18 03:40:00,,
129+04270,2020-09-18 03:50:00,,
129+04270,2020-09-18 04:00:00,,
129+04270,2020-09-18 04:10:00,45.31,100.00
129+04270,2020-09-18 04:20:00,42.20,100.00
129+04270,2020-09-18 04:30:00,42.00,100.00
129+04270,2020-09-18 04:40:00,45.55,94.00
129+04270,2020-09-18 04:50:00,55.40,95.00
129+04270,2020-09-18 05:00:00,55.00,98.00
129+04270,2020-09-18 05:10:00,41.24,96.00
129+04270,2020-09-18 05:20:00,48.12,96.00
129+04270,2020-09-18 05:30:00,57.09,100.00
129+04270,2020-09-18 05:40:00,51.00,100.00
129+04270,2020-09-18 05:50:00,54.46,100.00
129+04270,2020-09-18 06:00:00,53.59,100.00
129+04270,2020-09-18 06:10:00,51.76,100.00
129+04270,2020-09-18 06:20:00,51.74,100.00
