tmc,tstamp,speed,cvalue
129P04267,2020-04-24 00:00:00,80.00,34.00
129P04267,2020-04-24 00:10:00,67.00,96.67
129P04267,2020-04-24 00:20:00,53.05,23.50
129P04267,2020-04-24 00:30:00,50.00,39.17
129P04267,2020-04-24 00:40:00,51.30,61.50
129P04267,2020-04-24 00:50:00,67.00,26.20
129P04267,2020-04-24 01:00:00,56.69,84.33
129P04267,2020-04-24 01:10:00,55.00,94.25
129P04267,2020-04-24 01:20:00,,
129P04267,2020-04-24 01:30:00,56.00,83.00
129P04267,2020-04-24 01:40:00,56.00,95.00
129P04267,2020-04-24 01:50:00,50.75,75.60
129P04267,2020-04-24 02:00:00,50.00,81.00
129P04267,2020-04-24 02:10:00,,
129P04267,2020-04-24 02:20:00,52.33,99.44
129P04267,2020-04-24 02:30:00,53.00,99.67
129P04267,2020-04-24 02:40:00,,
129P04267,2020-04-24 02:50:00,55.00,84.75
129P04267,2020-04-24 03:00:00,,
129P04267,2020-04-24 03:10:00,,
129P04267,2020-04-24 03:20:00,,
129P04267,2020-04-24 03:30:00,,
129P04267,2020-04-24 03:40:00,,
129P04267,2020-04-24 03:50:00,,
129P04267,2020-04-24 04:00:00,77.00,100.00
129P04267,2020-04-24 04:10:00,67.79,78.78
129P04267,2020-04-24 04:20:00,53.29,47.90
129P04267,2020-04-24 04:30:00,,
129P04267,2020-04-24 04:40:00,,
129P04267,2020-04-24 04:50:00,,
129P04267,2020-04-24 05:00:00,57.00,93.43
129P04267,2020-04-24 05:10:00,57.00,99.00
129P04267,2020-04-24 05:20:00,57.00,98.00
129P04267,2020-04-24 05:30:00,57.00,99.22
129P04267,2020-04-24 05:40:00,62.89,74.33
129P04267,2020-04-24 05:50:00,60.78,83.60
129P04267,2020-04-24 06:00:00,57.57,96.80
129P04267,2020-04-24 06:10:00,55.20,100.00
129P04267,2020-04-24 06:20:00,57.69,100.00
129P04267,2020-04-24 06:30:00,58.00,100.00
129P04267,2020-04-24 06:40:00,57.38,100.00
129P04267,2020-04-24 06:50:00,56.12,91.70
129P04267,2020-04-24 07:00:00,52.10,56.00
129P04267,2020-04-24 07:10:00,53.16,88.80
129P04267,2020-04-24 07:20:00,53.35,98.80
129P04267,2020-04-24 07:30:00,58.25,92.20
129P04267,2020-04-24 07:40:00,58.35,100.00
129P04267,2020-04-24 07:50:00,55.74,100.00
129P04267,2020-04-24 08:00:00,53.96,82.90
129P04267,2020-04-24 08:10:00,55.98,100.00
129P04267,2020-04-24 08:20:00,56.90,100.00
129P04267,2020-04-24 08:30:00,54.73,100.00
129P04267,2020-04-24 08:40:00,55.02,100.00
129P04267,2020-04-24 08:50:00,58.29,100.00
129P04267,2020-04-24 09:00:00,55.34,83.90
129P04267,2020-04-24 09:10:00,56.53,90.20
129P04267,2020-04-24 09:20:00,57.96,100.00
129P04267,2020-04-24 09:30:00,56.38,100.00
129P04267,2020-04-24 09:40:00,54.08,100.00
129P04267,2020-04-24 09:50:00,55.96,88.40
129P04267,2020-04-24 10:00:00,54.15,95.50
129P04267,2020-04-24 10:10:00,55.30,100.00
129P04267,2020-04-24 10:20:00,51.38,88.13
129P04267,2020-04-24 10:30:00,53.59,100.00
129P04267,2020-04-24 10:40:00,54.47,100.00
129P04267,2020-04-24 10:50:00,55.68,100.00
129P04267,2020-04-24 11:00:00,54.69,100.00
129P04267,2020-04-24 11:10:00,53.17,100.00
129P04267,2020-04-24 11:20:00,55.46,100.00
129P04267,2020-04-24 11:30:00,53.56,95.50
129P04267,2020-04-24 11:40:00,52.19,73.00
129P04267,2020-04-24 11:50:00,53.71,85.20
129P04267,2020-04-24 12:00:00,51.72,89.20
129P04267,2020-04-24 12:10:00,56.48,100.00
129P04267,2020-04-24 12:20:00,58.16,88.20
129P04267,2020-04-24 12:30:00,54.27,100.00
129P04267,2020-04-24 12:40:00,54.87,100.00
129P04267,2020-04-24 12:50:00,56.70,100.00
129P04267,2020-04-24 13:00:00,56.48,100.00
129P04267,2020-04-24 13:10:00,55.69,100.00
129P04267,2020-04-24 13:20:00,54.79,100.00
129P04267,2020-04-24 13:30:00,57.09,98.10
129P04267,2020-04-24 13:40:00,57.13,90.10
129P04267,2020-04-24 13:50:00,55.00,100.00
129P04267,2020-04-24 14:00:00,51.99,100.00
129P04267,2020-04-24 14:10:00,53.68,100.00
129P04267,2020-04-24 14:20:00,55.74,99.50
129P04267,2020-04-24 14:30:00,53.58,100.00
129P04267,2020-04-24 14:40:00,54.17,100.00
129P04267,2020-04-24 14:50:00,55.98,95.90
129P04267,2020-04-24 15:00:00,56.56,86.90
129P04267,2020-04-24 15:10:00,55.67,95.30
129P04267,2020-04-24 15:20:00,55.89,100.00
129P04267,2020-04-24 15:30:00,57.29,100.00
129P04267,2020-04-24 15:40:00,55.77,100.00
129P04267,2020-04-24 15:50:00,55.38,100.00
129P04267,2020-04-24 16:00:00,56.94,100.00
129P04267,2020-04-24 16:10:00,57.40,98.20
129P04267,2020-04-24 16:20:00,56.19,100.00
129P04267,2020-04-24 16:30:00,57.59,100.00
129P04267,2020-04-24 16:40:00,57.59,100.00
129P04267,2020-04-24 16:50:00,62.03,69.70
129P04267,2020-04-24 17:00:00,57.08,98.70
129P04267,2020-04-24 17:10:00,57.86,96.60
129P04267,2020-04-24 17:20:00,59.06,95.30
129P04267,2020-04-24 17:30:00,57.50,100.00
129P04267,2020-04-24 17:40:00,57.90,100.00
129P04267,2020-04-24 17:50:00,57.58,100.00
129P04267,2020-04-24 18:00:00,64.02,46.90
129P04267,2020-04-24 18:10:00,61.24,91.00
129P04267,2020-04-24 18:20:00,64.35,68.10
129P04267,2020-04-24 18:30:00,62.46,95.40
129P04267,2020-04-24 18:40:00,57.00,100.00
129P04267,2020-04-24 18:50:00,57.50,100.00
129P04267,2020-04-24 19:00:00,58.97,99.20
129P04267,2020-04-24 19:10:00,62.47,62.00
129P04267,2020-04-24 19:20:00,66.47,53.60
129P04267,2020-04-24 19:30:00,65.39,81.60
129P04267,2020-04-24 19:40:00,59.33,99.70
129P04267,2020-04-24 19:50:00,54.95,68.10
129P04267,2020-04-24 20:00:00,54.29,55.90
129P04267,2020-04-24 20:10:00,55.22,100.00
129P04267,2020-04-24 20:20:00,51.99,56.90
129P04267,2020-04-24 20:30:00,50.52,68.67
129P04267,2020-04-24 20:40:00,51.28,98.30
129P04267,2020-04-24 20:50:00,50.54,98.20
129P04267,2020-04-24 21:00:00,58.63,100.00
129P04267,2020-04-24 21:10:00,61.10,79.00
129P04267,2020-04-24 21:20:00,56.15,99.90
129P04267,2020-04-24 21:30:00,59.37,100.00
129P04267,2020-04-24 21:40:00,,
129P04267,2020-04-24 21:50:00,,
129P04267,2020-04-24 22:00:00,55.46,84.50
129P04267,2020-04-24 22:10:00,53.23,71.75
129P04267,2020-04-24 22:20:00,53.83,94.29
129P04267,2020-04-24 22:30:00,55.00,100.00
129P04267,2020-04-24 22:40:00,55.25,100.00
