tmc,tstamp,speed,cvalue
129-04269,2020-09-06 00:00:00,58.00,90.00
129-04269,2020-09-06 00:10:00,54.04,90.00
129-04269,2020-09-06 00:20:00,54.27,99.00
129-04269,2020-09-06 00:30:00,52.10,100.00
129-04269,2020-09-06 00:40:00,51.68,100.00
129-04269,2020-09-06 00:50:00,56.08,100.00
129-04269,2020-09-06 01:00:00,58.00,100.00
129-04269,2020-09-06 01:10:00,58.39,97.00
129-04269,2020-09-06 01:20:00,60.00,90.00
129-04269,2020-09-06 01:30:00,60.00,90.00
129-04269,2020-09-06 01:40:00,62.76,99.00
129-04269,2020-09-06 01:50:00,59.79,100.00
129-04269,2020-09-06 02:00:00,58.70,100.00
129-04269,2020-09-06 02:10:00,52.10,92.00
129-04269,2020-09-06 02:20:00,55.25,94.00
129-04269,2020-09-06 02:30:00,57.06,96.00
129-04269,2020-09-06 02:40:00,53.00,100.00
129-04269,2020-09-06 02:50:00,52.70,93.00
129-04269,2020-09-06 03:00:00,53.00,90.00
129-04269,2020-09-06 03:10:00,53.00,90.00
129-04269,2020-09-06 03:20:00,51.46,95.00
129-04269,2020-09-06 03:30:00,50.00,95.00
129-04269,2020-09-06 03:40:00,50.99,90.00
129-04269,2020-09-06 03:50:00,52.80,90.00
129-04269,2020-09-06 04:00:00,57.15,95.00
129-04269,2020-09-06 04:10:00,61.70,93.00
129-04269,2020-09-06 04:20:00,61.00,90.00
129-04269,2020-09-06 04:30:00,60.34,91.00
129-04269,2020-09-06 04:40:00,55.00,96.00
129-04269,2020-09-06 04:50:00,55.00,92.00
129-04269,2020-09-06 05:00:00,55.00,96.00
129-04269,2020-09-06 05:10:00,54.80,90.00
129-04269,2020-09-06 05:20:00,52.87,97.00
129-04269,2020-09-06 05:30:00,56.19,96.00
129-04269,2020-09-06 05:40:00,63.00,100.00
129-04269,2020-09-06 05:50:00,60.97,100.00
129-04269,2020-09-06 06:00:00,53.22,97.00
129-04269,2020-09-06 06:10:00,49.00,100.00
129-04269,2020-09-06 06:20:00,50.88,90.00
129-04269,2020-09-06 06:30:00,52.10,90.00
129-04269,2020-09-06 06:40:00,54.39,95.00
129-04269,2020-09-06 06:50:00,57.79,100.00
129-04269,2020-09-06 07:00:00,57.00,100.00
129-04269,2020-09-06 07:10:00,53.95,100.00
129-04269,2020-09-06 07:20:00,49.65,98.00
129-04269,2020-09-06 07:30:00,39.34,90.00
129-04269,2020-09-06 07:40:00,50.64,100.00
129-04269,2020-09-06 07:50:00,57.50,100.00
129-04269,2020-09-06 08:00:00,58.02,100.00
129-04269,2020-09-06 08:10:00,64.46,100.00
129-04269,2020-09-06 08:20:00,53.79,100.00
129-04269,2020-09-06 08:30:00,47.84,98.00
129-04269,2020-09-06 08:40:00,49.39,100.00
129-04269,2020-09-06 08:50:00,55.08,100.00
129-04269,2020-09-06 09:00:00,61.18,100.00
129-04269,2020-09-06 09:10:00,60.74,100.00
129-04269,2020-09-06 09:20:00,58.84,100.00
129-04269,2020-09-06 09:30:00,55.85,100.00
129-04269,2020-09-06 09:40:00,57.46,100.00
129-04269,2020-09-06 09:50:00,58.57,100.00
129-04269,2020-09-06 10:00:00,59.59,100.00
129-04269,2020-09-06 10:10:00,60.03,100.00
129-04269,2020-09-06 10:20:00,55.45,100.00
129-04269,2020-09-06 10:30:00,59.32,100.00
129-04269,2020-09-06 10:40:00,56.37,100.00
129-04269,2020-09-06 10:50:00,57.88,100.00
129-04269,2020-09-06 11:00:00,56.55,100.00
129-04269,2020-09-06 11:10:00,58.12,100.00
129-04269,2020-09-06 11:20:00,59.57,100.00
129-04269,2020-09-06 11:30:00,57.46,100.00
129-04269,2020-09-06 11:40:00,58.66,100.00
129-04269,2020-09-06 11:50:00,58.75,100.00
129-04269,2020-09-06 12:00:00,54.60,100.00
129-04269,2020-09-06 12:10:00,58.36,100.00
129-04269,2020-09-06 12:20:00,57.70,100.00
129-04269,2020-09-06 12:30:00,56.21,100.00
129-04269,2020-09-06 12:40:00,54.97,100.00
129-04269,2020-09-06 12:50:00,58.99,100.00
129-04269,2020-09-06 13:00:00,58.05,100.00
129-04269,2020-09-06 13:10:00,55.48,100.00
129-04269,2020-09-06 13:20:00,55.35,100.00
129-04269,2020-09-06 13:30:00,56.33,100.00
129-04269,2020-09-06 13:40:00,57.77,100.00
129-04269,2020-09-06 13:50:00,55.53,100.00
129-04269,2020-09-06 14:00:00,56.08,100.00
129-04269,2020-09-06 14:10:00,59.56,100.00
129-04269,2020-09-06 14:20:00,58.77,100.00
129-04269,2020-09-06 14:30:00,59.91,100.00
129-04269,2020-09-06 14:40:00,56.36,100.00
129-04269,2020-09-06 14:50:00,53.27,100.00
129-04269,2020-09-06 15:00:00,56.07,100.00
129-04269,2020-09-06 15:10:00,56.70,100.00
129-04269,2020-09-06 15:20:00,54.48,100.00
129-04269,2020-09-06 15:30:00,53.43,100.00
129-04269,2020-09-06 15:40:00,54.92,100.00
129-04269,2020-09-06 15:50:00,54.65,100.00
129-04269,2020-09-06 16:00:00,55.25,100.00
129-04269,2020-09-06 16:10:00,56.17,100.00
129-04269,2020-09-06 16:20:00,58.08,100.00
129-04269,2020-09-06 16:30:00,61.54,100.00
129-04269,2020-09-06 16:40:00,63.77,100.00
129-04269,2020-09-06 16:50:00,59.01,100.00
129-04269,2020-09-06 17:00:00,50.00,100.00
129-04269,2020-09-06 17:10:00,53.36,100.00
129-04269,2020-09-06 17:20:00,48.36,100.00
129-04269,2020-09-06 17:30:00,47.90,100.00
129-04269,2020-09-06 17:40:00,55.12,100.00
129-04269,2020-09-06 17:50:00,56.17,100.00
129-04269,2020-09-06 18:00:00,59.88,100.00
129-04269,2020-09-06 18:10:00,60.85,100.00
129-04269,2020-09-06 18:20:00,56.09,100.00
129-04269,2020-09-06 18:30:00,58.88,100.00
129-04269,2020-09-06 18:40:00,58.50,100.00
129-04269,2020-09-06 18:50:00,57.20,100.00
129-04269,2020-09-06 19:00:00,60.16,100.00
129-04269,2020-09-06 19:10:00,58.98,100.00
129-04269,2020-09-06 19:20:00,57.80,100.00
129-04269,2020-09-06 19:30:00,59.11,100.00
129-04269,2020-09-06 19:40:00,53.49,100.00
129-04269,2020-09-06 19:50:00,53.92,100.00
129-04269,2020-09-06 20:00:00,59.99,100.00
129-04269,2020-09-06 20:10:00,58.10,100.00
129-04269,2020-09-06 20:20:00,57.90,100.00
129-04269,2020-09-06 20:30:00,55.97,100.00
129-04269,2020-09-06 20:40:00,51.39,100.00
129-04269,2020-09-06 20:50:00,55.07,100.00
129-04269,2020-09-06 21:00:00,58.18,100.00
129-04269,2020-09-06 21:10:00,54.90,100.00
129-04269,2020-09-06 21:20:00,57.26,100.00
129-04269,2020-09-06 21:30:00,55.54,100.00
129-04269,2020-09-06 21:40:00,53.09,100.00
129-04269,2020-09-06 21:50:00,58.00,100.00
129-04269,2020-09-06 22:00:00,55.09,100.00
129-04269,2020-09-06 22:10:00,49.57,100.00
129-04269,2020-09-06 22:20:00,52.07,100.00
129-04269,2020-09-06 22:30:00,53.17,100.00
129-04269,2020-09-06 22:40:00,53.60,100.00
129-04269,2020-09-06 22:50:00,52.89,100.00
129-04269,2020-09-06 23:00:00,53.00,100.00
129-04269,2020-09-06 23:10:00,53.00,100.00
129-04269,2020-09-06 23:20:00,53.17,98.00
129-04269,2020-09-06 23:30:00,51.20,85.00
129-04269,2020-09-06 23:40:00,52.16,88.00
129-04269,2020-09-06 23:50:00,52.98,100.00
129N04268,2020-09-06 00:00:00,58.47,96.00
129N04268,2020-09-06 00:10:00,57.00,92.00
129N04268,2020-09-06 00:20:00,57.40,90.00
129N04268,2020-09-06 00:30:00,51.49,90.00
129N04268,2020-09-06 00:40:00,51.50,90.00
129N04268,2020-09-06 00:50:00,52.80,90.00
129N04268,2020-09-06 01:00:00,59.90,90.00
129N04268,2020-09-06 01:10:00,59.70,90.00
129N04268,2020-09-06 01:20:00,58.90,90.00
129N04268,2020-09-06 01:30:00,59.00,90.00
129N04268,2020-09-06 01:40:00,62.16,90.00
129N04268,2020-09-06 01:50:00,63.00,90.00
129N04268,2020-09-06 02:00:00,62.70,90.00
129N04268,2020-09-06 02:10:00,62.00,90.00
129N04268,2020-09-06 02:20:00,62.00,90.00
129N04268,2020-09-06 02:30:00,,
129N04268,2020-09-06 02:40:00,,
129N04268,2020-09-06 02:50:00,,
129N04268,2020-09-06 03:00:00,,
129N04268,2020-09-06 03:10:00,,
129N04268,2020-09-06 03:20:00,,
129N04268,2020-09-06 03:30:00,,
129N04268,2020-09-06 03:40:00,,
129N04268,2020-09-06 03:50:00,,
129N04268,2020-09-06 04:00:00,59.00,100.00
129N04268,2020-09-06 04:10:00,58.60,94.00
129N04268,2020-09-06 04:20:00,58.00,90.00
129N04268,2020-09-06 04:30:00,57.20,90.00
129N04268,2020-09-06 04:40:00,57.00,90.00
129N04268,2020-09-06 04:50:00,,
129N04268,2020-09-06 05:00:00,,
129N04268,2020-09-06 05:10:00,,
129N04268,2020-09-06 05:20:00,58.00,100.00
129N04268,2020-09-06 05:30:00,56.86,99.00
129N04268,2020-09-06 05:40:00,57.00,100.00
129N04268,2020-09-06 05:50:00,56.40,100.00
129N04268,2020-09-06 06:00:00,58.29,95.00
129N04268,2020-09-06 06:10:00,61.80,90.00
129N04268,2020-09-06 06:20:00,62.00,90.00
129N04268,2020-09-06 06:30:00,62.00,90.00
129N04268,2020-09-06 06:40:00,61.00,100.00
129N04268,2020-09-06 06:50:00,59.58,100.00
129N04268,2020-09-06 07:00:00,60.30,100.00
129N04268,2020-09-06 07:10:00,60.10,100.00
129N04268,2020-09-06 07:20:00,58.29,100.00
129N04268,2020-09-06 07:30:00,57.70,95.00
129N04268,2020-09-06 07:40:00,56.46,90.00
129N04268,2020-09-06 07:50:00,58.00,94.00
129N04268,2020-09-06 08:00:00,57.69,93.00
129N04268,2020-09-06 08:10:00,57.00,100.00
129N04268,2020-09-06 08:20:00,57.00,100.00
129N04268,2020-09-06 08:30:00,58.97,90.00
129N04268,2020-09-06 08:40:00,58.46,95.00
129N04268,2020-09-06 08:50:00,55.78,98.00
129N04268,2020-09-06 09:00:00,55.63,100.00
129N04268,2020-09-06 09:10:00,65.48,100.00
129N04268,2020-09-06 09:20:00,64.17,100.00
129N04268,2020-09-06 09:30:00,62.07,100.00
