tmc,tstamp,speed,cvalue
129-04269,2020-03-24 00:00:00,38.09,40.33
129-04269,2020-03-24 00:10:00,38.31,57.33
129-04269,2020-03-24 00:20:00,46.72,97.89
129-04269,2020-03-24 00:30:00,45.10,97.70
129-04269,2020-03-24 00:40:00,43.00,98.30
129-04269,2020-03-24 00:50:00,,
129-04269,2020-03-24 01:00:00,,
129-04269,2020-03-24 01:10:00,57.00,
129-04269,2020-03-24 01:20:00,57.00,
129-04269,2020-03-24 01:30:00,57.00,
129-04269,2020-03-24 01:40:00,54.59,100.00
129-04269,2020-03-24 01:50:00,55.00,100.00
129-04269,2020-03-24 02:00:00,52.00,97.60
129-04269,2020-03-24 02:10:00,52.00,99.00
129-04269,2020-03-24 02:20:00,,
129-04269,2020-03-24 02:30:00,54.00,
129-04269,2020-03-24 02:40:00,54.00,
129-04269,2020-03-24 02:50:00,54.00,
129-04269,2020-03-24 03:00:00,54.00,
129-04269,2020-03-24 03:10:00,54.00,
129-04269,2020-03-24 03:20:00,55.79,
129-04269,2020-03-24 03:30:00,56.00,
129-04269,2020-03-24 03:40:00,,
129-04269,2020-03-24 03:50:00,58.00,100.00
129-04269,2020-03-24 04:00:00,58.00,100.00
129-04269,2020-03-24 04:10:00,55.50,93.00
129-04269,2020-03-24 04:20:00,55.00,92.80
129-04269,2020-03-24 04:30:00,55.00,96.00
129-04269,2020-03-24 04:40:00,59.46,93.90
129-04269,2020-03-24 04:50:00,61.29,80.56
129-04269,2020-03-24 05:00:00,56.79,97.00
129-04269,2020-03-24 05:10:00,57.50,98.30
129-04269,2020-03-24 05:20:00,57.75,92.00
129-04269,2020-03-24 05:30:00,60.98,89.00
129-04269,2020-03-24 05:40:00,59.77,96.60
129-04269,2020-03-24 05:50:00,58.80,91.10
129-04269,2020-03-24 06:00:00,55.63,99.10
129-04269,2020-03-24 06:10:00,54.66,100.00
129-04269,2020-03-24 06:20:00,58.15,100.00
129-04269,2020-03-24 06:30:00,55.97,100.00
129-04269,2020-03-24 06:40:00,58.35,100.00
129-04269,2020-03-24 06:50:00,59.96,100.00
129-04269,2020-03-24 07:00:00,61.78,82.80
129-04269,2020-03-24 07:10:00,58.87,98.10
129-04269,2020-03-24 07:20:00,56.45,100.00
129-04269,2020-03-24 07:30:00,59.51,92.60
129-04269,2020-03-24 07:40:00,57.73,99.00
129-04269,2020-03-24 07:50:00,56.38,100.00
129-04269,2020-03-24 08:00:00,55.48,100.00
129-04269,2020-03-24 08:10:00,59.96,82.00
129-04269,2020-03-24 08:20:00,62.19,62.90
129-04269,2020-03-24 08:30:00,57.57,94.00
129-04269,2020-03-24 08:40:00,59.53,100.00
129-04269,2020-03-24 08:50:00,58.20,100.00
129-04269,2020-03-24 09:00:00,58.24,96.90
129-04269,2020-03-24 09:10:00,60.07,100.00
129-04269,2020-03-24 09:20:00,62.16,84.90
129-04269,2020-03-24 09:30:00,59.39,100.00
129-04269,2020-03-24 09:40:00,63.01,85.00
129-04269,2020-03-24 09:50:00,60.99,99.30
129-04269,2020-03-24 10:00:00,61.85,95.20
129-04269,2020-03-24 10:10:00,62.18,99.90
129-04269,2020-03-24 10:20:00,63.50,82.00
129-04269,2020-03-24 10:30:00,58.15,89.50
129-04269,2020-03-24 10:40:00,54.21,90.90
129-04269,2020-03-24 10:50:00,58.38,100.00
129-04269,2020-03-24 11:00:00,57.30,100.00
129-04269,2020-03-24 11:10:00,56.88,100.00
129-04269,2020-03-24 11:20:00,54.98,100.00
129-04269,2020-03-24 11:30:00,56.59,100.00
129-04269,2020-03-24 11:40:00,59.16,90.10
129-04269,2020-03-24 11:50:00,59.75,86.60
129-04269,2020-03-24 12:00:00,57.95,95.10
129-04269,2020-03-24 12:10:00,59.42,92.30
129-04269,2020-03-24 12:20:00,60.38,100.00
129-04269,2020-03-24 12:30:00,62.79,74.10
129-04269,2020-03-24 12:40:00,57.09,100.00
129-04269,2020-03-24 12:50:00,58.55,100.00
129-04269,2020-03-24 13:00:00,58.07,100.00
129-04269,2020-03-24 13:10:00,61.76,76.80
129-04269,2020-03-24 13:20:00,60.50,94.00
129-04269,2020-03-24 13:30:00,60.05,100.00
129-04269,2020-03-24 13:40:00,59.56,100.00
129-04269,2020-03-24 13:50:00,61.60,100.00
129-04269,2020-03-24 14:00:00,58.43,100.00
129-04269,2020-03-24 14:10:00,58.68,100.00
129-04269,2020-03-24 14:20:00,59.06,100.00
129-04269,2020-03-24 14:30:00,57.29,100.00
129-04269,2020-03-24 14:40:00,57.48,100.00
129-04269,2020-03-24 14:50:00,63.15,71.90
129-04269,2020-03-24 15:00:00,64.72,69.60
129-04269,2020-03-24 15:10:00,60.15,99.90
129-04269,2020-03-24 15:20:00,59.32,97.60
129-04269,2020-03-24 15:30:00,59.16,99.40
129-04269,2020-03-24 15:40:00,59.31,95.00
129-04269,2020-03-24 15:50:00,59.60,100.00
129-04269,2020-03-24 16:00:00,59.55,100.00
129-04269,2020-03-24 16:10:00,58.89,94.30
129-04269,2020-03-24 16:20:00,63.09,80.00
129-04269,2020-03-24 16:30:00,60.16,98.20
129-04269,2020-03-24 16:40:00,62.45,91.30
129-04269,2020-03-24 16:50:00,59.39,100.00
129-04269,2020-03-24 17:00:00,58.00,100.00
129-04269,2020-03-24 17:10:00,54.00,100.00
129-04269,2020-03-24 17:20:00,59.64,94.90
129-04269,2020-03-24 17:30:00,59.67,88.40
129-04269,2020-03-24 17:40:00,61.37,65.00
129-04269,2020-03-24 17:50:00,63.98,60.70
129-04269,2020-03-24 18:00:00,57.55,100.00
129-04269,2020-03-24 18:10:00,62.24,94.56
129-04269,2020-03-24 18:20:00,60.30,100.00
129-04269,2020-03-24 18:30:00,55.75,100.00
129-04269,2020-03-24 18:40:00,60.13,100.00
129-04269,2020-03-24 18:50:00,55.98,100.00
129-04269,2020-03-24 19:00:00,55.90,100.00
129-04269,2020-03-24 19:10:00,58.65,100.00
129-04269,2020-03-24 19:20:00,57.90,100.00
129-04269,2020-03-24 19:30:00,59.52,100.00
129-04269,2020-03-24 19:40:00,63.70,100.00
129-04269,2020-03-24 19:50:00,60.00,100.00
129-04269,2020-03-24 20:00:00,55.59,100.00
129-04269,2020-03-24 20:10:00,54.58,100.00
129-04269,2020-03-24 20:20:00,55.64,95.70
129-04269,2020-03-24 20:30:00,58.48,100.00
129-04269,2020-03-24 20:40:00,58.78,100.00
129-04269,2020-03-24 20:50:00,54.98,100.00
129-04269,2020-03-24 21:00:00,54.92,100.00
129-04269,2020-03-24 21:10:00,62.75,79.75
129-04269,2020-03-24 21:20:00,54.16,100.00
129-04269,2020-03-24 21:30:00,56.26,100.00
129-04269,2020-03-24 21:40:00,51.20,100.00
129-04269,2020-03-24 21:50:00,57.86,92.80
129-04269,2020-03-24 22:00:00,57.59,100.00
129-04269,2020-03-24 22:10:00,,
129-04269,2020-03-24 22:20:00,,
129-04269,2020-03-24 22:30:00,57.00,100.00
129-04269,2020-03-24 22:40:00,57.00,100.00
129-04269,2020-03-24 22:50:00,57.00,100.00
129-04269,2020-03-24 23:00:00,57.00,99.75
129-04269,2020-03-24 23:10:00,69.00,26.50
129-04269,2020-03-24 23:20:00,68.39,43.30
129-04269,2020-03-24 23:30:00,56.80,57.90
129-04269,2020-03-24 23:40:00,53.61,62.70
129-04269,2020-03-24 23:50:00,57.00,90.50
129N04268,2020-03-24 00:00:00,,
129N04268,2020-03-24 00:10:00,29.00,
129N04268,2020-03-24 00:20:00,29.00,
129N04268,2020-03-24 00:30:00,29.00,
129N04268,2020-03-24 00:40:00,29.00,
129N04268,2020-03-24 00:50:00,32.22,100.00
129N04268,2020-03-24 01:00:00,58.00,100.00
129N04268,2020-03-24 01:10:00,58.00,100.00
129N04268,2020-03-24 01:20:00,,
129N04268,2020-03-24 01:30:00,59.00,
129N04268,2020-03-24 01:40:00,59.00,
129N04268,2020-03-24 01:50:00,59.00,
129N04268,2020-03-24 02:00:00,59.00,
129N04268,2020-03-24 02:10:00,59.00,
129N04268,2020-03-24 02:20:00,59.00,
129N04268,2020-03-24 02:30:00,58.20,
129N04268,2020-03-24 02:40:00,57.39,
129N04268,2020-03-24 02:50:00,56.00,
129N04268,2020-03-24 03:00:00,55.55,100.00
129N04268,2020-03-24 03:10:00,58.00,100.00
129N04268,2020-03-24 03:20:00,,
129N04268,2020-03-24 03:30:00,54.00,
129N04268,2020-03-24 03:40:00,54.00,
129N04268,2020-03-24 03:50:00,54.90,
129N04268,2020-03-24 04:00:00,55.00,
129N04268,2020-03-24 04:10:00,,
129N04268,2020-03-24 04:20:00,,
129N04268,2020-03-24 04:30:00,,
129N04268,2020-03-24 04:40:00,,
129N04268,2020-03-24 04:50:00,,
129N04268,2020-03-24 05:00:00,58.00,100.00
129N04268,2020-03-24 05:10:00,58.00,100.00
129N04268,2020-03-24 05:20:00,,
129N04268,2020-03-24 05:30:00,57.14,99.71
129N04268,2020-03-24 05:40:00,57.00,99.63
129N04268,2020-03-24 05:50:00,57.19,92.60
129N04268,2020-03-24 06:00:00,59.00,99.60
129N04268,2020-03-24 06:10:00,58.20,99.50
129N04268,2020-03-24 06:20:00,58.00,100.00
129N04268,2020-03-24 06:30:00,58.98,100.00
129N04268,2020-03-24 06:40:00,57.39,100.00
129N04268,2020-03-24 06:50:00,60.00,90.70
129N04268,2020-03-24 07:00:00,58.80,99.20
129N04268,2020-03-24 07:10:00,58.60,98.60
129N04268,2020-03-24 07:20:00,58.80,93.20
129N04268,2020-03-24 07:30:00,58.00,99.10
129N04268,2020-03-24 07:40:00,58.00,99.50
129N04268,2020-03-24 07:50:00,57.60,97.10
129N04268,2020-03-24 08:00:00,55.39,95.80
129N04268,2020-03-24 08:10:00,57.34,96.70
129N04268,2020-03-24 08:20:00,58.00,99.10
129N04268,2020-03-24 08:30:00,57.27,99.70
129N04268,2020-03-24 08:40:00,55.00,99.00
129N04268,2020-03-24 08:50:00,55.50,98.38
129N04268,2020-03-24 09:00:00,55.30,98.56
129N04268,2020-03-24 09:10:00,54.98,100.00
129N04268,2020-03-24 09:20:00,58.19,98.70
129N04268,2020-03-24 09:30:00,57.00,93.10
129N04268,2020-03-24 09:40:00,57.00,98.50
129N04268,2020-03-24 09:50:00,57.10,99.30
129N04268,2020-03-24 10:00:00,58.00,42.60
129N04268,2020-03-24 10:10:00,58.87,32.25
129N04268,2020-03-24 10:20:00,58.80,41.40
129N04268,2020-03-24 10:30:00,58.00,100.00
129N04268,2020-03-24 10:40:00,58.56,100.00
129N04268,2020-03-24 10:50:00,60.00,100.00
129N04268,2020-03-24 11:00:00,59.50,100.00
129N04268,2020-03-24 11:10:00,58.90,100.00
129N04268,2020-03-24 11:20:00,57.30,100.00
129N04268,2020-03-24 11:30:00,58.00,100.00
129N04268,2020-03-24 11:40:00,,
129N04268,2020-03-24 11:50:00,58.00,
129N04268,2020-03-24 12:00:00,58.00,
129N04268,2020-03-24 12:10:00,57.14,68.67
129N04268,2020-03-24 12:20:00,57.00,81.60
129N04268,2020-03-24 12:30:00,56.00,100.00
129N04268,2020-03-24 12:40:00,56.42,100.00
129N04268,2020-03-24 12:50:00,57.00,100.00
129N04268,2020-03-24 13:00:00,56.00,75.89
129N04268,2020-03-24 13:10:00,56.80,100.00
129N04268,2020-03-24 13:20:00,57.60,100.00
129N04268,2020-03-24 13:30:00,58.00,100.00
129N04268,2020-03-24 13:40:00,60.11,61.71
129N04268,2020-03-24 13:50:00,60.77,62.78
129N04268,2020-03-24 14:00:00,59.50,100.00
129N04268,2020-03-24 14:10:00,58.50,100.00
129N04268,2020-03-24 14:20:00,60.40,100.00
129N04268,2020-03-24 14:30:00,63.00,90.57
129N04268,2020-03-24 14:40:00,63.00,100.00
129N04268,2020-03-24 14:50:00,61.98,100.00
129N04268,2020-03-24 15:00:00,60.00,100.00
129N04268,2020-03-24 15:10:00,60.00,96.40
129N04268,2020-03-24 15:20:00,60.00,100.00
129N04268,2020-03-24 15:30:00,60.00,100.00
129N04268,2020-03-24 15:40:00,,
129N04268,2020-03-24 15:50:00,57.00,100.00
129N04268,2020-03-24 16:00:00,57.80,67.40
129N04268,2020-03-24 16:10:00,58.00,30.40
129N04268,2020-03-24 16:20:00,57.00,100.00
129N04268,2020-03-24 16:30:00,57.80,100.00
129N04268,2020-03-24 16:40:00,58.00,100.00
129N04268,2020-03-24 16:50:00,58.00,100.00
129N04268,2020-03-24 17:00:00,58.00,100.00
129N04268,2020-03-24 17:10:00,,
129N04268,2020-03-24 17:20:00,,
129N04268,2020-03-24 17:30:00,,
129N04268,2020-03-24 17:40:00,58.00,93.50
129N04268,2020-03-24 17:50:00,58.00,98.60
129N04268,2020-03-24 18:00:00,58.00,100.00
129N04268,2020-03-24 18:10:00,57.14,100.00
129N04268,2020-03-24 18:20:00,57.00,100.00
129N04268,2020-03-24 18:30:00,,
129N04268,2020-03-24 18:40:00,,
129N04268,2020-03-24 18:50:00,57.00,100.00
129N04268,2020-03-24 19:00:00,57.00,100.00
129N04268,2020-03-24 19:10:00,59.32,99.67
129N04268,2020-03-24 19:20:00,59.00,100.00
129N04268,2020-03-24 19:30:00,,
129N04268,2020-03-24 19:40:00,59.00,100.00
129N04268,2020-03-24 19:50:00,59.00,63.00
129N04268,2020-03-24 20:00:00,59.00,67.00
129N04268,2020-03-24 20:10:00,58.59,99.80
129N04268,2020-03-24 20:20:00,59.12,94.13
129N04268,2020-03-24 20:30:00,59.00,97.22
129N04268,2020-03-24 20:40:00,59.37,93.50
129N04268,2020-03-24 20:50:00,60.00,93.14
129N04268,2020-03-24 21:00:00,60.00,96.80
129N04268,2020-03-24 21:10:00,60.00,95.00
129N04268,2020-03-24 21:20:00,,
129N04268,2020-03-24 21:30:00,,
129N04268,2020-03-24 21:40:00,,
129N04268,2020-03-24 21:50:00,58.00,100.00
129N04268,2020-03-24 22:00:00,58.00,100.00
129N04268,2020-03-24 22:10:00,,
129N04268,2020-03-24 22:20:00,,
129N04268,2020-03-24 22:30:00,58.00,100.00
129N04268,2020-03-24 22:40:00,58.00,100.00
129N04268,2020-03-24 22:50:00,58.00,100.00
129N04268,2020-03-24 23:00:00,58.00,97.00
129N04268,2020-03-24 23:10:00,,
129N04268,2020-03-24 23:20:00,,
129N04268,2020-03-24 23:30:00,,
129N04268,2020-03-24 23:40:00,58.00,98.40
129N04268,2020-03-24 23:50:00,58.00,99.00
129-04267,2020-03-24 00:00:00,,
129-04267,2020-03-24 00:10:00,29.00,
129-04267,2020-03-24 00:20:00,29.00,
129-04267,2020-03-24 00:30:00,29.00,
129-04267,2020-03-24 00:40:00,29.00,
129-04267,2020-03-24 00:50:00,32.22,100.00
129-04267,2020-03-24 01:00:00,58.50,100.00
129-04267,2020-03-24 01:10:00,59.00,100.00
