tmc,tstamp,speed,cvalue
129+04627,2020-08-16 00:00:00,71.34,64.78
129+04627,2020-08-16 00:10:00,72.42,67.90
129+04627,2020-08-16 00:20:00,68.16,41.67
129+04627,2020-08-16 00:30:00,65.00,49.60
129+04627,2020-08-16 00:40:00,,
129+04627,2020-08-16 00:50:00,,
129+04627,2020-08-16 01:00:00,,
129+04627,2020-08-16 01:10:00,69.00,97.00
129+04627,2020-08-16 01:20:00,69.00,98.50
129+04627,2020-08-16 01:30:00,61.73,59.25
129+04627,2020-08-16 01:40:00,65.00,96.57
129+04627,2020-08-16 01:50:00,,
129+04627,2020-08-16 02:00:00,78.00,9.40
129+04627,2020-08-16 02:10:00,78.00,32.00
129+04627,2020-08-16 02:20:00,,
129+04627,2020-08-16 02:30:00,66.25,40.25
129+04627,2020-08-16 02:40:00,66.00,58.80
129+04627,2020-08-16 02:50:00,65.25,68.00
129+04627,2020-08-16 03:00:00,69.88,78.30
129+04627,2020-08-16 03:10:00,70.43,84.14
129+04627,2020-08-16 03:20:00,65.00,76.50
129+04627,2020-08-16 03:30:00,65.00,79.50
129+04627,2020-08-16 03:40:00,,
129+04627,2020-08-16 03:50:00,,
129+04627,2020-08-16 04:00:00,,
129+04627,2020-08-16 04:10:00,,
129+04627,2020-08-16 04:20:00,,
129+04627,2020-08-16 04:30:00,,
129+04627,2020-08-16 04:40:00,65.00,100.00
129+04627,2020-08-16 04:50:00,65.00,100.00
129+04627,2020-08-16 05:00:00,,
129+04627,2020-08-16 05:10:00,70.00,59.33
129+04627,2020-08-16 05:20:00,70.00,89.60
129+04627,2020-08-16 05:30:00,63.33,58.29
129+04627,2020-08-16 05:40:00,69.84,52.60
129+04627,2020-08-16 05:50:00,74.00,61.25
129+04627,2020-08-16 06:00:00,63.00,87.00
129+04627,2020-08-16 06:10:00,72.66,62.67
129+04627,2020-08-16 06:20:00,66.33,71.60
129+04627,2020-08-16 06:30:00,69.12,100.00
129+04627,2020-08-16 06:40:00,65.66,100.00
129+04627,2020-08-16 06:50:00,66.69,100.00
129+04627,2020-08-16 07:00:00,68.37,100.00
129+04627,2020-08-16 07:10:00,71.00,100.00
129+04627,2020-08-16 07:20:00,65.12,100.00
129+04627,2020-08-16 07:30:00,69.26,81.90
129+04627,2020-08-16 07:40:00,77.59,23.10
129+04627,2020-08-16 07:50:00,68.22,92.50
129+04627,2020-08-16 08:00:00,69.79,100.00
129+04627,2020-08-16 08:10:00,69.16,99.30
129+04627,2020-08-16 08:20:00,73.78,90.60
129+04627,2020-08-16 08:30:00,69.84,100.00
129+04627,2020-08-16 08:40:00,73.27,84.80
129+04627,2020-08-16 08:50:00,70.97,96.30
129+04627,2020-08-16 09:00:00,73.60,80.90
129+04627,2020-08-16 09:10:00,74.35,86.80
129+04627,2020-08-16 09:20:00,71.18,99.20
129+04627,2020-08-16 09:30:00,72.09,86.80
129+04627,2020-08-16 09:40:00,71.48,100.00
129+04627,2020-08-16 09:50:00,69.59,100.00
129+04627,2020-08-16 10:00:00,74.57,73.10
129+04627,2020-08-16 10:10:00,71.02,89.10
129+04627,2020-08-16 10:20:00,75.10,64.70
129+04627,2020-08-16 10:30:00,71.12,95.40
129+04627,2020-08-16 10:40:00,71.17,99.00
129+04627,2020-08-16 10:50:00,73.08,97.40
129+04627,2020-08-16 11:00:00,70.48,100.00
129+04627,2020-08-16 11:10:00,70.28,100.00
129+04627,2020-08-16 11:20:00,72.18,100.00
129+04627,2020-08-16 11:30:00,72.96,94.20
129+04627,2020-08-16 11:40:00,70.58,100.00
129+04627,2020-08-16 11:50:00,69.82,97.30
129+04627,2020-08-16 12:00:00,70.14,94.80
129+04627,2020-08-16 12:10:00,72.13,91.40
129+04627,2020-08-16 12:20:00,71.50,71.60
129+04627,2020-08-16 12:30:00,75.23,71.50
129+04627,2020-08-16 12:40:00,62.69,58.00
129+04627,2020-08-16 12:50:00,68.95,87.40
129+04627,2020-08-16 13:00:00,65.25,100.00
129+04627,2020-08-16 13:10:00,66.17,100.00
129+04627,2020-08-16 13:20:00,68.10,100.00
129+04627,2020-08-16 13:30:00,73.28,55.10
129+04627,2020-08-16 13:40:00,67.78,98.20
129+04627,2020-08-16 13:50:00,68.14,100.00
129+04627,2020-08-16 14:00:00,69.19,100.00
129+04627,2020-08-16 14:10:00,68.98,100.00
129+04627,2020-08-16 14:20:00,63.75,66.70
129+04627,2020-08-16 14:30:00,68.04,89.20
129+04627,2020-08-16 14:40:00,70.59,100.00
129+04627,2020-08-16 14:50:00,71.66,94.80
129+04627,2020-08-16 15:00:00,70.07,97.90
129+04627,2020-08-16 15:10:00,66.77,82.70
129+04627,2020-08-16 15:20:00,75.01,59.20
129+04627,2020-08-16 15:30:00,73.79,93.70
129+04627,2020-08-16 15:40:00,72.16,97.90
129+04627,2020-08-16 15:50:00,70.67,100.00
129+04627,2020-08-16 16:00:00,67.98,100.00
129+04627,2020-08-16 16:10:00,72.94,98.00
129+04627,2020-08-16 16:20:00,71.87,99.40
129+04627,2020-08-16 16:30:00,72.39,99.80
129+04627,2020-08-16 16:40:00,71.50,100.00
129+04627,2020-08-16 16:50:00,72.99,99.40
129+04627,2020-08-16 17:00:00,76.76,71.80
129+04627,2020-08-16 17:10:00,68.39,88.10
129+04627,2020-08-16 17:20:00,68.08,100.00
129+04627,2020-08-16 17:30:00,70.03,99.00
129+04627,2020-08-16 17:40:00,70.80,100.00
129+04627,2020-08-16 17:50:00,64.90,76.50
129+04627,2020-08-16 18:00:00,64.60,71.90
129+04627,2020-08-16 18:10:00,71.57,91.90
129+04627,2020-08-16 18:20:00,68.17,81.40
129+04627,2020-08-16 18:30:00,67.95,99.80
129+04627,2020-08-16 18:40:00,68.75,98.00
129+04627,2020-08-16 18:50:00,69.85,83.20
129+04627,2020-08-16 19:00:00,75.16,32.00
129+04627,2020-08-16 19:10:00,62.98,47.50
129+04627,2020-08-16 19:20:00,64.71,73.71
129+04627,2020-08-16 19:30:00,66.10,99.90
129+04627,2020-08-16 19:40:00,70.41,90.40
129+04627,2020-08-16 19:50:00,63.98,81.30
129+04627,2020-08-16 20:00:00,65.27,80.40
129+04627,2020-08-16 20:10:00,63.93,75.70
129+04627,2020-08-16 20:20:00,62.58,79.70
129+04627,2020-08-16 20:30:00,65.74,97.00
129+04627,2020-08-16 20:40:00,66.17,99.10
129+04627,2020-08-16 20:50:00,63.28,71.60
129+04627,2020-08-16 21:00:00,58.28,53.29
129+04627,2020-08-16 21:10:00,60.00,77.29
129+04627,2020-08-16 21:20:00,61.76,90.20
129+04627,2020-08-16 21:30:00,66.79,100.00
129+04627,2020-08-16 21:40:00,71.37,72.60
129+04627,2020-08-16 21:50:00,73.30,47.40
129+04627,2020-08-16 22:00:00,66.69,100.00
129+04627,2020-08-16 22:10:00,67.50,100.00
129+04627,2020-08-16 22:20:00,66.22,100.00
129+04627,2020-08-16 22:30:00,67.00,100.00
129+04627,2020-08-16 22:40:00,61.18,66.38
129+04627,2020-08-16 22:50:00,57.25,39.80
129+04627,2020-08-16 23:00:00,61.91,76.80
129+04627,2020-08-16 23:10:00,63.48,86.40
129+04627,2020-08-16 23:20:00,68.40,52.29
129+04627,2020-08-16 23:30:00,,
129+04627,2020-08-16 23:40:00,59.00,
129+04627,2020-08-16 23:50:00,65.17,41.00
129+04628,2020-08-16 00:00:00,73.20,44.57
129+04628,2020-08-16 00:10:00,64.79,79.50
129+04628,2020-08-16 00:20:00,64.27,75.10
129+04628,2020-08-16 00:30:00,63.00,72.17
129+04628,2020-08-16 00:40:00,,
129+04628,2020-08-16 00:50:00,63.00,90.60
129+04628,2020-08-16 01:00:00,62.33,95.67
129+04628,2020-08-16 01:10:00,,
129+04628,2020-08-16 01:20:00,65.00,90.89
129+04628,2020-08-16 01:30:00,57.77,59.13
129+04628,2020-08-16 01:40:00,63.00,98.63
129+04628,2020-08-16 01:50:00,,
129+04628,2020-08-16 02:00:00,70.75,28.00
129+04628,2020-08-16 02:10:00,71.00,46.38
129+04628,2020-08-16 02:20:00,,
129+04628,2020-08-16 02:30:00,63.27,41.50
129+04628,2020-08-16 02:40:00,59.89,34.25
129+04628,2020-08-16 02:50:00,60.06,69.50
129+04628,2020-08-16 03:00:00,65.02,65.20
129+04628,2020-08-16 03:10:00,67.05,66.25
129+04628,2020-08-16 03:20:00,,
129+04628,2020-08-16 03:30:00,67.00,79.30
