tmc,tstamp,speed,cvalue
129-04265,2020-09-06 00:00:00,58.14,100.00
129-04265,2020-09-06 00:10:00,53.13,100.00
129-04265,2020-09-06 00:20:00,54.72,100.00
129-04265,2020-09-06 00:30:00,53.00,100.00
129-04265,2020-09-06 00:40:00,52.27,100.00
129-04265,2020-09-06 00:50:00,51.79,82.00
129-04265,2020-09-06 01:00:00,52.10,96.00
129-04265,2020-09-06 01:10:00,57.69,99.00
129-04265,2020-09-06 01:20:00,59.20,96.00
129-04265,2020-09-06 01:30:00,58.99,80.00
129-04265,2020-09-06 01:40:00,58.00,80.00
129-04265,2020-09-06 01:50:00,58.00,80.00
129-04265,2020-09-06 02:00:00,52.00,98.75
129-04265,2020-09-06 02:10:00,53.16,94.00
129-04265,2020-09-06 02:20:00,55.10,100.00
129-04265,2020-09-06 02:30:00,55.60,90.00
129-04265,2020-09-06 02:40:00,53.49,90.00
129-04265,2020-09-06 02:50:00,55.65,93.00
129-04265,2020-09-06 03:00:00,63.00,94.00
129-04265,2020-09-06 03:10:00,54.09,97.00
129-04265,2020-09-06 03:20:00,60.80,100.00
129-04265,2020-09-06 03:30:00,60.00,100.00
129-04265,2020-09-06 03:40:00,60.68,90.00
129-04265,2020-09-06 03:50:00,59.00,90.00
129-04265,2020-09-06 04:00:00,59.00,90.00
129-04265,2020-09-06 04:10:00,58.00,98.89
129-04265,2020-09-06 04:20:00,54.10,100.00
129-04265,2020-09-06 04:30:00,52.90,100.00
129-04265,2020-09-06 04:40:00,50.76,100.00
129-04265,2020-09-06 04:50:00,53.62,100.00
129-04265,2020-09-06 05:00:00,58.30,90.00
129-04265,2020-09-06 05:10:00,57.29,95.00
129-04265,2020-09-06 05:20:00,57.00,93.00
129-04265,2020-09-06 05:30:00,55.30,90.00
129-04265,2020-09-06 05:40:00,55.00,90.00
129-04265,2020-09-06 05:50:00,55.00,90.00
129-04265,2020-09-06 06:00:00,,
129-04265,2020-09-06 06:10:00,60.00,100.00
129-04265,2020-09-06 06:20:00,66.03,97.00
129-04265,2020-09-06 06:30:00,69.00,90.00
129-04265,2020-09-06 06:40:00,67.85,91.00
129-04265,2020-09-06 06:50:00,59.85,100.00
129-04265,2020-09-06 07:00:00,61.08,100.00
129-04265,2020-09-06 07:10:00,62.48,100.00
129-04265,2020-09-06 07:20:00,61.73,100.00
129-04265,2020-09-06 07:30:00,58.98,100.00
129-04265,2020-09-06 07:40:00,60.00,100.00
129-04265,2020-09-06 07:50:00,60.15,100.00
129-04265,2020-09-06 08:00:00,60.78,100.00
129-04265,2020-09-06 08:10:00,60.06,100.00
129-04265,2020-09-06 08:20:00,60.92,100.00
129-04265,2020-09-06 08:30:00,61.47,100.00
129-04265,2020-09-06 08:40:00,60.35,100.00
129-04265,2020-09-06 08:50:00,58.59,100.00
129-04265,2020-09-06 09:00:00,60.74,100.00
129-04265,2020-09-06 09:10:00,58.63,100.00
129-04265,2020-09-06 09:20:00,57.29,100.00
