tmc,tstamp,speed,cvalue
129-04265,2020-06-14 00:00:00,52.90,93.90
129-04265,2020-06-14 00:10:00,45.97,30.00
129-04265,2020-06-14 00:20:00,33.90,14.40
129-04265,2020-06-14 00:30:00,35.63,36.30
129-04265,2020-06-14 00:40:00,52.00,67.44
129-04265,2020-06-14 00:50:00,,
129-04265,2020-06-14 01:00:00,29.00,
129-04265,2020-06-14 01:10:00,42.89,28.67
129-04265,2020-06-14 01:20:00,63.00,61.00
129-04265,2020-06-14 01:30:00,,
129-04265,2020-06-14 01:40:00,49.79,38.10
129-04265,2020-06-14 01:50:00,52.15,81.25
129-04265,2020-06-14 02:00:00,58.00,94.80
129-04265,2020-06-14 02:10:00,57.22,87.00
129-04265,2020-06-14 02:20:00,47.00,61.10
129-04265,2020-06-14 02:30:00,53.84,82.20
129-04265,2020-06-14 02:40:00,56.20,86.40
129-04265,2020-06-14 02:50:00,,
129-04265,2020-06-14 03:00:00,,
129-04265,2020-06-14 03:10:00,,
129-04265,2020-06-14 03:20:00,51.00,89.60
129-04265,2020-06-14 03:30:00,51.22,99.11
129-04265,2020-06-14 03:40:00,52.00,99.00
129-04265,2020-06-14 03:50:00,,
129-04265,2020-06-14 04:00:00,50.00,97.29
129-04265,2020-06-14 04:10:00,50.00,98.33
129-04265,2020-06-14 04:20:00,,
129-04265,2020-06-14 04:30:00,,
129-04265,2020-06-14 04:40:00,,
129-04265,2020-06-14 04:50:00,,
129-04265,2020-06-14 05:00:00,,
129-04265,2020-06-14 05:10:00,,
129-04265,2020-06-14 05:20:00,56.69,77.14
129-04265,2020-06-14 05:30:00,62.68,65.80
129-04265,2020-06-14 05:40:00,60.16,52.70
129-04265,2020-06-14 05:50:00,70.28,32.83
129-04265,2020-06-14 06:00:00,55.00,100.00
129-04265,2020-06-14 06:10:00,55.00,100.00
129-04265,2020-06-14 06:20:00,56.00,100.00
129-04265,2020-06-14 06:30:00,56.33,100.00
129-04265,2020-06-14 06:40:00,58.84,76.75
129-04265,2020-06-14 06:50:00,54.63,100.00
129-04265,2020-06-14 07:00:00,56.27,100.00
129-04265,2020-06-14 07:10:00,63.86,37.70
129-04265,2020-06-14 07:20:00,59.07,81.70
129-04265,2020-06-14 07:30:00,58.89,92.70
129-04265,2020-06-14 07:40:00,61.45,88.10
129-04265,2020-06-14 07:50:00,57.27,100.00
129-04265,2020-06-14 08:00:00,55.97,100.00
129-04265,2020-06-14 08:10:00,54.72,100.00
129-04265,2020-06-14 08:20:00,56.45,100.00
129-04265,2020-06-14 08:30:00,58.57,95.70
129-04265,2020-06-14 08:40:00,59.45,100.00
129-04265,2020-06-14 08:50:00,52.25,62.30
129-04265,2020-06-14 09:00:00,55.22,100.00
129-04265,2020-06-14 09:10:00,54.97,100.00
129-04265,2020-06-14 09:20:00,54.36,100.00
129-04265,2020-06-14 09:30:00,57.69,100.00
129-04265,2020-06-14 09:40:00,58.70,91.70
129-04265,2020-06-14 09:50:00,54.74,87.50
129-04265,2020-06-14 10:00:00,53.36,100.00
129-04265,2020-06-14 10:10:00,59.22,81.50
129-04265,2020-06-14 10:20:00,57.63,94.70
129-04265,2020-06-14 10:30:00,58.39,100.00
129-04265,2020-06-14 10:40:00,58.08,94.90
129-04265,2020-06-14 10:50:00,55.00,100.00
