tmc,tstamp,speed,cvalue
129-04403,2020-06-01 00:00:00,43.83,46.50
129-04403,2020-06-01 00:10:00,56.79,50.14
129-04403,2020-06-01 00:20:00,61.00,51.00
129-04403,2020-06-01 00:30:00,56.00,85.33
129-04403,2020-06-01 00:40:00,61.17,81.00
129-04403,2020-06-01 00:50:00,,
129-04403,2020-06-01 01:00:00,57.00,96.25
129-04403,2020-06-01 01:10:00,57.00,97.50
129-04403,2020-06-01 01:20:00,,
129-04403,2020-06-01 01:30:00,55.00,96.88
129-04403,2020-06-01 01:40:00,49.87,84.83
129-04403,2020-06-01 01:50:00,56.00,98.33
129-04403,2020-06-01 02:00:00,56.00,98.50
129-04403,2020-06-01 02:10:00,,
129-04403,2020-06-01 02:20:00,,
129-04403,2020-06-01 02:30:00,,
129-04403,2020-06-01 02:40:00,,
129-04403,2020-06-01 02:50:00,55.00,100.00
129-04403,2020-06-01 03:00:00,55.00,100.00
129-04403,2020-06-01 03:10:00,,
129-04403,2020-06-01 03:20:00,,
129-04403,2020-06-01 03:30:00,,
129-04403,2020-06-01 03:40:00,71.00,46.14
129-04403,2020-06-01 03:50:00,71.00,84.20
129-04403,2020-06-01 04:00:00,53.00,28.00
129-04403,2020-06-01 04:10:00,61.83,87.30
129-04403,2020-06-01 04:20:00,63.39,96.20
129-04403,2020-06-01 04:30:00,67.00,96.60
129-04403,2020-06-01 04:40:00,66.53,91.22
129-04403,2020-06-01 04:50:00,65.98,92.10
129-04403,2020-06-01 05:00:00,63.20,95.44
129-04403,2020-06-01 05:10:00,71.21,71.30
129-04403,2020-06-01 05:20:00,76.35,48.50
129-04403,2020-06-01 05:30:00,70.40,74.20
129-04403,2020-06-01 05:40:00,64.18,63.90
129-04403,2020-06-01 05:50:00,71.32,91.00
129-04403,2020-06-01 06:00:00,68.21,99.00
129-04403,2020-06-01 06:10:00,61.77,45.00
129-04403,2020-06-01 06:20:00,64.15,95.00
129-04403,2020-06-01 06:30:00,67.58,100.00
129-04403,2020-06-01 06:40:00,69.75,100.00
129-04403,2020-06-01 06:50:00,68.06,100.00
129-04403,2020-06-01 07:00:00,64.28,100.00
129-04403,2020-06-01 07:10:00,63.19,100.00
129-04403,2020-06-01 07:20:00,64.89,94.30
129-04403,2020-06-01 07:30:00,63.98,100.00
129-04403,2020-06-01 07:40:00,65.59,100.00
129-04403,2020-06-01 07:50:00,62.66,100.00
129-04403,2020-06-01 08:00:00,64.59,100.00
129-04403,2020-06-01 08:10:00,61.46,100.00
129-04403,2020-06-01 08:20:00,61.41,100.00
129-04403,2020-06-01 08:30:00,62.17,100.00
129-04403,2020-06-01 08:40:00,61.49,89.70
129-04403,2020-06-01 08:50:00,65.57,100.00
129-04403,2020-06-01 09:00:00,62.06,97.10
129-04403,2020-06-01 09:10:00,66.94,80.80
129-04403,2020-06-01 09:20:00,64.67,100.00
129-04403,2020-06-01 09:30:00,60.47,96.70
129-04403,2020-06-01 09:40:00,63.58,100.00
129-04403,2020-06-01 09:50:00,61.98,100.00
129-04403,2020-06-01 10:00:00,62.76,100.00
129-04403,2020-06-01 10:10:00,64.77,100.00
129-04403,2020-06-01 10:20:00,66.39,100.00
129-04403,2020-06-01 10:30:00,66.39,100.00
129-04403,2020-06-01 10:40:00,65.55,95.60
129-04403,2020-06-01 10:50:00,66.52,91.00
129-04403,2020-06-01 11:00:00,67.35,91.50
129-04403,2020-06-01 11:10:00,63.53,97.10
129-04403,2020-06-01 11:20:00,65.37,89.00
129-04403,2020-06-01 11:30:00,68.58,89.90
129-04403,2020-06-01 11:40:00,59.30,81.90
129-04403,2020-06-01 11:50:00,65.27,88.40
129-04403,2020-06-01 12:00:00,67.40,70.90
129-04403,2020-06-01 12:10:00,63.59,100.00
129-04403,2020-06-01 12:20:00,61.19,100.00
129-04403,2020-06-01 12:30:00,64.78,100.00
129-04403,2020-06-01 12:40:00,63.45,100.00
129-04403,2020-06-01 12:50:00,64.12,100.00
129-04403,2020-06-01 13:00:00,63.77,100.00
129-04403,2020-06-01 13:10:00,62.39,100.00
129-04403,2020-06-01 13:20:00,62.16,80.70
129-04403,2020-06-01 13:30:00,67.49,75.10
129-04403,2020-06-01 13:40:00,68.20,65.60
129-04403,2020-06-01 13:50:00,66.54,94.00
129-04403,2020-06-01 14:00:00,62.83,100.00
129-04403,2020-06-01 14:10:00,65.96,98.10
129-04403,2020-06-01 14:20:00,67.39,98.20
129-04403,2020-06-01 14:30:00,65.10,99.00
129-04403,2020-06-01 14:40:00,64.95,100.00
129-04403,2020-06-01 14:50:00,63.34,100.00
129-04403,2020-06-01 15:00:00,64.35,100.00
129-04403,2020-06-01 15:10:00,64.94,100.00
129-04403,2020-06-01 15:20:00,62.02,100.00
129-04403,2020-06-01 15:30:00,65.15,100.00
129-04403,2020-06-01 15:40:00,67.48,80.50
129-04403,2020-06-01 15:50:00,65.23,87.80
129-04403,2020-06-01 16:00:00,69.23,71.30
129-04403,2020-06-01 16:10:00,73.00,52.00
129-04403,2020-06-01 16:20:00,62.06,51.50
129-04403,2020-06-01 16:30:00,65.62,99.10
129-04403,2020-06-01 16:40:00,64.38,71.50
129-04403,2020-06-01 16:50:00,65.27,75.20
129-04403,2020-06-01 17:00:00,63.66,87.60
129-04403,2020-06-01 17:10:00,64.76,100.00
129-04403,2020-06-01 17:20:00,67.96,82.70
129-04403,2020-06-01 17:30:00,56.65,42.10
129-04403,2020-06-01 17:40:00,66.72,67.80
129-04403,2020-06-01 17:50:00,60.37,80.60
129-04403,2020-06-01 18:00:00,70.14,89.50
129-04403,2020-06-01 18:10:00,62.70,95.70
129-04403,2020-06-01 18:20:00,64.60,93.50
129-04403,2020-06-01 18:30:00,70.28,67.90
129-04403,2020-06-01 18:40:00,60.57,60.50
129-04403,2020-06-01 18:50:00,61.85,77.70
129-04403,2020-06-01 19:00:00,61.80,81.00
129-04403,2020-06-01 19:10:00,65.70,90.60
129-04403,2020-06-01 19:20:00,66.26,74.30
129-04403,2020-06-01 19:30:00,65.04,77.00
129-04403,2020-06-01 19:40:00,61.98,100.00
129-04403,2020-06-01 19:50:00,54.70,26.20
129-04403,2020-06-01 20:00:00,52.15,52.50
129-04403,2020-06-01 20:10:00,65.00,100.00
129-04403,2020-06-01 20:20:00,56.58,93.10
129-04403,2020-06-01 20:30:00,63.00,100.00
129-04403,2020-06-01 20:40:00,60.39,100.00
129-04403,2020-06-01 20:50:00,59.00,100.00
129-04403,2020-06-01 21:00:00,,
129-04403,2020-06-01 21:10:00,69.39,68.50
129-04403,2020-06-01 21:20:00,57.43,90.13
129-04403,2020-06-01 21:30:00,55.46,100.00
129-04403,2020-06-01 21:40:00,57.16,100.00
129-04403,2020-06-01 21:50:00,64.29,78.60
129-04403,2020-06-01 22:00:00,62.49,99.38
129-04403,2020-06-01 22:10:00,77.00,40.67
129-04403,2020-06-01 22:20:00,62.58,97.10
