tmc,tstamp,speed,cvalue
129-04403,2020-06-10 00:00:00,49.41,85.67
129-04403,2020-06-10 00:10:00,58.00,68.80
129-04403,2020-06-10 00:20:00,55.93,86.00
129-04403,2020-06-10 00:30:00,54.00,97.13
129-04403,2020-06-10 00:40:00,34.09,77.50
129-04403,2020-06-10 00:50:00,24.91,29.89
129-04403,2020-06-10 01:00:00,53.00,84.33
129-04403,2020-06-10 01:10:00,,
129-04403,2020-06-10 01:20:00,36.41,72.71
129-04403,2020-06-10 01:30:00,48.94,80.75
129-04403,2020-06-10 01:40:00,,
129-04403,2020-06-10 01:50:00,60.43,45.00
129-04403,2020-06-10 02:00:00,63.00,57.80
129-04403,2020-06-10 02:10:00,58.13,91.11
129-04403,2020-06-10 02:20:00,60.16,91.25
129-04403,2020-06-10 02:30:00,53.54,78.90
129-04403,2020-06-10 02:40:00,60.71,97.86
129-04403,2020-06-10 02:50:00,,
129-04403,2020-06-10 03:00:00,58.73,95.00
129-04403,2020-06-10 03:10:00,55.00,99.33
129-04403,2020-06-10 03:20:00,60.28,96.11
129-04403,2020-06-10 03:30:00,63.00,93.14
129-04403,2020-06-10 03:40:00,,
129-04403,2020-06-10 03:50:00,61.11,70.80
129-04403,2020-06-10 04:00:00,52.00,67.29
129-04403,2020-06-10 04:10:00,,
129-04403,2020-06-10 04:20:00,52.00,
129-04403,2020-06-10 04:30:00,52.00,
129-04403,2020-06-10 04:40:00,60.81,68.71
129-04403,2020-06-10 04:50:00,61.18,95.30
129-04403,2020-06-10 05:00:00,66.48,77.60
129-04403,2020-06-10 05:10:00,65.62,91.70
129-04403,2020-06-10 05:20:00,61.97,96.33
129-04403,2020-06-10 05:30:00,61.72,91.80
129-04403,2020-06-10 05:40:00,68.93,68.60
129-04403,2020-06-10 05:50:00,68.86,78.60
129-04403,2020-06-10 06:00:00,70.51,84.00
129-04403,2020-06-10 06:10:00,73.27,55.30
129-04403,2020-06-10 06:20:00,72.35,91.90
129-04403,2020-06-10 06:30:00,68.73,99.10
129-04403,2020-06-10 06:40:00,66.98,100.00
129-04403,2020-06-10 06:50:00,65.38,100.00
129-04403,2020-06-10 07:00:00,64.39,100.00
129-04403,2020-06-10 07:10:00,65.17,100.00
129-04403,2020-06-10 07:20:00,65.75,100.00
129-04403,2020-06-10 07:30:00,65.09,100.00
129-04403,2020-06-10 07:40:00,64.20,91.40
129-04403,2020-06-10 07:50:00,65.76,83.90
129-04403,2020-06-10 08:00:00,66.08,100.00
129-04403,2020-06-10 08:10:00,64.00,100.00
129-04403,2020-06-10 08:20:00,61.77,95.30
129-04403,2020-06-10 08:30:00,62.61,92.80
129-04403,2020-06-10 08:40:00,59.98,89.40
129-04403,2020-06-10 08:50:00,68.36,85.10
129-04403,2020-06-10 09:00:00,60.21,100.00
129-04403,2020-06-10 09:10:00,58.55,80.90
129-04403,2020-06-10 09:20:00,58.56,77.30
129-04403,2020-06-10 09:30:00,58.67,87.10
129-04403,2020-06-10 09:40:00,62.61,98.20
129-04403,2020-06-10 09:50:00,60.99,100.00
129-04403,2020-06-10 10:00:00,65.11,100.00
129-04403,2020-06-10 10:10:00,68.27,82.20
129-04403,2020-06-10 10:20:00,64.69,100.00
129-04403,2020-06-10 10:30:00,64.59,100.00
129-04403,2020-06-10 10:40:00,61.16,100.00
129-04403,2020-06-10 10:50:00,66.78,84.00
129-04403,2020-06-10 11:00:00,64.11,92.50
129-04403,2020-06-10 11:10:00,61.65,100.00
129-04403,2020-06-10 11:20:00,61.54,100.00
129-04403,2020-06-10 11:30:00,61.52,100.00
129-04403,2020-06-10 11:40:00,64.57,100.00
129-04403,2020-06-10 11:50:00,61.98,100.00
129-04403,2020-06-10 12:00:00,64.37,100.00
129-04403,2020-06-10 12:10:00,64.18,100.00
129-04403,2020-06-10 12:20:00,65.55,83.00
129-04403,2020-06-10 12:30:00,62.18,100.00
129-04403,2020-06-10 12:40:00,64.75,100.00
129-04403,2020-06-10 12:50:00,64.18,100.00
129-04403,2020-06-10 13:00:00,64.35,100.00
129-04403,2020-06-10 13:10:00,66.50,83.80
129-04403,2020-06-10 13:20:00,60.50,93.50
129-04403,2020-06-10 13:30:00,60.46,100.00
129-04403,2020-06-10 13:40:00,64.47,94.70
129-04403,2020-06-10 13:50:00,70.71,43.00
129-04403,2020-06-10 14:00:00,64.49,84.30
129-04403,2020-06-10 14:10:00,56.45,39.40
129-04403,2020-06-10 14:20:00,57.03,66.20
129-04403,2020-06-10 14:30:00,58.77,91.30
129-04403,2020-06-10 14:40:00,62.34,100.00
129-04403,2020-06-10 14:50:00,59.78,98.50
129-04403,2020-06-10 15:00:00,62.35,100.00
129-04403,2020-06-10 15:10:00,62.95,97.10
129-04403,2020-06-10 15:20:00,65.56,100.00
129-04403,2020-06-10 15:30:00,66.69,87.30
129-04403,2020-06-10 15:40:00,62.96,100.00
129-04403,2020-06-10 15:50:00,61.66,94.10
129-04403,2020-06-10 16:00:00,61.97,100.00
129-04403,2020-06-10 16:10:00,64.46,100.00
129-04403,2020-06-10 16:20:00,66.53,86.50
129-04403,2020-06-10 16:30:00,66.91,100.00
129-04403,2020-06-10 16:40:00,59.31,65.70
129-04403,2020-06-10 16:50:00,59.58,82.60
129-04403,2020-06-10 17:00:00,64.18,100.00
129-04403,2020-06-10 17:10:00,66.71,82.30
129-04403,2020-06-10 17:20:00,59.40,93.90
129-04403,2020-06-10 17:30:00,62.77,100.00
129-04403,2020-06-10 17:40:00,64.28,87.00
129-04403,2020-06-10 17:50:00,63.22,97.40
129-04403,2020-06-10 18:00:00,66.59,71.20
129-04403,2020-06-10 18:10:00,66.53,100.00
129-04403,2020-06-10 18:20:00,67.79,81.00
129-04403,2020-06-10 18:30:00,65.15,99.70
129-04403,2020-06-10 18:40:00,64.11,95.60
129-04403,2020-06-10 18:50:00,63.86,100.00
129-04403,2020-06-10 19:00:00,63.34,100.00
129-04403,2020-06-10 19:10:00,63.71,95.50
129-04403,2020-06-10 19:20:00,68.47,69.40
129-04403,2020-06-10 19:30:00,61.62,100.00
129-04403,2020-06-10 19:40:00,62.26,100.00
129-04403,2020-06-10 19:50:00,56.58,41.20
129-04403,2020-06-10 20:00:00,61.43,94.50
129-04403,2020-06-10 20:10:00,62.17,100.00
129-04403,2020-06-10 20:20:00,58.69,100.00
129-04403,2020-06-10 20:30:00,63.20,90.30
129-04403,2020-06-10 20:40:00,63.84,75.00
129-04403,2020-06-10 20:50:00,58.25,100.00
129-04403,2020-06-10 21:00:00,61.64,100.00
129-04403,2020-06-10 21:10:00,59.99,100.00
129-04403,2020-06-10 21:20:00,58.59,100.00
129-04403,2020-06-10 21:30:00,58.00,100.00
129-04403,2020-06-10 21:40:00,,
129-04403,2020-06-10 21:50:00,65.00,100.00
129-04403,2020-06-10 22:00:00,57.68,100.00
129-04403,2020-06-10 22:10:00,61.01,75.20
129-04403,2020-06-10 22:20:00,61.23,100.00
129-04403,2020-06-10 22:30:00,52.04,99.70
129-04403,2020-06-10 22:40:00,49.90,100.00
129-04403,2020-06-10 22:50:00,70.07,35.70
129-04403,2020-06-10 23:00:00,79.96,11.25
129-04403,2020-06-10 23:10:00,,
129-04403,2020-06-10 23:20:00,60.41,97.00
129-04403,2020-06-10 23:30:00,60.00,74.30
129-04403,2020-06-10 23:40:00,60.00,79.00
129-04403,2020-06-10 23:50:00,,
129-04404,2020-06-10 00:00:00,58.98,94.50
129-04404,2020-06-10 00:10:00,60.00,94.20
129-04404,2020-06-10 00:20:00,44.62,73.00
129-04404,2020-06-10 00:30:00,30.00,35.13
129-04404,2020-06-10 00:40:00,53.00,99.17
129-04404,2020-06-10 00:50:00,53.00,99.29
129-04404,2020-06-10 01:00:00,53.00,88.00
129-04404,2020-06-10 01:10:00,53.00,95.25
129-04404,2020-06-10 01:20:00,49.00,99.25
129-04404,2020-06-10 01:30:00,15.32,72.60
129-04404,2020-06-10 01:40:00,3.91,67.14
129-04404,2020-06-10 01:50:00,60.51,27.50
129-04404,2020-06-10 02:00:00,64.20,43.10
129-04404,2020-06-10 02:10:00,61.18,73.67
129-04404,2020-06-10 02:20:00,65.00,77.67
129-04404,2020-06-10 02:30:00,66.00,94.25
129-04404,2020-06-10 02:40:00,66.00,98.83
129-04404,2020-06-10 02:50:00,,
129-04404,2020-06-10 03:00:00,62.86,94.75
129-04404,2020-06-10 03:10:00,55.00,84.33
