tmc,tstamp,speed,cvalue
129+04193,2020-07-09 00:00:00,66.75,87.20
129+04193,2020-07-09 00:10:00,67.57,87.60
129+04193,2020-07-09 00:20:00,70.72,81.50
129+04193,2020-07-09 00:30:00,70.20,78.40
129+04193,2020-07-09 00:40:00,72.49,88.50
129+04193,2020-07-09 00:50:00,64.00,85.00
129+04193,2020-07-09 01:00:00,62.10,54.00
129+04193,2020-07-09 01:10:00,65.00,95.00
129+04193,2020-07-09 01:20:00,63.98,93.50
129+04193,2020-07-09 01:30:00,65.00,100.00
129+04193,2020-07-09 01:40:00,69.59,87.50
129+04193,2020-07-09 01:50:00,66.49,97.75
129+04193,2020-07-09 02:00:00,67.53,93.80
129+04193,2020-07-09 02:10:00,64.69,89.90
129+04193,2020-07-09 02:20:00,66.00,98.00
129+04193,2020-07-09 02:30:00,67.46,96.83
129+04193,2020-07-09 02:40:00,64.09,94.60
129+04193,2020-07-09 02:50:00,67.45,94.63
129+04193,2020-07-09 03:00:00,66.20,97.10
129+04193,2020-07-09 03:10:00,66.46,94.00
129+04193,2020-07-09 03:20:00,70.59,79.40
129+04193,2020-07-09 03:30:00,67.00,98.80
129+04193,2020-07-09 03:40:00,68.06,94.50
129+04193,2020-07-09 03:50:00,65.47,92.30
129+04193,2020-07-09 04:00:00,68.27,66.20
129+04193,2020-07-09 04:10:00,48.95,9.90
129+04193,2020-07-09 04:20:00,65.13,82.56
129+04193,2020-07-09 04:30:00,74.71,74.70
129+04193,2020-07-09 04:40:00,75.37,67.20
129+04193,2020-07-09 04:50:00,71.37,95.20
129+04193,2020-07-09 05:00:00,69.99,100.00
129+04193,2020-07-09 05:10:00,71.39,100.00
129+04193,2020-07-09 05:20:00,71.59,100.00
129+04193,2020-07-09 05:30:00,71.09,100.00
129+04193,2020-07-09 05:40:00,72.89,100.00
129+04193,2020-07-09 05:50:00,69.08,100.00
129+04193,2020-07-09 06:00:00,68.99,100.00
129+04193,2020-07-09 06:10:00,68.11,99.80
129+04193,2020-07-09 06:20:00,68.29,100.00
129+04193,2020-07-09 06:30:00,67.89,100.00
129+04193,2020-07-09 06:40:00,66.88,100.00
129+04193,2020-07-09 06:50:00,65.90,100.00
129+04193,2020-07-09 07:00:00,68.25,100.00
129+04193,2020-07-09 07:10:00,69.29,100.00
129+04193,2020-07-09 07:20:00,68.26,100.00
129+04193,2020-07-09 07:30:00,67.28,100.00
129+04193,2020-07-09 07:40:00,66.30,100.00
129+04193,2020-07-09 07:50:00,69.88,100.00
129+04193,2020-07-09 08:00:00,67.07,100.00
129+04193,2020-07-09 08:10:00,66.88,100.00
129+04193,2020-07-09 08:20:00,68.14,100.00
129+04193,2020-07-09 08:30:00,66.00,100.00
129+04193,2020-07-09 08:40:00,65.79,100.00
129+04193,2020-07-09 08:50:00,66.88,100.00
129+04193,2020-07-09 09:00:00,68.10,100.00
129+04193,2020-07-09 09:10:00,67.28,100.00
129+04193,2020-07-09 09:20:00,66.98,100.00
129+04193,2020-07-09 09:30:00,66.07,100.00
129+04193,2020-07-09 09:40:00,68.30,100.00
129+04193,2020-07-09 09:50:00,65.49,100.00
129+04193,2020-07-09 10:00:00,66.38,100.00
129+04193,2020-07-09 10:10:00,66.99,100.00
129+04193,2020-07-09 10:20:00,66.58,100.00
129+04193,2020-07-09 10:30:00,65.99,100.00
129+04193,2020-07-09 10:40:00,66.36,100.00
129+04193,2020-07-09 10:50:00,65.79,100.00
129+04193,2020-07-09 11:00:00,66.96,100.00
129+04193,2020-07-09 11:10:00,67.68,100.00
129+04193,2020-07-09 11:20:00,66.40,100.00
129+04193,2020-07-09 11:30:00,65.59,100.00
129+04193,2020-07-09 11:40:00,66.00,100.00
129+04193,2020-07-09 11:50:00,64.38,100.00
129+04193,2020-07-09 12:00:00,65.69,100.00
129+04193,2020-07-09 12:10:00,68.78,100.00
129+04193,2020-07-09 12:20:00,66.07,100.00
129+04193,2020-07-09 12:30:00,65.19,100.00
129+04193,2020-07-09 12:40:00,66.29,100.00
129+04193,2020-07-09 12:50:00,65.50,100.00
129+04193,2020-07-09 13:00:00,65.00,100.00
129+04193,2020-07-09 13:10:00,64.80,100.00
129+04193,2020-07-09 13:20:00,65.38,100.00
129+04193,2020-07-09 13:30:00,66.68,100.00
129+04193,2020-07-09 13:40:00,66.08,100.00
129+04193,2020-07-09 13:50:00,66.58,100.00
129+04193,2020-07-09 14:00:00,66.28,100.00
129+04193,2020-07-09 14:10:00,67.37,100.00
129+04193,2020-07-09 14:20:00,67.39,100.00
129+04193,2020-07-09 14:30:00,67.90,100.00
129+04193,2020-07-09 14:40:00,68.10,100.00
129+04193,2020-07-09 14:50:00,69.47,100.00
129+04193,2020-07-09 15:00:00,65.99,100.00
129+04193,2020-07-09 15:10:00,68.39,100.00
129+04193,2020-07-09 15:20:00,67.39,100.00
129+04193,2020-07-09 15:30:00,65.90,100.00
129+04193,2020-07-09 15:40:00,68.88,100.00
129+04193,2020-07-09 15:50:00,68.28,100.00
129+04193,2020-07-09 16:00:00,66.39,100.00
129+04193,2020-07-09 16:10:00,69.47,100.00
129+04193,2020-07-09 16:20:00,69.78,100.00
