tmc,tstamp,speed,cvalue
129N04191,2020-12-21 00:00:00,61.89,90.00
129N04191,2020-12-21 00:10:00,60.59,90.00
129N04191,2020-12-21 00:20:00,59.98,90.00
129N04191,2020-12-21 00:30:00,59.29,90.00
129N04191,2020-12-21 00:40:00,60.40,90.00
129N04191,2020-12-21 00:50:00,60.00,90.00
129N04191,2020-12-21 01:00:00,60.00,90.00
129N04191,2020-12-21 01:10:00,59.70,90.00
129N04191,2020-12-21 01:20:00,59.00,90.00
129N04191,2020-12-21 01:30:00,59.00,90.00
129N04191,2020-12-21 01:40:00,59.00,90.00
129N04191,2020-12-21 01:50:00,59.00,90.00
129N04191,2020-12-21 02:00:00,59.00,90.00
129N04191,2020-12-21 02:10:00,59.00,90.00
129N04191,2020-12-21 02:20:00,59.00,90.00
129N04191,2020-12-21 02:30:00,59.00,90.00
129N04191,2020-12-21 02:40:00,59.00,90.00
129N04191,2020-12-21 02:50:00,59.00,90.00
129N04191,2020-12-21 03:00:00,59.00,90.00
129N04191,2020-12-21 03:10:00,69.00,100.00
129N04191,2020-12-21 03:20:00,69.00,91.00
129N04191,2020-12-21 03:30:00,68.29,90.00
129N04191,2020-12-21 03:40:00,67.00,90.00
129N04191,2020-12-21 03:50:00,58.12,97.00
129N04191,2020-12-21 04:00:00,55.00,90.00
129N04191,2020-12-21 04:10:00,56.09,90.00
129N04191,2020-12-21 04:20:00,57.70,90.00
129N04191,2020-12-21 04:30:00,61.50,90.00
129N04191,2020-12-21 04:40:00,61.20,90.00
129N04191,2020-12-21 04:50:00,61.00,90.00
129N04191,2020-12-21 05:00:00,60.20,90.00
129N04191,2020-12-21 05:10:00,60.00,90.00
129N04191,2020-12-21 05:20:00,60.00,90.00
129N04191,2020-12-21 05:30:00,60.00,90.00
129N04191,2020-12-21 05:40:00,60.69,90.00
129N04191,2020-12-21 05:50:00,59.49,90.00
129N04191,2020-12-21 06:00:00,60.72,78.00
129N04191,2020-12-21 06:10:00,62.20,78.00
129N04191,2020-12-21 06:20:00,59.81,74.00
129N04191,2020-12-21 06:30:00,56.85,73.00
129N04191,2020-12-21 06:40:00,56.48,80.00
129N04191,2020-12-21 06:50:00,52.62,81.00
129N04191,2020-12-21 07:00:00,54.94,86.00
129N04191,2020-12-21 07:10:00,56.45,86.00
129N04191,2020-12-21 07:20:00,55.78,82.00
129N04191,2020-12-21 07:30:00,58.06,86.00
129N04191,2020-12-21 07:40:00,57.63,87.00
129N04191,2020-12-21 07:50:00,58.61,81.00
