tmc,tstamp,speed,cvalue
129P04245,2020-05-08 00:00:00,67.19,49.10
129P04245,2020-05-08 00:10:00,63.38,27.50
129P04245,2020-05-08 00:20:00,70.36,88.30
129P04245,2020-05-08 00:30:00,70.41,87.67
129P04245,2020-05-08 00:40:00,67.00,92.00
129P04245,2020-05-08 00:50:00,71.81,68.44
129P04245,2020-05-08 01:00:00,67.19,90.80
129P04245,2020-05-08 01:10:00,66.10,82.20
129P04245,2020-05-08 01:20:00,66.73,91.00
129P04245,2020-05-08 01:30:00,,
129P04245,2020-05-08 01:40:00,,
129P04245,2020-05-08 01:50:00,,
129P04245,2020-05-08 02:00:00,81.00,50.60
129P04245,2020-05-08 02:10:00,69.99,36.20
129P04245,2020-05-08 02:20:00,65.89,51.80
129P04245,2020-05-08 02:30:00,69.57,91.11
129P04245,2020-05-08 02:40:00,71.00,100.00
129P04245,2020-05-08 02:50:00,,
129P04245,2020-05-08 03:00:00,,
129P04245,2020-05-08 03:10:00,64.83,60.88
129P04245,2020-05-08 03:20:00,74.88,31.00
129P04245,2020-05-08 03:30:00,71.04,67.50
129P04245,2020-05-08 03:40:00,67.00,87.13
129P04245,2020-05-08 03:50:00,67.00,90.33
129P04245,2020-05-08 04:00:00,,
129P04245,2020-05-08 04:10:00,,
129P04245,2020-05-08 04:20:00,,
129P04245,2020-05-08 04:30:00,,
129P04245,2020-05-08 04:40:00,64.00,100.00
129P04245,2020-05-08 04:50:00,65.25,93.60
129P04245,2020-05-08 05:00:00,67.47,88.30
129P04245,2020-05-08 05:10:00,65.39,92.78
129P04245,2020-05-08 05:20:00,76.03,33.60
129P04245,2020-05-08 05:30:00,71.47,89.10
129P04245,2020-05-08 05:40:00,72.44,87.80
129P04245,2020-05-08 05:50:00,69.62,84.20
129P04245,2020-05-08 06:00:00,68.06,79.00
129P04245,2020-05-08 06:10:00,74.04,83.10
129P04245,2020-05-08 06:20:00,71.49,98.80
129P04245,2020-05-08 06:30:00,69.42,93.10
129P04245,2020-05-08 06:40:00,69.15,95.30
129P04245,2020-05-08 06:50:00,75.24,75.00
129P04245,2020-05-08 07:00:00,71.37,98.20
129P04245,2020-05-08 07:10:00,70.62,99.00
129P04245,2020-05-08 07:20:00,70.91,98.20
129P04245,2020-05-08 07:30:00,67.81,98.50
129P04245,2020-05-08 07:40:00,69.68,100.00
129P04245,2020-05-08 07:50:00,71.74,91.50
129P04245,2020-05-08 08:00:00,70.76,95.60
129P04245,2020-05-08 08:10:00,72.84,83.00
129P04245,2020-05-08 08:20:00,73.66,85.20
129P04245,2020-05-08 08:30:00,72.94,90.70
129P04245,2020-05-08 08:40:00,72.05,97.90
129P04245,2020-05-08 08:50:00,73.34,91.40
129P04245,2020-05-08 09:00:00,75.62,82.20
129P04245,2020-05-08 09:10:00,66.00,99.90
129P04245,2020-05-08 09:20:00,70.09,100.00
129P04245,2020-05-08 09:30:00,68.88,100.00
129P04245,2020-05-08 09:40:00,68.08,100.00
129P04245,2020-05-08 09:50:00,66.90,100.00
129P04245,2020-05-08 10:00:00,72.40,71.30
129P04245,2020-05-08 10:10:00,71.82,76.80
129P04245,2020-05-08 10:20:00,69.91,99.20
129P04245,2020-05-08 10:30:00,73.79,91.00
129P04245,2020-05-08 10:40:00,70.10,95.70
129P04245,2020-05-08 10:50:00,67.73,100.00
129P04245,2020-05-08 11:00:00,70.54,100.00
129P04245,2020-05-08 11:10:00,75.44,69.70
