tmc,tstamp,speed,cvalue
129P04245,2020-05-05 00:00:00,71.55,90.30
129P04245,2020-05-05 00:10:00,70.99,96.38
129P04245,2020-05-05 00:20:00,67.00,65.67
129P04245,2020-05-05 00:30:00,72.36,44.60
129P04245,2020-05-05 00:40:00,68.98,78.10
129P04245,2020-05-05 00:50:00,71.09,98.20
129P04245,2020-05-05 01:00:00,73.00,93.67
129P04245,2020-05-05 01:10:00,71.65,93.67
129P04245,2020-05-05 01:20:00,71.00,95.40
129P04245,2020-05-05 01:30:00,,
129P04245,2020-05-05 01:40:00,,
129P04245,2020-05-05 01:50:00,64.42,43.29
129P04245,2020-05-05 02:00:00,61.98,46.80
129P04245,2020-05-05 02:10:00,,
129P04245,2020-05-05 02:20:00,67.11,78.44
129P04245,2020-05-05 02:30:00,67.39,89.30
129P04245,2020-05-05 02:40:00,66.55,87.83
129P04245,2020-05-05 02:50:00,73.00,59.10
129P04245,2020-05-05 03:00:00,67.80,94.00
129P04245,2020-05-05 03:10:00,68.39,99.00
129P04245,2020-05-05 03:20:00,64.53,66.88
129P04245,2020-05-05 03:30:00,62.77,53.40
129P04245,2020-05-05 03:40:00,64.00,77.50
129P04245,2020-05-05 03:50:00,63.00,81.00
129P04245,2020-05-05 04:00:00,63.00,97.13
129P04245,2020-05-05 04:10:00,77.00,10.86
129P04245,2020-05-05 04:20:00,76.08,52.57
129P04245,2020-05-05 04:30:00,67.38,85.70
129P04245,2020-05-05 04:40:00,64.18,63.56
129P04245,2020-05-05 04:50:00,66.28,79.44
129P04245,2020-05-05 05:00:00,69.00,99.33
129P04245,2020-05-05 05:10:00,75.00,25.80
129P04245,2020-05-05 05:20:00,75.58,40.10
129P04245,2020-05-05 05:30:00,72.51,78.90
129P04245,2020-05-05 05:40:00,76.15,55.50
129P04245,2020-05-05 05:50:00,75.81,64.30
129P04245,2020-05-05 06:00:00,72.57,92.20
129P04245,2020-05-05 06:10:00,72.67,98.50
129P04245,2020-05-05 06:20:00,72.79,97.40
129P04245,2020-05-05 06:30:00,76.55,81.40
129P04245,2020-05-05 06:40:00,76.58,87.10
129P04245,2020-05-05 06:50:00,76.78,90.60
129P04245,2020-05-05 07:00:00,71.67,98.50
129P04245,2020-05-05 07:10:00,71.63,99.70
129P04245,2020-05-05 07:20:00,67.66,100.00
129P04245,2020-05-05 07:30:00,70.79,100.00
129P04245,2020-05-05 07:40:00,71.78,93.10
129P04245,2020-05-05 07:50:00,67.45,95.20
129P04245,2020-05-05 08:00:00,67.49,100.00
129P04245,2020-05-05 08:10:00,68.19,100.00
129P04245,2020-05-05 08:20:00,65.99,100.00
129P04245,2020-05-05 08:30:00,67.08,100.00
129P04245,2020-05-05 08:40:00,65.30,100.00
129P04245,2020-05-05 08:50:00,65.09,100.00
129P04245,2020-05-05 09:00:00,65.10,100.00
129P04245,2020-05-05 09:10:00,67.50,100.00
129P04245,2020-05-05 09:20:00,64.20,100.00
129P04245,2020-05-05 09:30:00,63.05,96.00
129P04245,2020-05-05 09:40:00,66.50,100.00
129P04245,2020-05-05 09:50:00,67.10,100.00
129P04245,2020-05-05 10:00:00,66.99,100.00
129P04245,2020-05-05 10:10:00,66.13,100.00
129P04245,2020-05-05 10:20:00,67.54,97.60
129P04245,2020-05-05 10:30:00,68.15,92.00
129P04245,2020-05-05 10:40:00,67.59,100.00
129P04245,2020-05-05 10:50:00,68.75,96.30
129P04245,2020-05-05 11:00:00,71.73,71.90
129P04245,2020-05-05 11:10:00,69.79,99.50
129P04245,2020-05-05 11:20:00,70.80,99.70
129P04245,2020-05-05 11:30:00,70.46,95.30
129P04245,2020-05-05 11:40:00,68.58,99.30
129P04245,2020-05-05 11:50:00,70.65,100.00
129P04245,2020-05-05 12:00:00,70.84,92.80
129P04245,2020-05-05 12:10:00,67.79,100.00
129P04245,2020-05-05 12:20:00,69.95,95.70
129P04245,2020-05-05 12:30:00,70.26,96.50
129P04245,2020-05-05 12:40:00,70.85,100.00
129P04245,2020-05-05 12:50:00,70.08,100.00
129P04245,2020-05-05 13:00:00,67.39,100.00
129P04245,2020-05-05 13:10:00,68.83,96.50
129P04245,2020-05-05 13:20:00,72.23,83.90
129P04245,2020-05-05 13:30:00,70.46,100.00
129P04245,2020-05-05 13:40:00,71.35,90.60
129P04245,2020-05-05 13:50:00,70.86,85.30
129P04245,2020-05-05 14:00:00,69.89,100.00
129P04245,2020-05-05 14:10:00,70.29,100.00
129P04245,2020-05-05 14:20:00,69.38,100.00
129P04245,2020-05-05 14:30:00,68.87,100.00
129P04245,2020-05-05 14:40:00,70.56,100.00
129P04245,2020-05-05 14:50:00,73.57,100.00
129P04245,2020-05-05 15:00:00,71.56,100.00
129P04245,2020-05-05 15:10:00,69.47,100.00
129P04245,2020-05-05 15:20:00,69.16,100.00
129P04245,2020-05-05 15:30:00,70.59,100.00
129P04245,2020-05-05 15:40:00,70.59,100.00
129P04245,2020-05-05 15:50:00,69.28,100.00
129P04245,2020-05-05 16:00:00,71.08,100.00
129P04245,2020-05-05 16:10:00,75.06,100.00
129P04245,2020-05-05 16:20:00,71.08,100.00
129P04245,2020-05-05 16:30:00,70.38,100.00
129P04245,2020-05-05 16:40:00,68.38,100.00
129P04245,2020-05-05 16:50:00,69.50,100.00
129P04245,2020-05-05 17:00:00,69.58,100.00
129P04245,2020-05-05 17:10:00,71.65,100.00
129P04245,2020-05-05 17:20:00,72.51,95.80
129P04245,2020-05-05 17:30:00,70.57,100.00
129P04245,2020-05-05 17:40:00,70.49,100.00
129P04245,2020-05-05 17:50:00,72.17,98.10
129P04245,2020-05-05 18:00:00,68.66,81.40
129P04245,2020-05-05 18:10:00,72.14,88.10
129P04245,2020-05-05 18:20:00,71.64,100.00
129P04245,2020-05-05 18:30:00,71.37,87.70
129P04245,2020-05-05 18:40:00,76.37,73.20
129P04245,2020-05-05 18:50:00,67.99,65.20
129P04245,2020-05-05 19:00:00,67.55,72.10
129P04245,2020-05-05 19:10:00,70.76,100.00
129P04245,2020-05-05 19:20:00,68.45,85.40
129P04245,2020-05-05 19:30:00,70.33,93.20
129P04245,2020-05-05 19:40:00,72.68,82.30
129P04245,2020-05-05 19:50:00,71.47,96.60
129P04245,2020-05-05 20:00:00,67.12,100.00
129P04245,2020-05-05 20:10:00,69.71,95.70
129P04245,2020-05-05 20:20:00,70.27,100.00
129P04245,2020-05-05 20:30:00,69.77,100.00
129P04245,2020-05-05 20:40:00,73.90,75.70
129P04245,2020-05-05 20:50:00,73.59,76.80
129P04245,2020-05-05 21:00:00,68.51,91.00
129P04245,2020-05-05 21:10:00,74.05,88.10
129P04245,2020-05-05 21:20:00,70.32,74.00
129P04245,2020-05-05 21:30:00,63.55,34.10
129P04245,2020-05-05 21:40:00,68.94,100.00
129P04245,2020-05-05 21:50:00,66.19,73.60
129P04245,2020-05-05 22:00:00,70.37,70.70
129P04245,2020-05-05 22:10:00,60.96,42.00
129P04245,2020-05-05 22:20:00,59.18,47.20
129P04245,2020-05-05 22:30:00,63.31,87.00
129P04245,2020-05-05 22:40:00,72.90,42.30
129P04245,2020-05-05 22:50:00,73.99,45.40
129P04245,2020-05-05 23:00:00,75.00,56.00
129P04245,2020-05-05 23:10:00,70.76,90.80
129P04245,2020-05-05 23:20:00,68.18,66.80
129P04245,2020-05-05 23:30:00,73.70,82.30
129P04245,2020-05-05 23:40:00,68.26,79.50
129P04245,2020-05-05 23:50:00,65.00,58.30
129P04244,2020-05-05 00:00:00,74.04,92.60
129P04244,2020-05-05 00:10:00,71.89,85.29
129P04244,2020-05-05 00:20:00,68.12,66.43
129P04244,2020-05-05 00:30:00,71.14,67.20
129P04244,2020-05-05 00:40:00,73.59,85.30
129P04244,2020-05-05 00:50:00,72.41,88.40
129P04244,2020-05-05 01:00:00,81.80,44.40
129P04244,2020-05-05 01:10:00,71.00,89.75
129P04244,2020-05-05 01:20:00,71.00,89.25
129P04244,2020-05-05 01:30:00,,
129P04244,2020-05-05 01:40:00,,
129P04244,2020-05-05 01:50:00,63.47,46.11
129P04244,2020-05-05 02:00:00,60.50,54.75
129P04244,2020-05-05 02:10:00,,
129P04244,2020-05-05 02:20:00,69.00,70.00
129P04244,2020-05-05 02:30:00,67.09,77.90
129P04244,2020-05-05 02:40:00,68.28,80.20
129P04244,2020-05-05 02:50:00,72.00,79.89
129P04244,2020-05-05 03:00:00,65.25,87.13
129P04244,2020-05-05 03:10:00,67.38,98.40
129P04244,2020-05-05 03:20:00,60.82,68.20
129P04244,2020-05-05 03:30:00,60.00,71.00
129P04244,2020-05-05 03:40:00,,
129P04244,2020-05-05 03:50:00,62.00,96.33
129P04244,2020-05-05 04:00:00,62.00,99.86
129P04244,2020-05-05 04:10:00,71.00,63.63
129P04244,2020-05-05 04:20:00,71.15,81.20
129P04244,2020-05-05 04:30:00,68.00,98.70
129P04244,2020-05-05 04:40:00,65.29,91.60
129P04244,2020-05-05 04:50:00,64.36,82.40
129P04244,2020-05-05 05:00:00,69.32,56.90
129P04244,2020-05-05 05:10:00,76.69,43.20
129P04244,2020-05-05 05:20:00,76.10,60.70
129P04244,2020-05-05 05:30:00,72.24,80.60
129P04244,2020-05-05 05:40:00,77.23,65.90
129P04244,2020-05-05 05:50:00,77.40,76.60
129P04244,2020-05-05 06:00:00,74.61,85.60
129P04244,2020-05-05 06:10:00,77.26,82.00
129P04244,2020-05-05 06:20:00,73.78,86.40
129P04244,2020-05-05 06:30:00,77.52,87.10
129P04244,2020-05-05 06:40:00,76.99,95.50
129P04244,2020-05-05 06:50:00,77.58,92.40
129P04244,2020-05-05 07:00:00,74.06,92.40
129P04244,2020-05-05 07:10:00,73.17,89.90
129P04244,2020-05-05 07:20:00,68.54,99.20
129P04244,2020-05-05 07:30:00,72.74,99.50
129P04244,2020-05-05 07:40:00,70.45,95.00
129P04244,2020-05-05 07:50:00,69.15,98.70
129P04244,2020-05-05 08:00:00,73.79,81.60
129P04244,2020-05-05 08:10:00,69.99,100.00
129P04244,2020-05-05 08:20:00,70.14,94.80
129P04244,2020-05-05 08:30:00,70.37,90.60
129P04244,2020-05-05 08:40:00,69.89,100.00
129P04244,2020-05-05 08:50:00,67.58,100.00
129P04244,2020-05-05 09:00:00,69.89,100.00
129P04244,2020-05-05 09:10:00,68.00,100.00
129P04244,2020-05-05 09:20:00,66.70,100.00
129P04244,2020-05-05 09:30:00,68.70,93.10
129P04244,2020-05-05 09:40:00,68.88,100.00
129P04244,2020-05-05 09:50:00,67.97,100.00
129P04244,2020-05-05 10:00:00,64.70,100.00
129P04244,2020-05-05 10:10:00,66.00,100.00
129P04244,2020-05-05 10:20:00,69.08,97.50
129P04244,2020-05-05 10:30:00,69.24,85.00
129P04244,2020-05-05 10:40:00,65.56,100.00
129P04244,2020-05-05 10:50:00,65.49,100.00
129P04244,2020-05-05 11:00:00,72.12,59.00
129P04244,2020-05-05 11:10:00,69.28,95.50
129P04244,2020-05-05 11:20:00,68.08,100.00
129P04244,2020-05-05 11:30:00,69.76,93.60
129P04244,2020-05-05 11:40:00,69.58,97.80
129P04244,2020-05-05 11:50:00,71.59,98.80
129P04244,2020-05-05 12:00:00,70.70,89.80
129P04244,2020-05-05 12:10:00,70.69,100.00
129P04244,2020-05-05 12:20:00,69.56,99.00
129P04244,2020-05-05 12:30:00,69.09,100.00
129P04244,2020-05-05 12:40:00,71.15,100.00
129P04244,2020-05-05 12:50:00,69.49,100.00
129P04244,2020-05-05 13:00:00,70.16,99.90
129P04244,2020-05-05 13:10:00,69.47,98.10
129P04244,2020-05-05 13:20:00,71.96,92.40
129P04244,2020-05-05 13:30:00,68.99,100.00
129P04244,2020-05-05 13:40:00,70.50,99.40
129P04244,2020-05-05 13:50:00,71.63,91.00
129P04244,2020-05-05 14:00:00,69.19,100.00
129P04244,2020-05-05 14:10:00,69.18,100.00
129P04244,2020-05-05 14:20:00,69.27,100.00
129P04244,2020-05-05 14:30:00,71.09,97.20
129P04244,2020-05-05 14:40:00,69.99,99.40
129P04244,2020-05-05 14:50:00,72.18,99.30
129P04244,2020-05-05 15:00:00,72.06,100.00
129P04244,2020-05-05 15:10:00,68.68,100.00
129P04244,2020-05-05 15:20:00,70.28,100.00
129P04244,2020-05-05 15:30:00,71.86,100.00
129P04244,2020-05-05 15:40:00,70.45,100.00
129P04244,2020-05-05 15:50:00,68.67,100.00
129P04244,2020-05-05 16:00:00,74.45,100.00
129P04244,2020-05-05 16:10:00,74.45,100.00
129P04244,2020-05-05 16:20:00,70.79,100.00
129P04244,2020-05-05 16:30:00,69.65,100.00
129P04244,2020-05-05 16:40:00,70.90,100.00
129P04244,2020-05-05 16:50:00,69.37,100.00
129P04244,2020-05-05 17:00:00,71.17,100.00
129P04244,2020-05-05 17:10:00,73.13,100.00
129P04244,2020-05-05 17:20:00,74.57,94.30
129P04244,2020-05-05 17:30:00,71.96,100.00
129P04244,2020-05-05 17:40:00,71.47,99.70
129P04244,2020-05-05 17:50:00,72.48,98.70
129P04244,2020-05-05 18:00:00,75.46,89.00
129P04244,2020-05-05 18:10:00,74.65,89.40
129P04244,2020-05-05 18:20:00,72.95,100.00
129P04244,2020-05-05 18:30:00,73.49,87.60
129P04244,2020-05-05 18:40:00,76.89,90.40
129P04244,2020-05-05 18:50:00,74.28,96.50
