tmc,tstamp,speed,cvalue
129-04249,2021-03-30 00:00:00,59.00,100.00
129-04249,2021-03-30 00:10:00,58.49,100.00
129-04249,2021-03-30 00:20:00,59.98,100.00
129-04249,2021-03-30 00:30:00,59.39,100.00
129-04249,2021-03-30 00:40:00,59.60,100.00
129-04249,2021-03-30 00:50:00,63.08,98.00
129-04249,2021-03-30 01:00:00,67.19,98.00
129-04249,2021-03-30 01:10:00,66.99,100.00
129-04249,2021-03-30 01:20:00,64.59,96.00
129-04249,2021-03-30 01:30:00,61.99,96.00
129-04249,2021-03-30 01:40:00,61.70,99.00
129-04249,2021-03-30 01:50:00,65.00,100.00
129-04249,2021-03-30 02:00:00,65.09,100.00
129-04249,2021-03-30 02:10:00,65.18,100.00
129-04249,2021-03-30 02:20:00,60.15,100.00
129-04249,2021-03-30 02:30:00,61.67,100.00
129-04249,2021-03-30 02:40:00,62.40,100.00
129-04249,2021-03-30 02:50:00,62.00,100.00
129-04249,2021-03-30 03:00:00,62.50,100.00
129-04249,2021-03-30 03:10:00,64.73,100.00
129-04249,2021-03-30 03:20:00,68.91,100.00
129-04249,2021-03-30 03:30:00,63.26,100.00
129-04249,2021-03-30 03:40:00,65.00,100.00
129-04249,2021-03-30 03:50:00,65.29,100.00
129-04249,2021-03-30 04:00:00,64.75,100.00
129-04249,2021-03-30 04:10:00,63.98,100.00
129-04249,2021-03-30 04:20:00,67.19,100.00
129-04249,2021-03-30 04:30:00,67.42,100.00
129-04249,2021-03-30 04:40:00,61.97,100.00
129-04249,2021-03-30 04:50:00,66.88,100.00
129-04249,2021-03-30 05:00:00,69.89,100.00
129-04249,2021-03-30 05:10:00,72.87,100.00
129-04249,2021-03-30 05:20:00,67.40,100.00
129-04249,2021-03-30 05:30:00,70.85,100.00
129-04249,2021-03-30 05:40:00,71.10,100.00
129-04249,2021-03-30 05:50:00,70.67,100.00
129-04249,2021-03-30 06:00:00,69.50,100.00
129-04249,2021-03-30 06:10:00,68.98,100.00
129-04249,2021-03-30 06:20:00,66.22,100.00
129-04249,2021-03-30 06:30:00,68.65,100.00
129-04249,2021-03-30 06:40:00,63.84,100.00
129-04249,2021-03-30 06:50:00,48.61,99.00
129-04249,2021-03-30 07:00:00,62.97,100.00
129-04249,2021-03-30 07:10:00,66.93,100.00
129-04249,2021-03-30 07:20:00,64.51,100.00
129-04249,2021-03-30 07:30:00,63.99,100.00
129-04249,2021-03-30 07:40:00,67.95,100.00
129-04249,2021-03-30 07:50:00,65.54,100.00
129-04249,2021-03-30 08:00:00,65.68,100.00
129-04249,2021-03-30 08:10:00,66.62,100.00
129-04249,2021-03-30 08:20:00,67.04,100.00
129-04249,2021-03-30 08:30:00,66.46,100.00
129-04249,2021-03-30 08:40:00,68.35,100.00
129-04249,2021-03-30 08:50:00,66.17,100.00
129-04249,2021-03-30 09:00:00,69.27,100.00
129-04249,2021-03-30 09:10:00,66.64,100.00
129-04249,2021-03-30 09:20:00,67.47,100.00
129-04249,2021-03-30 09:30:00,66.40,100.00
129-04249,2021-03-30 09:40:00,65.83,100.00
129-04249,2021-03-30 09:50:00,67.17,100.00
129-04249,2021-03-30 10:00:00,66.34,100.00
129-04249,2021-03-30 10:10:00,64.33,100.00
129-04249,2021-03-30 10:20:00,66.19,100.00
129-04249,2021-03-30 10:30:00,65.47,100.00
129-04249,2021-03-30 10:40:00,64.84,100.00
129-04249,2021-03-30 10:50:00,64.40,100.00
129-04249,2021-03-30 11:00:00,66.25,100.00
129-04249,2021-03-30 11:10:00,66.15,100.00
129-04249,2021-03-30 11:20:00,66.44,100.00
129-04249,2021-03-30 11:30:00,68.58,100.00
129-04249,2021-03-30 11:40:00,62.89,100.00
129-04249,2021-03-30 11:50:00,67.21,100.00
129-04249,2021-03-30 12:00:00,66.16,100.00
129-04249,2021-03-30 12:10:00,65.67,100.00
129-04249,2021-03-30 12:20:00,65.85,100.00
129-04249,2021-03-30 12:30:00,65.87,100.00
129-04249,2021-03-30 12:40:00,64.32,100.00
129-04249,2021-03-30 12:50:00,61.28,100.00
129-04249,2021-03-30 13:00:00,67.35,100.00
129-04249,2021-03-30 13:10:00,64.40,100.00
129-04249,2021-03-30 13:20:00,66.57,100.00
129-04249,2021-03-30 13:30:00,66.85,100.00
129-04249,2021-03-30 13:40:00,67.25,100.00
129-04249,2021-03-30 13:50:00,63.13,100.00
129-04249,2021-03-30 14:00:00,66.65,100.00
129-04249,2021-03-30 14:10:00,66.71,100.00
129-04249,2021-03-30 14:20:00,65.26,100.00
129-04249,2021-03-30 14:30:00,67.56,100.00
129-04249,2021-03-30 14:40:00,66.74,100.00
129-04249,2021-03-30 14:50:00,64.85,100.00
129-04249,2021-03-30 15:00:00,68.05,100.00
129-04249,2021-03-30 15:10:00,67.16,100.00
129-04249,2021-03-30 15:20:00,66.81,100.00
