tmc,tstamp,speed,cvalue
129-04249,2020-07-18 00:00:00,77.29,27.70
129-04249,2020-07-18 00:10:00,61.51,42.70
129-04249,2020-07-18 00:20:00,61.98,79.00
129-04249,2020-07-18 00:30:00,62.70,90.10
129-04249,2020-07-18 00:40:00,63.29,94.10
129-04249,2020-07-18 00:50:00,63.18,99.10
129-04249,2020-07-18 01:00:00,61.80,96.10
129-04249,2020-07-18 01:10:00,66.33,71.60
129-04249,2020-07-18 01:20:00,63.89,99.70
129-04249,2020-07-18 01:30:00,62.28,93.40
129-04249,2020-07-18 01:40:00,67.49,56.10
129-04249,2020-07-18 01:50:00,71.39,45.50
129-04249,2020-07-18 02:00:00,65.84,82.20
129-04249,2020-07-18 02:10:00,63.00,71.80
129-04249,2020-07-18 02:20:00,63.50,82.50
129-04249,2020-07-18 02:30:00,64.30,83.43
129-04249,2020-07-18 02:40:00,56.90,43.40
129-04249,2020-07-18 02:50:00,61.99,89.30
129-04249,2020-07-18 03:00:00,65.07,79.40
129-04249,2020-07-18 03:10:00,65.74,73.00
129-04249,2020-07-18 03:20:00,63.97,95.00
129-04249,2020-07-18 03:30:00,63.69,98.80
129-04249,2020-07-18 03:40:00,69.96,58.70
129-04249,2020-07-18 03:50:00,65.87,94.40
129-04249,2020-07-18 04:00:00,65.93,91.60
129-04249,2020-07-18 04:10:00,63.76,88.40
129-04249,2020-07-18 04:20:00,62.40,76.11
129-04249,2020-07-18 04:30:00,59.85,72.90
129-04249,2020-07-18 04:40:00,65.02,85.30
129-04249,2020-07-18 04:50:00,67.94,63.83
129-04249,2020-07-18 05:00:00,70.46,45.10
129-04249,2020-07-18 05:10:00,74.67,21.10
129-04249,2020-07-18 05:20:00,63.46,74.20
129-04249,2020-07-18 05:30:00,73.55,82.80
129-04249,2020-07-18 05:40:00,75.07,80.40
129-04249,2020-07-18 05:50:00,69.75,100.00
129-04249,2020-07-18 06:00:00,75.96,59.10
129-04249,2020-07-18 06:10:00,71.47,100.00
129-04249,2020-07-18 06:20:00,73.10,97.20
129-04249,2020-07-18 06:30:00,70.73,99.20
129-04249,2020-07-18 06:40:00,68.79,100.00
129-04249,2020-07-18 06:50:00,67.01,100.00
129-04249,2020-07-18 07:00:00,72.91,84.90
129-04249,2020-07-18 07:10:00,70.71,97.50
129-04249,2020-07-18 07:20:00,68.67,100.00
129-04249,2020-07-18 07:30:00,69.85,100.00
129-04249,2020-07-18 07:40:00,71.27,100.00
129-04249,2020-07-18 07:50:00,74.56,91.60
129-04249,2020-07-18 08:00:00,71.10,100.00
129-04249,2020-07-18 08:10:00,68.81,98.00
129-04249,2020-07-18 08:20:00,69.47,100.00
129-04249,2020-07-18 08:30:00,70.32,100.00
129-04249,2020-07-18 08:40:00,72.96,100.00
129-04249,2020-07-18 08:50:00,74.09,98.90
129-04249,2020-07-18 09:00:00,69.08,100.00
129-04249,2020-07-18 09:10:00,69.98,100.00
129-04249,2020-07-18 09:20:00,70.88,100.00
129-04249,2020-07-18 09:30:00,69.38,100.00
129-04249,2020-07-18 09:40:00,71.29,100.00
129-04249,2020-07-18 09:50:00,70.60,100.00
129-04249,2020-07-18 10:00:00,70.59,100.00
129-04249,2020-07-18 10:10:00,69.29,100.00
129-04249,2020-07-18 10:20:00,66.75,100.00
129-04249,2020-07-18 10:30:00,67.46,100.00
129-04249,2020-07-18 10:40:00,70.87,100.00
129-04249,2020-07-18 10:50:00,67.55,100.00
129-04249,2020-07-18 11:00:00,68.19,100.00
129-04249,2020-07-18 11:10:00,69.77,100.00
129-04249,2020-07-18 11:20:00,69.70,100.00
129-04249,2020-07-18 11:30:00,67.46,100.00
129-04249,2020-07-18 11:40:00,68.48,100.00
129-04249,2020-07-18 11:50:00,69.39,100.00
129-04249,2020-07-18 12:00:00,69.88,100.00
129-04249,2020-07-18 12:10:00,67.98,100.00
129-04249,2020-07-18 12:20:00,67.08,100.00
129-04249,2020-07-18 12:30:00,69.39,100.00
129-04249,2020-07-18 12:40:00,68.39,100.00
129-04249,2020-07-18 12:50:00,70.56,100.00
129-04249,2020-07-18 13:00:00,71.97,100.00
129-04249,2020-07-18 13:10:00,71.00,100.00
129-04249,2020-07-18 13:20:00,71.29,100.00
129-04249,2020-07-18 13:30:00,67.48,100.00
129-04249,2020-07-18 13:40:00,68.40,100.00
129-04249,2020-07-18 13:50:00,67.39,100.00
129-04249,2020-07-18 14:00:00,67.64,100.00
129-04249,2020-07-18 14:10:00,68.89,100.00
129-04249,2020-07-18 14:20:00,70.84,100.00
129-04249,2020-07-18 14:30:00,73.07,100.00
129-04249,2020-07-18 14:40:00,69.39,100.00
129-04249,2020-07-18 14:50:00,69.79,100.00
129-04249,2020-07-18 15:00:00,71.68,100.00
129-04249,2020-07-18 15:10:00,69.39,100.00
129-04249,2020-07-18 15:20:00,70.29,100.00
129-04249,2020-07-18 15:30:00,71.88,100.00
129-04249,2020-07-18 15:40:00,66.93,100.00
129-04249,2020-07-18 15:50:00,69.79,100.00
129-04249,2020-07-18 16:00:00,69.59,100.00
129-04249,2020-07-18 16:10:00,69.89,100.00
129-04249,2020-07-18 16:20:00,68.89,100.00
129-04249,2020-07-18 16:30:00,70.92,100.00
129-04249,2020-07-18 16:40:00,72.55,98.20
129-04249,2020-07-18 16:50:00,69.29,100.00
129-04249,2020-07-18 17:00:00,70.17,100.00
129-04249,2020-07-18 17:10:00,70.49,100.00
129-04249,2020-07-18 17:20:00,69.35,100.00
129-04249,2020-07-18 17:30:00,68.36,100.00
129-04249,2020-07-18 17:40:00,70.69,100.00
129-04249,2020-07-18 17:50:00,70.39,100.00
129-04249,2020-07-18 18:00:00,71.48,100.00
129-04249,2020-07-18 18:10:00,71.29,100.00
129-04249,2020-07-18 18:20:00,69.18,100.00
129-04249,2020-07-18 18:30:00,74.38,100.00
129-04249,2020-07-18 18:40:00,69.81,100.00
129-04249,2020-07-18 18:50:00,68.68,100.00
129-04249,2020-07-18 19:00:00,69.55,100.00
129-04249,2020-07-18 19:10:00,70.16,100.00
129-04249,2020-07-18 19:20:00,67.75,100.00
129-04249,2020-07-18 19:30:00,68.16,100.00
129-04249,2020-07-18 19:40:00,70.28,100.00
129-04249,2020-07-18 19:50:00,70.58,100.00
129-04249,2020-07-18 20:00:00,66.89,100.00
129-04249,2020-07-18 20:10:00,68.99,100.00
129-04249,2020-07-18 20:20:00,67.86,100.00
129-04249,2020-07-18 20:30:00,65.49,96.10
129-04249,2020-07-18 20:40:00,67.49,100.00
129-04249,2020-07-18 20:50:00,65.88,100.00
129-04249,2020-07-18 21:00:00,64.58,100.00
129-04249,2020-07-18 21:10:00,65.38,100.00
129-04249,2020-07-18 21:20:00,65.19,100.00
129-04249,2020-07-18 21:30:00,65.94,100.00
129-04249,2020-07-18 21:40:00,68.77,100.00
129-04249,2020-07-18 21:50:00,68.61,100.00
129-04249,2020-07-18 22:00:00,63.38,100.00
129-04249,2020-07-18 22:10:00,66.09,100.00
129-04249,2020-07-18 22:20:00,68.00,100.00
129-04249,2020-07-18 22:30:00,68.67,100.00
129-04249,2020-07-18 22:40:00,67.10,100.00
129-04249,2020-07-18 22:50:00,67.08,100.00
129-04249,2020-07-18 23:00:00,67.84,94.10
129-04249,2020-07-18 23:10:00,60.46,49.20
129-04249,2020-07-18 23:20:00,67.85,64.60
129-04249,2020-07-18 23:30:00,68.96,73.70
129-04249,2020-07-18 23:40:00,68.03,90.80
129-04249,2020-07-18 23:50:00,63.69,86.30
129-04247,2020-07-18 00:00:00,69.78,71.90
129-04247,2020-07-18 00:10:00,65.94,89.75
129-04247,2020-07-18 00:20:00,65.38,87.30
129-04247,2020-07-18 00:30:00,70.00,83.00
129-04247,2020-07-18 00:40:00,55.00,41.75
129-04247,2020-07-18 00:50:00,55.00,63.20
129-04247,2020-07-18 01:00:00,60.49,92.22
129-04247,2020-07-18 01:10:00,66.37,51.70
129-04247,2020-07-18 01:20:00,62.27,87.50
129-04247,2020-07-18 01:30:00,59.99,92.80
129-04247,2020-07-18 01:40:00,64.69,53.30
129-04247,2020-07-18 01:50:00,78.00,18.20
129-04247,2020-07-18 02:00:00,70.20,42.00
129-04247,2020-07-18 02:10:00,62.00,80.90
129-04247,2020-07-18 02:20:00,62.00,75.50
129-04247,2020-07-18 02:30:00,65.32,91.33
129-04247,2020-07-18 02:40:00,65.42,97.29
129-04247,2020-07-18 02:50:00,,
129-04247,2020-07-18 03:00:00,58.00,68.71
129-04247,2020-07-18 03:10:00,60.38,89.20
129-04247,2020-07-18 03:20:00,60.18,98.00
129-04247,2020-07-18 03:30:00,60.00,98.70
129-04247,2020-07-18 03:40:00,67.66,40.80
129-04247,2020-07-18 03:50:00,74.16,27.60
129-04247,2020-07-18 04:00:00,69.71,72.29
129-04247,2020-07-18 04:10:00,69.90,82.40
129-04247,2020-07-18 04:20:00,70.00,97.00
129-04247,2020-07-18 04:30:00,57.30,40.70
129-04247,2020-07-18 04:40:00,61.10,73.40
129-04247,2020-07-18 04:50:00,71.78,43.80
129-04247,2020-07-18 05:00:00,70.99,72.80
129-04247,2020-07-18 05:10:00,78.19,47.30
129-04247,2020-07-18 05:20:00,73.74,89.30
129-04247,2020-07-18 05:30:00,70.66,93.50
129-04247,2020-07-18 05:40:00,75.68,83.90
129-04247,2020-07-18 05:50:00,69.20,85.90
129-04247,2020-07-18 06:00:00,75.24,94.00
129-04247,2020-07-18 06:10:00,74.92,97.90
129-04247,2020-07-18 06:20:00,73.30,95.80
129-04247,2020-07-18 06:30:00,71.46,99.30
129-04247,2020-07-18 06:40:00,68.96,100.00
129-04247,2020-07-18 06:50:00,64.50,100.00
129-04247,2020-07-18 07:00:00,67.30,100.00
129-04247,2020-07-18 07:10:00,68.84,97.40
129-04247,2020-07-18 07:20:00,69.36,100.00
129-04247,2020-07-18 07:30:00,70.97,79.90
129-04247,2020-07-18 07:40:00,70.05,92.20
129-04247,2020-07-18 07:50:00,73.82,88.60
129-04247,2020-07-18 08:00:00,73.08,97.70
129-04247,2020-07-18 08:10:00,70.60,100.00
129-04247,2020-07-18 08:20:00,69.15,98.10
129-04247,2020-07-18 08:30:00,70.14,100.00
129-04247,2020-07-18 08:40:00,73.98,100.00
129-04247,2020-07-18 08:50:00,74.08,100.00
129-04247,2020-07-18 09:00:00,71.19,100.00
129-04247,2020-07-18 09:10:00,69.61,100.00
129-04247,2020-07-18 09:20:00,67.96,100.00
129-04247,2020-07-18 09:30:00,71.15,100.00
129-04247,2020-07-18 09:40:00,70.67,100.00
129-04247,2020-07-18 09:50:00,70.39,100.00
129-04247,2020-07-18 10:00:00,67.84,100.00
129-04247,2020-07-18 10:10:00,68.74,100.00
129-04247,2020-07-18 10:20:00,68.34,100.00
129-04247,2020-07-18 10:30:00,68.87,100.00
129-04247,2020-07-18 10:40:00,70.79,100.00
129-04247,2020-07-18 10:50:00,68.58,94.80
129-04247,2020-07-18 11:00:00,67.48,100.00
129-04247,2020-07-18 11:10:00,71.45,100.00
129-04247,2020-07-18 11:20:00,71.29,100.00
129-04247,2020-07-18 11:30:00,69.47,100.00
129-04247,2020-07-18 11:40:00,69.89,100.00
129-04247,2020-07-18 11:50:00,68.97,100.00
129-04247,2020-07-18 12:00:00,69.86,100.00
129-04247,2020-07-18 12:10:00,69.37,100.00
129-04247,2020-07-18 12:20:00,70.55,100.00
129-04247,2020-07-18 12:30:00,71.52,100.00
129-04247,2020-07-18 12:40:00,68.43,100.00
129-04247,2020-07-18 12:50:00,69.25,100.00
129-04247,2020-07-18 13:00:00,71.38,100.00
129-04247,2020-07-18 13:10:00,70.16,100.00
129-04247,2020-07-18 13:20:00,69.12,100.00
129-04247,2020-07-18 13:30:00,68.32,100.00
129-04247,2020-07-18 13:40:00,69.37,100.00
129-04247,2020-07-18 13:50:00,70.46,100.00
129-04247,2020-07-18 14:00:00,69.07,100.00
129-04247,2020-07-18 14:10:00,68.99,100.00
