tmc,tstamp,speed,cvalue
129+13227,2020-01-23 00:00:00,60.00,
129+13227,2020-01-23 00:10:00,75.12,83.88
129+13227,2020-01-23 00:20:00,70.71,79.67
129+13227,2020-01-23 00:30:00,71.48,91.30
129+13227,2020-01-23 00:40:00,75.00,90.00
129+13227,2020-01-23 00:50:00,,
129+13227,2020-01-23 01:00:00,68.18,94.80
129+13227,2020-01-23 01:10:00,65.17,64.20
129+13227,2020-01-23 01:20:00,,
129+13227,2020-01-23 01:30:00,64.89,93.00
129+13227,2020-01-23 01:40:00,62.00,84.25
129+13227,2020-01-23 01:50:00,62.00,88.00
129+13227,2020-01-23 02:00:00,67.20,82.00
129+13227,2020-01-23 02:10:00,69.59,74.10
129+13227,2020-01-23 02:20:00,,
129+13227,2020-01-23 02:30:00,,
129+13227,2020-01-23 02:40:00,64.00,
129+13227,2020-01-23 02:50:00,65.74,92.29
129+13227,2020-01-23 03:00:00,,
129+13227,2020-01-23 03:10:00,65.00,
129+13227,2020-01-23 03:20:00,65.00,
129+13227,2020-01-23 03:30:00,65.36,85.00
129+13227,2020-01-23 03:40:00,66.66,95.10
129+13227,2020-01-23 03:50:00,63.00,87.63
129+13227,2020-01-23 04:00:00,61.00,86.80
129+13227,2020-01-23 04:10:00,71.07,49.75
129+13227,2020-01-23 04:20:00,65.10,68.30
129+13227,2020-01-23 04:30:00,64.19,61.50
129+13227,2020-01-23 04:40:00,65.67,84.00
129+13227,2020-01-23 04:50:00,72.62,62.88
129+13227,2020-01-23 05:00:00,72.77,66.40
129+13227,2020-01-23 05:10:00,71.39,84.80
129+13227,2020-01-23 05:20:00,69.87,96.70
129+13227,2020-01-23 05:30:00,72.95,80.80
129+13227,2020-01-23 05:40:00,70.94,90.20
129+13227,2020-01-23 05:50:00,69.77,90.10
129+13227,2020-01-23 06:00:00,65.69,99.20
129+13227,2020-01-23 06:10:00,66.34,97.70
129+13227,2020-01-23 06:20:00,67.66,96.70
129+13227,2020-01-23 06:30:00,71.34,72.50
129+13227,2020-01-23 06:40:00,72.05,73.70
129+13227,2020-01-23 06:50:00,74.88,88.70
129+13227,2020-01-23 07:00:00,68.86,96.30
129+13227,2020-01-23 07:10:00,66.26,99.50
129+13227,2020-01-23 07:20:00,68.19,100.00
129+13227,2020-01-23 07:30:00,68.10,100.00
129+13227,2020-01-23 07:40:00,68.87,100.00
129+13227,2020-01-23 07:50:00,68.69,100.00
129+13227,2020-01-23 08:00:00,68.19,99.00
129+13227,2020-01-23 08:10:00,68.59,98.80
129+13227,2020-01-23 08:20:00,66.67,97.70
129+13227,2020-01-23 08:30:00,74.04,55.70
129+13227,2020-01-23 08:40:00,69.89,97.40
129+13227,2020-01-23 08:50:00,70.09,99.80
129+13227,2020-01-23 09:00:00,70.19,99.70
129+13227,2020-01-23 09:10:00,68.99,91.60
129+13227,2020-01-23 09:20:00,69.88,98.20
129+13227,2020-01-23 09:30:00,66.20,99.80
129+13227,2020-01-23 09:40:00,68.88,98.40
129+13227,2020-01-23 09:50:00,69.68,96.10
129+13227,2020-01-23 10:00:00,69.88,92.20
129+13227,2020-01-23 10:10:00,67.16,99.20
129+13227,2020-01-23 10:20:00,65.79,99.40
129+13227,2020-01-23 10:30:00,71.49,75.10
129+13227,2020-01-23 10:40:00,73.02,71.20
129+13227,2020-01-23 10:50:00,74.34,66.20
129+13227,2020-01-23 11:00:00,72.71,83.80
129+13227,2020-01-23 11:10:00,66.58,84.40
129+13227,2020-01-23 11:20:00,71.17,79.40
129+13227,2020-01-23 11:30:00,69.39,91.40
129+13227,2020-01-23 11:40:00,68.39,94.60
129+13227,2020-01-23 11:50:00,69.70,98.20
129+13227,2020-01-23 12:00:00,69.97,95.90
129+13227,2020-01-23 12:10:00,69.17,97.90
