tmc,tstamp,speed,cvalue
129+13227,2020-04-09 00:00:00,67.98,68.50
129+13227,2020-04-09 00:10:00,67.89,89.10
129+13227,2020-04-09 00:20:00,66.00,99.00
129+13227,2020-04-09 00:30:00,,
129+13227,2020-04-09 00:40:00,63.00,76.33
129+13227,2020-04-09 00:50:00,63.00,81.00
129+13227,2020-04-09 01:00:00,,
129+13227,2020-04-09 01:10:00,,
129+13227,2020-04-09 01:20:00,,
129+13227,2020-04-09 01:30:00,,
129+13227,2020-04-09 01:40:00,,
129+13227,2020-04-09 01:50:00,62.00,100.00
129+13227,2020-04-09 02:00:00,62.00,99.00
129+13227,2020-04-09 02:10:00,73.25,49.13
129+13227,2020-04-09 02:20:00,74.79,59.20
129+13227,2020-04-09 02:30:00,68.00,88.00
129+13227,2020-04-09 02:40:00,68.00,87.57
129+13227,2020-04-09 02:50:00,,
129+13227,2020-04-09 03:00:00,,
129+13227,2020-04-09 03:10:00,,
129+13227,2020-04-09 03:20:00,,
129+13227,2020-04-09 03:30:00,,
129+13227,2020-04-09 03:40:00,,
129+13227,2020-04-09 03:50:00,64.39,86.50
129+13227,2020-04-09 04:00:00,64.99,98.20
129+13227,2020-04-09 04:10:00,69.52,68.00
129+13227,2020-04-09 04:20:00,69.27,87.60
129+13227,2020-04-09 04:30:00,68.00,98.50
129+13227,2020-04-09 04:40:00,64.12,70.22
129+13227,2020-04-09 04:50:00,72.39,69.20
129+13227,2020-04-09 05:00:00,66.47,84.44
129+13227,2020-04-09 05:10:00,71.55,76.00
129+13227,2020-04-09 05:20:00,72.68,72.30
129+13227,2020-04-09 05:30:00,72.55,75.30
129+13227,2020-04-09 05:40:00,66.26,51.50
129+13227,2020-04-09 05:50:00,72.41,77.80
129+13227,2020-04-09 06:00:00,70.40,96.00
129+13227,2020-04-09 06:10:00,69.34,97.30
129+13227,2020-04-09 06:20:00,74.18,73.30
129+13227,2020-04-09 06:30:00,69.78,96.30
129+13227,2020-04-09 06:40:00,70.24,96.00
129+13227,2020-04-09 06:50:00,70.02,98.60
129+13227,2020-04-09 07:00:00,70.60,99.70
129+13227,2020-04-09 07:10:00,74.88,71.60
129+13227,2020-04-09 07:20:00,70.09,97.00
