tmc,tstamp,speed,cvalue
129-05866,2020-02-26 00:00:00,57.00,73.00
129-05866,2020-02-26 00:10:00,,
129-05866,2020-02-26 00:20:00,63.00,
129-05866,2020-02-26 00:30:00,63.00,
129-05866,2020-02-26 00:40:00,63.00,
129-05866,2020-02-26 00:50:00,62.70,
129-05866,2020-02-26 01:00:00,48.05,90.86
129-05866,2020-02-26 01:10:00,46.32,99.33
129-05866,2020-02-26 01:20:00,,
129-05866,2020-02-26 01:30:00,49.00,
129-05866,2020-02-26 01:40:00,49.00,
129-05866,2020-02-26 01:50:00,49.00,
129-05866,2020-02-26 02:00:00,54.26,80.20
129-05866,2020-02-26 02:10:00,57.29,96.60
129-05866,2020-02-26 02:20:00,57.00,98.17
129-05866,2020-02-26 02:30:00,,
129-05866,2020-02-26 02:40:00,53.00,
129-05866,2020-02-26 02:50:00,53.57,
129-05866,2020-02-26 03:00:00,56.00,
129-05866,2020-02-26 03:10:00,58.19,91.60
129-05866,2020-02-26 03:20:00,59.86,99.43
129-05866,2020-02-26 03:30:00,52.00,25.00
129-05866,2020-02-26 03:40:00,50.10,67.40
129-05866,2020-02-26 03:50:00,54.00,95.50
129-05866,2020-02-26 04:00:00,,
129-05866,2020-02-26 04:10:00,55.00,91.50
129-05866,2020-02-26 04:20:00,55.00,96.83
129-05866,2020-02-26 04:30:00,62.06,57.80
129-05866,2020-02-26 04:40:00,67.35,48.20
129-05866,2020-02-26 04:50:00,62.10,88.70
129-05866,2020-02-26 05:00:00,51.14,42.80
129-05866,2020-02-26 05:10:00,50.56,58.00
129-05866,2020-02-26 05:20:00,55.67,94.20
129-05866,2020-02-26 05:30:00,63.57,66.90
129-05866,2020-02-26 05:40:00,57.07,84.30
129-05866,2020-02-26 05:50:00,57.46,99.70
129-05866,2020-02-26 06:00:00,57.29,96.20
129-05866,2020-02-26 06:10:00,54.80,93.30
129-05866,2020-02-26 06:20:00,56.38,94.60
129-05866,2020-02-26 06:30:00,55.59,100.00
129-05866,2020-02-26 06:40:00,55.49,99.60
129-05866,2020-02-26 06:50:00,52.94,95.80
129-05866,2020-02-26 07:00:00,54.85,98.70
129-05866,2020-02-26 07:10:00,57.59,97.10
129-05866,2020-02-26 07:20:00,53.85,100.00
129-05866,2020-02-26 07:30:00,48.18,99.70
129-05866,2020-02-26 07:40:00,49.18,100.00
129-05866,2020-02-26 07:50:00,53.19,98.50
129-05866,2020-02-26 08:00:00,51.83,99.90
129-05866,2020-02-26 08:10:00,55.14,97.80
129-05866,2020-02-26 08:20:00,56.17,97.20
129-05866,2020-02-26 08:30:00,58.57,92.40
129-05866,2020-02-26 08:40:00,52.01,98.90
129-05866,2020-02-26 08:50:00,58.55,89.80
129-05866,2020-02-26 09:00:00,61.69,78.10
129-05866,2020-02-26 09:10:00,61.39,96.20
129-05866,2020-02-26 09:20:00,57.26,98.70
129-05866,2020-02-26 09:30:00,57.79,94.30
129-05866,2020-02-26 09:40:00,56.67,100.00
129-05866,2020-02-26 09:50:00,57.90,100.00
129-05866,2020-02-26 10:00:00,57.77,99.00
129-05866,2020-02-26 10:10:00,58.48,94.90
129-05866,2020-02-26 10:20:00,58.47,87.00
129-05866,2020-02-26 10:30:00,57.64,88.40
129-05866,2020-02-26 10:40:00,54.48,95.60
129-05866,2020-02-26 10:50:00,56.45,95.40
129-05866,2020-02-26 11:00:00,56.09,100.00
129-05866,2020-02-26 11:10:00,56.28,98.90
129-05866,2020-02-26 11:20:00,59.23,97.30
129-05866,2020-02-26 11:30:00,53.70,95.50
129-05866,2020-02-26 11:40:00,55.50,97.60
129-05866,2020-02-26 11:50:00,57.50,100.00
129-05866,2020-02-26 12:00:00,61.47,77.00
129-05866,2020-02-26 12:10:00,60.05,89.50
129-05866,2020-02-26 12:20:00,59.48,96.30
129-05866,2020-02-26 12:30:00,55.86,93.50
129-05866,2020-02-26 12:40:00,56.79,97.20
129-05866,2020-02-26 12:50:00,57.52,92.90
129-05866,2020-02-26 13:00:00,61.79,77.90
129-05866,2020-02-26 13:10:00,57.49,99.80
129-05866,2020-02-26 13:20:00,55.79,94.40
129-05866,2020-02-26 13:30:00,55.86,97.30
129-05866,2020-02-26 13:40:00,56.69,100.00
129-05866,2020-02-26 13:50:00,53.77,100.00
129-05866,2020-02-26 14:00:00,54.32,96.40
129-05866,2020-02-26 14:10:00,55.28,100.00
129-05866,2020-02-26 14:20:00,56.94,94.60
129-05866,2020-02-26 14:30:00,56.39,94.10
129-05866,2020-02-26 14:40:00,52.95,100.00
129-05866,2020-02-26 14:50:00,55.28,100.00
129-05866,2020-02-26 15:00:00,56.54,95.40
129-05866,2020-02-26 15:10:00,56.46,98.80
129-05866,2020-02-26 15:20:00,53.63,97.80
129-05866,2020-02-26 15:30:00,50.35,100.00
129-05866,2020-02-26 15:40:00,50.59,100.00
129-05866,2020-02-26 15:50:00,51.18,100.00
129-05866,2020-02-26 16:00:00,54.28,100.00
129-05866,2020-02-26 16:10:00,54.79,99.80
129-05866,2020-02-26 16:20:00,55.29,100.00
129-05866,2020-02-26 16:30:00,54.50,100.00
129-05866,2020-02-26 16:40:00,53.62,100.00
129-05866,2020-02-26 16:50:00,49.92,100.00
129-05866,2020-02-26 17:00:00,52.62,100.00
129-05866,2020-02-26 17:10:00,52.20,100.00
129-05866,2020-02-26 17:20:00,53.63,92.10
129-05866,2020-02-26 17:30:00,52.35,97.50
129-05866,2020-02-26 17:40:00,53.39,99.00
129-05866,2020-02-26 17:50:00,51.95,97.80
129-05866,2020-02-26 18:00:00,54.95,78.20
129-05866,2020-02-26 18:10:00,58.86,67.50
129-05866,2020-02-26 18:20:00,54.20,89.40
129-05866,2020-02-26 18:30:00,54.17,96.90
129-05866,2020-02-26 18:40:00,58.16,89.60
129-05866,2020-02-26 18:50:00,52.31,68.10
129-05866,2020-02-26 19:00:00,57.09,99.44
129-05866,2020-02-26 19:10:00,57.78,95.20
129-05866,2020-02-26 19:20:00,55.98,94.20
129-05866,2020-02-26 19:30:00,57.80,100.00
129-05866,2020-02-26 19:40:00,59.69,77.10
129-05866,2020-02-26 19:50:00,53.55,79.40
129-05866,2020-02-26 20:00:00,55.78,95.80
129-05866,2020-02-26 20:10:00,56.46,42.60
129-05866,2020-02-26 20:20:00,56.00,81.20
129-05866,2020-02-26 20:30:00,57.87,98.00
129-05866,2020-02-26 20:40:00,60.75,80.20
129-05866,2020-02-26 20:50:00,57.90,93.70
129-05866,2020-02-26 21:00:00,59.05,89.50
129-05866,2020-02-26 21:10:00,55.85,92.50
129-05866,2020-02-26 21:20:00,59.73,92.00
129-05866,2020-02-26 21:30:00,60.07,91.30
129-05866,2020-02-26 21:40:00,60.09,96.20
129-05866,2020-02-26 21:50:00,62.01,85.60
129-05866,2020-02-26 22:00:00,65.48,75.00
129-05866,2020-02-26 22:10:00,,
129-05866,2020-02-26 22:20:00,60.55,82.71
129-05866,2020-02-26 22:30:00,61.12,88.00
129-05866,2020-02-26 22:40:00,53.39,86.30
129-05866,2020-02-26 22:50:00,50.50,66.50
129-05866,2020-02-26 23:00:00,,
129-05866,2020-02-26 23:10:00,64.61,66.88
129-05866,2020-02-26 23:20:00,58.34,75.10
129-05866,2020-02-26 23:30:00,52.88,44.22
129-05866,2020-02-26 23:40:00,,
129-05866,2020-02-26 23:50:00,,
129N05867,2020-02-26 00:00:00,64.00,
129N05867,2020-02-26 00:10:00,64.00,
129N05867,2020-02-26 00:20:00,64.00,
129N05867,2020-02-26 00:30:00,64.00,
129N05867,2020-02-26 00:40:00,64.00,
129N05867,2020-02-26 00:50:00,64.00,
129N05867,2020-02-26 01:00:00,64.00,
129N05867,2020-02-26 01:10:00,62.78,
129N05867,2020-02-26 01:20:00,61.90,
129N05867,2020-02-26 01:30:00,61.00,
129N05867,2020-02-26 01:40:00,61.00,
129N05867,2020-02-26 01:50:00,61.00,
129N05867,2020-02-26 02:00:00,62.09,100.00
129N05867,2020-02-26 02:10:00,64.69,92.10
129N05867,2020-02-26 02:20:00,65.00,96.67
129N05867,2020-02-26 02:30:00,,
129N05867,2020-02-26 02:40:00,,
129N05867,2020-02-26 02:50:00,,
129N05867,2020-02-26 03:00:00,,
129N05867,2020-02-26 03:10:00,64.00,100.00
129N05867,2020-02-26 03:20:00,64.00,100.00
129N05867,2020-02-26 03:30:00,58.39,70.40
129N05867,2020-02-26 03:40:00,63.10,83.00
129N05867,2020-02-26 03:50:00,65.83,93.50
129N05867,2020-02-26 04:00:00,,
129N05867,2020-02-26 04:10:00,,
129N05867,2020-02-26 04:20:00,58.00,58.00
129N05867,2020-02-26 04:30:00,64.90,69.80
129N05867,2020-02-26 04:40:00,74.04,48.20
129N05867,2020-02-26 04:50:00,71.19,88.80
129N05867,2020-02-26 05:00:00,57.00,26.56
129N05867,2020-02-26 05:10:00,69.00,85.20
129N05867,2020-02-26 05:20:00,66.91,93.40
129N05867,2020-02-26 05:30:00,68.89,91.30
129N05867,2020-02-26 05:40:00,,
129N05867,2020-02-26 05:50:00,69.03,84.40
129N05867,2020-02-26 06:00:00,68.84,90.30
129N05867,2020-02-26 06:10:00,65.89,99.80
129N05867,2020-02-26 06:20:00,70.10,64.90
129N05867,2020-02-26 06:30:00,75.90,46.90
129N05867,2020-02-26 06:40:00,70.18,98.60
129N05867,2020-02-26 06:50:00,70.19,99.60
129N05867,2020-02-26 07:00:00,71.39,98.60
129N05867,2020-02-26 07:10:00,69.32,98.70
129N05867,2020-02-26 07:20:00,72.50,93.00
129N05867,2020-02-26 07:30:00,70.88,96.70
129N05867,2020-02-26 07:40:00,71.38,98.90
129N05867,2020-02-26 07:50:00,70.71,95.10
129N05867,2020-02-26 08:00:00,71.80,99.00
129N05867,2020-02-26 08:10:00,73.10,94.40
129N05867,2020-02-26 08:20:00,70.40,99.30
129N05867,2020-02-26 08:30:00,69.74,99.80
129N05867,2020-02-26 08:40:00,71.68,95.70
