tmc,tstamp,speed,cvalue
129N05867,2020-05-15 00:00:00,,
129N05867,2020-05-15 00:10:00,,
129N05867,2020-05-15 00:20:00,,
129N05867,2020-05-15 00:30:00,,
129N05867,2020-05-15 00:40:00,,
129N05867,2020-05-15 00:50:00,,
129N05867,2020-05-15 01:00:00,59.65,98.00
129N05867,2020-05-15 01:10:00,59.20,100.00
129N05867,2020-05-15 01:20:00,,
129N05867,2020-05-15 01:30:00,,
129N05867,2020-05-15 01:40:00,,
129N05867,2020-05-15 01:50:00,,
129N05867,2020-05-15 02:00:00,,
129N05867,2020-05-15 02:10:00,,
129N05867,2020-05-15 02:20:00,,
129N05867,2020-05-15 02:30:00,,
129N05867,2020-05-15 02:40:00,57.00,100.00
129N05867,2020-05-15 02:50:00,57.00,100.00
129N05867,2020-05-15 03:00:00,,
129N05867,2020-05-15 03:10:00,,
129N05867,2020-05-15 03:20:00,,
129N05867,2020-05-15 03:30:00,,
129N05867,2020-05-15 03:40:00,,
129N05867,2020-05-15 03:50:00,54.93,91.25
129N05867,2020-05-15 04:00:00,54.00,99.75
129N05867,2020-05-15 04:10:00,,
129N05867,2020-05-15 04:20:00,63.00,58.88
129N05867,2020-05-15 04:30:00,62.00,82.00
129N05867,2020-05-15 04:40:00,72.49,12.75
129N05867,2020-05-15 04:50:00,71.16,54.90
129N05867,2020-05-15 05:00:00,61.30,62.67
129N05867,2020-05-15 05:10:00,61.11,66.50
129N05867,2020-05-15 05:20:00,58.00,48.25
129N05867,2020-05-15 05:30:00,71.00,53.25
129N05867,2020-05-15 05:40:00,69.12,68.40
129N05867,2020-05-15 05:50:00,66.49,95.70
129N05867,2020-05-15 06:00:00,65.66,98.67
129N05867,2020-05-15 06:10:00,63.00,100.00
129N05867,2020-05-15 06:20:00,68.90,79.63
129N05867,2020-05-15 06:30:00,71.61,60.20
129N05867,2020-05-15 06:40:00,66.19,100.00
129N05867,2020-05-15 06:50:00,66.00,100.00
129N05867,2020-05-15 07:00:00,70.70,66.00
129N05867,2020-05-15 07:10:00,70.20,76.90
129N05867,2020-05-15 07:20:00,65.09,100.00
129N05867,2020-05-15 07:30:00,64.49,100.00
129N05867,2020-05-15 07:40:00,62.00,100.00
129N05867,2020-05-15 07:50:00,65.61,78.90
129N05867,2020-05-15 08:00:00,63.97,100.00
129N05867,2020-05-15 08:10:00,64.42,100.00
129N05867,2020-05-15 08:20:00,67.33,100.00
129N05867,2020-05-15 08:30:00,72.29,51.30
129N05867,2020-05-15 08:40:00,66.49,100.00
129N05867,2020-05-15 08:50:00,66.27,100.00
129N05867,2020-05-15 09:00:00,70.49,94.00
129N05867,2020-05-15 09:10:00,67.15,95.25
129N05867,2020-05-15 09:20:00,67.69,100.00
129N05867,2020-05-15 09:30:00,68.99,100.00
129N05867,2020-05-15 09:40:00,67.80,100.00
129N05867,2020-05-15 09:50:00,67.53,88.80
129N05867,2020-05-15 10:00:00,71.00,86.20
129N05867,2020-05-15 10:10:00,73.08,69.10
129N05867,2020-05-15 10:20:00,69.40,92.30
129N05867,2020-05-15 10:30:00,71.94,92.40
129N05867,2020-05-15 10:40:00,70.33,90.80
129N05867,2020-05-15 10:50:00,66.77,96.70
129N05867,2020-05-15 11:00:00,69.46,91.70
129N05867,2020-05-15 11:10:00,72.69,86.20
129N05867,2020-05-15 11:20:00,71.70,94.40
129N05867,2020-05-15 11:30:00,71.61,81.50
129N05867,2020-05-15 11:40:00,67.66,99.70
129N05867,2020-05-15 11:50:00,70.78,97.70
129N05867,2020-05-15 12:00:00,69.28,99.40
129N05867,2020-05-15 12:10:00,66.72,98.50
129N05867,2020-05-15 12:20:00,69.90,99.00
129N05867,2020-05-15 12:30:00,68.10,99.10
129N05867,2020-05-15 12:40:00,76.14,37.30
129N05867,2020-05-15 12:50:00,72.49,83.50
129N05867,2020-05-15 13:00:00,72.60,93.30
