tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129N04615,0,0,0.307375384,0.307375384,I290 WB,I-495/Exit 26,I-495/Exit 26,2,40,523.7726684,I-495/Exit 26
129-04614,1,0.307375384,1.852763524,1.54538814,I290 WB,I-495/Exit 26,Solomon Pond Rd/Exit 25,3,60,2489.147448,Solomon Pond Rd/Exit 25
129N04614,2,1.852763524,2.319668641,0.466905117,I290 WB,Solomon Pond Rd/Exit 25,Solomon Pond Rd/Exit 25,3,65,752.1068573,Solomon Pond Rd/Exit 25
129-04613,3,2.319668641,4.940411991,2.62074335,I290 WB,Solomon Pond Rd/Exit 25,Church St/Exit 24,3,65,4220.407403,Church St/Exit 24
129N04613,4,4.940411991,5.128964257,0.188552266,I290 WB,Church St/Exit 24,Church St/Exit 24,3,65,303.6691257,Church St/Exit 24
129-04612,5,5.128964257,7.118962287,1.98999803,I290 WB,Exit 24,West of Exit 24,3,65,3206.108886,RT-140/Exit 23
129N04612,6,7.118962287,7.583085063,0.464122777,I290 WB,,,3,65,,RT-140/Exit 23
129-04611,7,7.583085063,9.594284182,2.011199118,I290 WB,,,3,65,,Main St/Exit 22
129N04611,8,9.594284182,9.825201282,0.2309171,I290 WB,,,3,65,,Main St/Exit 22
129-04610,9,9.825201282,10.36862262,0.543421335,I290 WB,,,3,65,,Plantation St/Exit 21
129N04610,10,10.36862262,10.79278196,0.424159342,I290 WB,,,3,65,,Plantation St/Exit 21
129-04609,11,10.79278196,11.37350711,0.580725155,I290 WB,,,3,65,,RT-70/Lincoln St/Exit 20
129N04609,12,11.37350711,11.90302614,0.529519028,I290 WB,,,3,60,,RT-70/Lincoln St/Exit 20
129-04608,13,11.90302614,11.98285367,0.079827533,I290 WB,,,3,50,,I-190/Exit 19
129N04608,14,11.98285367,12.50284372,0.519990041,I290 WB,,,3,50,,I-190/Exit 19
129-04607,15,12.50284372,13.03839974,0.535556029,I290 WB,,,4,50,,RT-70/Lincoln St/Exit 18
129N04607,16,13.03839974,13.22951496,0.191115218,I290 WB,,,3,50,,RT-70/Lincoln St/Exit 18
129-04606,17,13.22951496,13.45041258,0.220897617,I290 WB,,,3,50,,RT-9/Exit 17
129N04606,18,13.45041258,13.59416292,0.143750338,I290 WB,,,3,50,,RT-9/Exit 17
129-04605,19,13.59416292,13.69085232,0.096689404,I290 WB,,,3,50,,Central St/Exit 16
129N04605,20,13.69085232,14.08414377,0.393291447,I290 WB,,,3,50,,Central St/Exit 16
129-04604,21,14.08414377,14.1221227,0.037978933,I290 WB,,,4,50,,Shrewsbury St/Exit 15
129N04604,22,14.1221227,14.18769421,0.065571506,I290 WB,,,4,50,,Shrewsbury St/Exit 15
129-04603,23,14.18769421,14.42479003,0.237095825,I290 WB,,,4,50,,RT-122/Exit 14
129N04603,24,14.42479003,14.47991899,0.05512896,I290 WB,,,3,50,,RT-122/Exit 14
129-04602,25,14.47991899,14.59840738,0.118488384,I290 WB,,,3,50,,RT-122A/Vernon St/Exit 13
129N04602,26,14.59840738,14.89081091,0.292403533,I290 WB,,,3,50,,RT-122A/Vernon St/Exit 13
129-04601,27,14.89081091,15.12932983,0.238518922,I290 WB,,,3,50,,Millbury St/Exit 12
129N04601,28,15.12932983,15.43004941,0.300719573,I290 WB,,,3,50,,Millbury St/Exit 12
129-04600,29,15.43004941,16.11140941,0.681360003,I290 WB,,,3,50,,Southbridge St/Exit 11
129N04600,30,16.11140941,16.41560996,0.304200549,I290 WB,,,3,50,,Southbridge St/Exit 11
129-04599,31,16.41560996,16.71070277,0.295092816,I290 WB,,,3,50,,RT-12/Hope Ave/Exit 10
129N04599,32,16.71070277,16.85523216,0.14452939,I290 WB,,,3,50,,RT-12/Hope Ave/Exit 10
129-04598,33,16.85523216,18.440823,1.585590836,I290 WB,,,3,55,,Auburn St/Exit 9
129N04598,34,18.440823,18.62965425,0.188831251,I290 WB,,,3,65,,Auburn St/Exit 9
129-04597,35,18.62965425,18.91450672,0.284852469,I290 WB,,,3,65,,Swanson Rd/Exit 9
129N04597,36,18.91450672,19.32981265,0.415305929,I290 WB,,,3,65,,Swanson Rd/Exit 9
129-04596,37,19.32981265,19.6904809,0.360668251,I290 WB,,,3,65,,RT-12/Exit 7
129N04596,38,19.6904809,19.83563276,0.145151859,I290 WB,,,3,65,,RT-12/Exit 7
129-04595,39,19.83563276,20.00277142,0.167138665,I290 WB,,,3,65,,RT-12/Southbridge St/Exit 8
