tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129N04325,0,0.072559385,0.4954887,0.41627707,I495 SB,I-95,I-95,2,65,668.0030583,I-95 (Salisbury)
129-04324,1,0.4954887,1.752279239,1.231095982,I495 SB,I-95,MA-110/Macy St/Exit 55,2,65,1983.274763,RT-110/Macy St/Exit 55
129N04324,2,1.752279239,1.825302368,0.072355953,I495 SB,MA-110/Macy St/Exit 55,MA-110/Macy St/Exit 55,3,65,115.2700694,RT-110/Macy St/Exit 55
129-04323,3,1.825302368,2.555105455,0.714080616,I495 SB,MA-110/Macy St/Exit 55,MA-150/Hillside Ave/Exit 54,3,65,1151.824786,RT-150/Hillside Ave/Exit 54
129N04323,4,2.555105455,2.981667012,0.417186869,I495 SB,MA-150/Hillside Ave/Exit 54,MA-150/Hillside Ave/Exit 54,3,65,673.2383773,RT-150/Hillside Ave/Exit 54
129-04322,5,2.981667012,5.641629248,2.60192041,I495 SB,MA-150/Hillside Ave/Exit 54,Broad St/Exit 53,3,65,4197.479047,Broad St/Exit 53
129N04322,6,5.641629248,6.01171919,0.360501383,I495 SB,Broad St/Exit 53,Broad St/Exit 53,3,65,583.996645,Broad St/Exit 53
129-04321,7,6.01171919,9.576757355,3.489454817,I495 SB,Broad St/Exit 53,MA-110/Amesbury Rd/Exit 52,3,65,5626.059349,RT-110/Amesbury Rd/Exit 52
129N04321,8,9.576757355,9.82916299,0.245895089,I495 SB,MA-110/Amesbury Rd/Exit 52,MA-110/Amesbury Rd/Exit 52,3,65,398.2804249,RT-110/Amesbury Rd/Exit 52
129-04320,9,9.82916299,11.47673539,1.609176658,I495 SB,MA-110/Amesbury Rd/Exit 52,MA-125/Main St/Exit 51,3,65,2599.335855,RT-125/Main St/Exit 51
129N04320,10,11.47673539,12.10637691,0.61614421,I495 SB,MA-125/Main St/Exit 51,MA-125/Main St/Exit 51,3,65,993.807048,RT-125/Main St/Exit 51
129-04319,11,12.10637691,13.22374524,1.096458764,I495 SB,MA-125/Main St/Exit 51,MA-97/Broadway/Exit 50,3,65,1763.514385,RT-97/Broadway/Exit 50
129N04319,12,13.22374524,13.78517841,0.551189688,I495 SB,MA-97/Broadway/Exit 50,MA-97/Broadway/Exit 50,3,65,885.7042551,RT-97/Broadway/Exit 50
129-04318,13,13.78517841,14.02187634,0.231769488,I495 SB,MA-97/Broadway/Exit 50,MA-110/MA-113/River St/Exit 49,3,65,373.5440806,River St/RT-110/RT-113/Exit 49
129N04318,14,14.02187634,14.2063958,0.180600375,I495 SB,MA-110/MA-113/River St/Exit 49,MA-110/MA-113/River St/Exit 49,3,65,291.1935369,River St/RT-110/RT-113/Exit 49
129-04317,15,14.2063958,15.05273188,0.829194111,I495 SB,MA-110/MA-113/River St/Exit 49,Exit 48/MA-125 Connector,3,65,1335.51221,RT-125-CONN/Exit 48
129N04317,16,15.05273188,15.13262612,0.077870785,I495 SB,Exit 48/MA-125 Connector,Exit 48/MA-125 Connector,3,65,126.0921948,RT-125-CONN/Exit 48
129-04316,17,15.13262612,16.72357463,1.559697748,I495 SB,Exit 48/MA-125 Connector,MA-213/Exit 47,3,65,2510.46766,RT-213/Exit 47
129N04316,18,16.72357463,17.04333984,0.312302132,I495 SB,MA-213/Exit 47,MA-213/Exit 47,3,65,504.0638808,RT-213/Exit 47
129-04315,19,17.04333984,17.67569348,0.619324188,I495 SB,MA-213/Exit 47,MA-110/Merrimack St/Exit 46,3,65,997.5775251,RT-110/Merrimack St/Exit 46
129N04315,20,17.67569348,18.12843752,0.444274255,I495 SB,MA-110/Merrimack St/Exit 46,MA-110/Merrimack St/Exit 46,3,65,714.545086,RT-110/Merrimack St/Exit 46
129-04314,21,18.12843752,18.98038319,0.836583608,I495 SB,MA-110/Merrimack St/Exit 46,Marston St/Exit 45 - Merrimack St/Exit 44,3,55,1344.337199,Marston St/Merrimack St
