tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
120N06203,0,0.003505058,0.032293335,0.028788276,I90 EB,,,2,65,,Massachusetts/New York State Ln
120-06202,1,0.032293335,2.739224292,2.706930957,I90 EB,,,2,60,,RT-41/Exit 1
120N06202,2,2.739224292,2.873064507,0.133840215,I90 EB,,,2,45,,RT-41/Exit 1
120-06201,3,2.873064507,2.895912129,0.022847622,I90 EB,,,2,45,,W Stockbridge Toll Plaza
120N06201,4,2.895912129,3.025631431,0.129719302,I90 EB,,,2,45,,W Stockbridge Toll Plaza
120-05791,5,3.025631431,10.53302828,7.507396848,I90 EB,,,3,65,,US-20/Exit 2
120N05791,6,10.53302828,11.01650557,0.483477292,I90 EB,,,2,65,,US-20/Exit 2
120-05790,7,11.01650557,40.72199669,29.70549112,I90 EB,,,2,65,,US-202/RT-10/Exit 3
120N05790,8,40.72199669,40.9776527,0.255656015,I90 EB,,,2,65,,US-202/RT-10/Exit 3
120-05789,9,40.9776527,45.93758839,4.959935692,I90 EB,,,2,65,,I-91/US-5/Exit 4
120N05789,10,45.93758839,46.23009304,0.292504645,I90 EB,,,2,65,,I-91/US-5/Exit 4
120-05788,11,46.23009304,49.32125917,3.091166127,I90 EB,,,2,65,,RT-33/Exit 5
120N05788,12,49.32125917,49.54048226,0.21922309,I90 EB,,,2,65,,RT-33/Exit 5
120-05787,13,49.54048226,51.66797077,2.127488515,I90 EB,,,2,65,,I-291/Exit 6
120N05787,14,51.66797077,51.88888432,0.220913545,I90 EB,,,2,65,,I-291/Exit 6
120-05786,15,51.88888432,55.35927806,3.470393744,I90 EB,,,2,65,,RT-21/Exit 7
120N05786,16,55.35927806,55.647251,0.287972945,I90 EB,,,2,65,,RT-21/Exit 7
120-05785,17,55.647251,63.11467643,7.467425422,I90 EB,,,2,65,,RT-32/Exit 8
120N05785,18,63.11467643,63.46060547,0.345929039,I90 EB,,,2,65,,RT-32/Exit 8
120-06200,19,63.46060547,68.16234596,4.70174049,I90 EB,,,2,65,,Hampden/Worcester County Line
120N06200,20,68.16234596,68.21646679,0.054120831,I90 EB,,,2,65,,Hampden/Worcester County Line
129P07025,21,68.21646679,68.24665408,0.030187295,I90 EB,,,2,65,,Hampden/Worcester County Line (W)
129+07026,22,68.24665408,72.95455541,4.70790133,I90 EB,,,2,65,,Hampden/Worcester County Line (E)
129P07026,23,72.95455541,72.98034683,0.02579142,I90 EB,,,2,65,,Hampden/Worcester County Line (E)
120P11414,24,72.98034683,73.02990847,0.049561643,I90 EB,,,2,65,,Hampden/Worcester County Line (N)
