tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129P14230,0,91.42688816,91.81129997,0.383369559,I95 NB,South of New Hampshire State Line,New Hampshire State Line,4,65,618.7283807,NH/MA State Line
129+14230,1,91.33042986,91.42688816,0.095716609,I95 NB,MA-286/Exit 60,South of New Hampshire State Line,4,65,153.1897801,NH/MA State Line
129P04661,2,90.98185641,91.33042986,0.343153294,I95 NB,MA-286/Exit 60,MA-286/Exit 60,4,65,553.2393499,RT-286/Exit 60
129+04661,3,90.55178188,90.98185641,0.423621908,I95 NB,I-495,MA-286/Exit 60,4,65,683.1178213,RT-286/Exit 60
129P04399,4,89.95081555,90.55178188,0.592794634,I95 NB,I-495,I-495,3,65,954.4290028,I-495
129+04399,5,89.32562758,89.95081555,0.616679788,I95 NB,MA-110/Macy St/Elm St/Exit 58,I-495,3,65,992.9158334,I-495
129P04398,6,88.91614868,89.32562758,0.404925277,I95 NB,MA-110/Macy St/Elm St/Exit 58,MA-110/Macy St/Elm St/Exit 58,3,65,651.1225074,RT-110/Elm St/Macy St/Exit 58
129+04398,7,87.22924284,88.91614868,1.660184053,I95 NB,MA-113/Storey Ave/Exit 57,MA-110/Macy St/Elm St/Exit 58,4,65,2672.737965,RT-110/Elm St/Macy St/Exit 58
129P04397,8,86.70321962,87.22924284,0.521279342,I95 NB,MA-113/Storey Ave/Exit 57,MA-113/Storey Ave/Exit 57,4,65,836.0189952,RT-113/Storey Ave/Exit 57
129+04397,9,84.53835658,86.70321962,2.138458896,I95 NB,Scotland Rd/Exit 56,MA-113/Storey Ave/Exit 57,4,65,3438.838349,RT-113/Storey Ave/Exit 57
129P04396,10,84.04253327,84.53835658,0.489129529,I95 NB,Scotland Rd/Exit 56,Scotland Rd/Exit 56,4,65,787.5928687,Scotland Rd/Exit 56
129+04396,11,82.60721217,84.04253327,1.415487636,I95 NB,Central St/Exit 55,Scotland Rd/Exit 56,4,65,2279.619673,Scotland Rd/Exit 56
129P04395,12,82.21962155,82.60721217,0.381453027,I95 NB,Central St/Exit 55,Central St/Exit 55,4,65,615.5661743,Central St/Exit 55
129+04395,13,79.168734,82.21962155,3.013976596,I95 NB,MA-133/Exit 54,Central St/Exit 55,4,65,4845.225608,Central St/Exit 55
129P04394,14,78.57875978,79.168734,0.582747464,I95 NB,MA-133/Exit 54,MA-133/Exit 54,4,65,937.1037198,RT-133/Haverhill St/Exit 54
129+04394,15,77.31671037,78.57875978,1.245059832,I95 NB,MA-97/Killam Hill Rd/Exit 53,MA-133/Exit 54,4,65,2004.391099,RT-133/Haverhill St/Exit 54
129P04393,16,76.74782037,77.31671037,0.561146577,I95 NB,MA-97/Killam Hill Rd/Exit 53,MA-97/Killam Hill Rd/Exit 53,4,65,903.5679847,RT-97/Killam Hill Rd/Exit 53
129+04393,17,74.97203388,76.74782037,1.751487157,I95 NB,Topsfield Rd/Exit 52,MA-97/Killam Hill Rd/Exit 53,4,65,2820.134714,RT-97/Killam Hill Rd/Exit 53
129P04392,18,74.44521793,74.97203388,0.521302687,I95 NB,Topsfield Rd/Exit 52,Topsfield Rd/Exit 52,4,65,836.6238176,Topsfield Rd/Exit 52
129+04392,19,73.3084655,74.44521793,1.123559637,I95 NB,Endicott Rd/Exit 51,Topsfield Rd/Exit 52,4,65,1805.494257,Topsfield Rd/Exit 52
129P04391,20,72.86253816,73.3084655,0.43955582,I95 NB,Endicott Rd/Exit 51,Endicott Rd/Exit 51,4,65,708.2289739,Endicott Rd/Exit 51
129+04391,21,70.74744215,72.86253816,2.087789771,I95 NB,US-1/Newbury St/Exit 50,Endicott Rd/Exit 51,4,65,3359.251477,Endicott Rd/Exit 51
129P04390,22,70.31790696,70.74744215,0.423268129,I95 NB,US-1/Newbury St/Exit 50,US-1/Newbury St/Exit 50,4,65,682.3825765,US-1/Newbury St/Exit 50
