tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129P04267,0,0.075992881,0.503080918,0.390371143,N087 NB,US-3,I-495,55,628.5295448,US-3
129+04268,1,0.503080918,0.719093302,0.198252064,N087 NB,US-3,I-495,55,318.8310898,I-495
129P04268,2,0.719093302,1.258091704,0.493131194,N087 NB,I-495,I-495,55,795.4633753,I-495
129+04269,3,1.258091704,1.379268706,0.111672237,N087 NB,I-495,Industrial Ave/Exit 3,55,178.8453976,Industrial Avenue/Exit 3
129P04269,4,1.379268706,1.614125913,0.216750164,N087 NB,Industrial Ave/Exit 3,Industrial Ave/Exit 3,55,346.6394297,Industrial Avenue/Exit 3
129+04270,5,1.614125913,2.007097404,0.360372166,N087 NB,Industrial Ave/Exit 3,Plain St/Exit 4,55,579.944747,Plain St/Exit 4
129P04270,6,2.007097404,2.409390597,0.367720762,N087 NB,Plain St/Exit 4,Plain St/Exit 4,55,592.3062085,Plain St/Exit 4
129+04271,7,2.409390597,2.945184388,0.492077902,N087 NB,Plain St/Exit 4,MA-3A/Thorndike St/Exit 5,55,790.4974943,RT-3A/Thorndike St/Exit 5
129P04271,8,2.945184388,3.11958868,0.160039365,N087 NB,MA-3A/Thorndike St/Exit 5,MA-3A/Thorndike St/Exit 5,35,257.4736779,RT-3A/Thorndike St/Exit 5
129+04272,9,3.11958868,3.1887077,0.063397606,N087 NB,MA-3A/Thorndike St/Exit 5,Gorham St,35,101.9911662,Gorham St
129P04272,10,3.1887077,3.20999999,0.019142071,N087 NB,Gorham St,Gorham St,35,31.02277838,Gorham St
