tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129N04272,0,0,0.040306961,0.034517886,N482 SB,Gorham St,Gorham St,55,54.73602976,Gorham St
129-04271,1,0.040306961,0.143709108,0.084909753,N482 SB,Gorham St,MA-3A/Thorndike St/Exit 5,55,137.1574003,RT-3A/Thorndike St/Exit 5
129N04271,2,0.143709108,0.34816276,0.167177832,N482 SB,MA-3A/Thorndike St/Exit 5,MA-3A/Thorndike St/Exit 5,55,271.2115723,RT-3A/Thorndike St/Exit 5
129-04270,3,0.34816276,0.918656426,0.467912779,N482 SB,MA-3A/Thorndike St/Exit 5,Plain St/Exit 4,55,755.2046006,Plain St/Exit 4
129N04270,4,0.918656426,1.362569273,0.367568462,N482 SB,Plain St/Exit 4,Plain St/Exit 4,55,588.8528907,Plain St/Exit 4
129-04269,5,1.362569273,1.909187573,0.450017165,N482 SB,Plain St/Exit 4,Industrial Ave/Exit 3,55,725.4008977,Industrial Avenue/Exit 3
129N04269,6,1.909187573,2.290127299,0.314304372,N482 SB,Industrial Ave/Exit 3,Industrial Ave/Exit 3,55,505.6036597,Industrial Avenue/Exit 3
129-04268,7,2.290127299,2.333835677,0.036137734,N482 SB,Industrial Ave/Exit 3,I-495,55,58.88537888,I-495
129N04268,8,2.333835677,2.655031238,0.263864335,N482 SB,I-495,I-495,55,425.5817982,I-495
129-04267,9,2.655031238,3.040179407,0.317417178,N482 SB,I-495,US-3,55,511.1369261,US-3
129N04267,10,3.040179407,3.864595751,0.680897359,N482 SB,I-495,US-3,55,1096.163375,US-3
