tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129P04326,0,37.38694705,37.94362204,0.549376957,SR128 NB,I-95/Exit 29,I-95/Exit 29,55,884.9212744,I-93/Exit 29
129+04327,1,37.94362204,38.00546911,0.060501033,SR128 NB,I-95/Exit 29,I-95/Exit 29,50,98.19256322,Centennial Dr/Forest St/Exit 28
129P04327,2,38.00546911,39.03483737,1.016258599,SR128 NB,Centennial Dr/Forest St/Exit 28,Centennial Dr/Forest St/Exit 28,50,1638.197543,Centennial Dr/Forest St/Exit 28
129+04328,3,39.03483737,39.16688866,0.130886743,SR128 NB,Centennial Dr/Forest St/Exit 28,Lowell St/Exit 26,50,210.074095,Lowell St/Exit 26
129P04328,4,39.16688866,39.52996125,0.358447369,SR128 NB,Lowell St/Exit 26,Lowell St/Exit 26,50,576.2902255,Lowell St/Exit 26
129+04329,5,39.52996125,39.87367063,0.338465781,SR128 NB,Lowell St/Exit 26,MA-114/Andover St/Exit 25,50,546.5355346,RT-114/Andover St/Exit 25
129P04329,6,39.87367063,40.39228083,0.512541315,SR128 NB,MA-114/Andover St/Exit 25,MA-114/Andover St/Exit 25,50,826.0153467,RT-114/Andover St/Exit 25
129+04663,7,40.39228083,40.81317851,0.415881099,SR128 NB,MA-114/Andover St/Exit 25,Endicott St/Exit 24,55,669.2070108,Endicott St/Exit 24
129P04663,8,40.81317851,40.9927519,0.176842152,SR128 NB,Endicott St/Exit 24,Endicott St/Exit 24,55,285.2714753,Endicott St/Exit 24
129+04664,9,40.9927519,41.47328546,0.474928994,SR128 NB,Endicott St/Exit 24,MA-35/Exit 23,55,763.7419719,RT-35/Exit 23
129P04664,10,41.47328546,41.69325052,0.218626032,SR128 NB,MA-35/Exit 23,MA-35/Exit 23,55,350.6876028,RT-35/Exit 23
129+04665,11,41.69325052,42.03860458,0.341017318,SR128 NB,MA-35/Exit 23,MA-62/Exit 22,55,548.7417793,RT-62/Exit 22
129P04665,12,42.03860458,42.3387477,0.2971848,SR128 NB,MA-62/Exit 22,MA-62/Exit 22,55,476.3089169,RT-62/Exit 22
