tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129P04436,0,0.003182692,0.47264694,0.469464248,SR24 NB,,,2,55,,RT-81/Exit 1
129+04437,1,0.47264694,1.508254571,1.035607631,SR24 NB,,,2,55,,Brayton Ave/Eastern Ave/Exit 2
129P04437,2,1.508254571,1.692259048,0.184004477,SR24 NB,,,2,55,,Brayton Ave/Eastern Ave/Exit 2
129+04438,3,1.692259048,1.842419097,0.150160049,SR24 NB,,,2,50,,I-195/Exit 3
129P04438,4,1.842419097,1.921082797,0.0786637,SR24 NB,,,2,40,,I-195/Exit 3
129P13885,5,1.921082797,2.095647736,0.17456494,SR24 NB,,,1,30,,Exit 3
129-04215,6,2.095647736,2.579520683,0.483872947,SR24 NB,,,1,40,,RT-24/Exit 8B
129P13797,7,2.579520683,2.975508919,0.395988236,SR24 NB,,,1,55,,Exit 8B
129P04463,8,2.975508919,3.041681169,0.06617225,SR24 NB,,,2,60,,I-195/Exit 41
129+04464,9,3.041681169,5.183236378,2.141555208,SR24 NB,,,2,65,,US-6/President Ave/Exit 5
129P04464,10,5.183236378,5.563677546,0.380441169,SR24 NB,,,2,65,,US-6/President Ave/Exit 5
129+04465,11,5.563677546,6.843754231,1.280076684,SR24 NB,,,2,65,,Highland Ave/Exit 6
129P04465,12,6.843754231,7.389201208,0.545446977,SR24 NB,,,2,65,,Highland Ave/Exit 6
129+04466,13,7.389201208,7.51460207,0.125400862,SR24 NB,,,2,65,,RT-79/Exit 7
129P04466,14,7.51460207,7.543924092,0.029322023,SR24 NB,,,2,65,,RT-79/Exit 7
129P04467,15,7.543924092,7.651518152,0.107594059,SR24 NB,,,2,60,,RT-79
129+04468,16,7.651518152,7.76973257,0.118214418,SR24 NB,,,2,55,,Industrial Park Rd/Airport Rd/Exit 8
129P04468,17,7.76973257,7.845369926,0.075637356,SR24 NB,,,2,55,,Industrial Park Rd/Airport Rd/Exit 8
129+04469,18,7.845369926,10.75489556,2.90952563,SR24 NB,,,2,65,,RT-79/S Main St
129P04469,19,10.75489556,10.82747669,0.072581138,SR24 NB,,,2,65,,RT-79/S Main St
129P04439,20,10.82747669,10.99136219,0.163885499,SR24 NB,,,2,65,,RT-79
129+04440,21,10.99136219,12.22773247,1.236370272,SR24 NB,,,2,65,,Main St/Exit 10
129P04440,22,12.22773247,12.31929973,0.091567266,SR24 NB,,,2,65,,Main St/Exit 10
129+04441,23,12.31929973,15.1178256,2.798525873,SR24 NB,,,2,65,,Padelford St/Exit 11
129P04441,24,15.1178256,15.27397361,0.15614801,SR24 NB,,,2,65,,Padelford St/Exit 11
129+04442,25,15.27397361,16.77787081,1.503897195,SR24 NB,Padelford St/Exit 11,MA-140/Exit 12,2,65,2418.743234,RT-140/Exit 12
129P04442,26,16.77787081,17.15538025,0.377509445,SR24 NB,MA-140/Exit 12,MA-140/Exit 12,2,65,607.1841392,RT-140/Exit 12
129+04443,27,17.15538025,19.21198972,2.056609461,SR24 NB,MA-140/Exit 12,US-44/Exit 13,2,65,3307.189763,US-44/Exit 13
