tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,num_lanes,spd_limit,firstnm
129N04451,0,0.656018122,0.724685241,0.068667118,SR24 SB,I-93/Exit 21,I-93/Exit 21,2,50,I-93/Exit 21
129-04450,1,0.724685241,3.372692103,2.648006863,SR24 SB,I-93/Exit 21,MA-139/Exit 20,3,65,RT-139/Exit 20
129N04450,2,3.372692103,3.877178753,0.50448665,SR24 SB,MA-139/Exit 20,MA-139/Exit 20,3,65,RT-139/Exit 20
129-04449,3,3.877178753,5.590682945,1.713504192,SR24 SB,MA-139/Exit 20,Harrison Blvd/Exit 19,3,65,Harrison Blvd/Exit 19
129N04449,4,5.590682945,6.060067422,0.469384477,SR24 SB,Harrison Blvd/Exit 19,Harrison Blvd/Exit 19,3,65,Harrison Blvd/Exit 19
129-04448,5,6.060067422,7.793279743,1.733212321,SR24 SB,Harrison Blvd/Exit 19,MA-27/Exit 18,3,65,RT-27/Exit 18
129N04448,6,7.793279743,8.238436058,0.445156315,SR24 SB,MA-27/Exit 18,MA-27/Exit 18,3,65,RT-27/Exit 18
129-04447,7,8.238436058,10.06759878,1.829162717,SR24 SB,MA-27/Exit 18,MA-123/Exit 17,3,65,RT-123/Exit 17
129N04447,8,10.06759878,10.52378745,0.456188676,SR24 SB,MA-123/Exit 17,MA-123/Exit 17,3,65,RT-123/Exit 17
129-04446,9,10.52378745,13.43229688,2.908509434,SR24 SB,MA-123/Exit 17,MA-106/Exit 16,3,65,RT-106/Exit 16
129N04446,10,13.43229688,13.92672109,0.494424204,SR24 SB,MA-106/Exit 16,MA-106/Exit 16,3,65,RT-106/Exit 16
129-04445,11,13.92672109,17.04973492,3.123013832,SR24 SB,MA-106/Exit 16,MA-104/Exit 15,3,65,RT-104/Exit 15
129N04445,12,17.04973492,17.30269714,0.252962219,SR24 SB,MA-104/Exit 15,MA-104/Exit 15,3,65,RT-104/Exit 15
129-04444,13,17.30269714,17.65816952,0.355472375,SR24 SB,MA-104/Exit 15,I-495/Exit 14,3,65,I-495/Exit 14
129N04444,14,17.65816952,18.92886439,1.270694873,SR24 SB,I-495/Exit 14,I-495/Exit 14,3,65,I-495/Exit 14
129-04443,15,18.92886439,21.55691373,2.628049343,SR24 SB,I-495/Exit 14,US-44/Exit 13,3,65,US-44/Exit 13
129N04443,16,21.55691373,21.8495612,0.292647472,SR24 SB,US-44/Exit 13,US-44/Exit 13,2,65,US-44/Exit 13
129-04442,17,21.8495612,24.2310971,2.3815359,SR24 SB,US-44/Exit 13,MA-140/Exit 12,2,65,RT-140/Exit 12
129N04442,18,24.2310971,24.3348116,0.1037145,SR24 SB,MA-140/Exit 12,MA-140/Exit 12,2,65,RT-140/Exit 12
129-04441,19,24.3348116,25.70199462,1.367183022,SR24 SB,MA-140/Exit 12,Padelford St/Exit 11,2,65,Padelford St/Exit 11
129N04441,20,25.70199462,25.86303012,0.161035498,SR24 SB,,,2,65,Padelford St/Exit 11
129-04440,21,25.86303012,28.914507,3.051476879,SR24 SB,,,2,65,Main St/Exit 10
129N04440,22,28.914507,28.98551653,0.071009531,SR24 SB,,,2,65,Main St/Exit 10
129-04439,23,28.98551653,30.17573277,1.190216234,SR24 SB,,,2,65,RT-79
129N04439,24,30.17573277,30.26077064,0.08503787,SR24 SB,,,2,65,RT-79
129N04469,25,30.26077064,30.34083553,0.080064896,SR24 SB,,,2,65,RT-79/S Main St
129-04468,26,30.34083553,33.23437919,2.893543661,SR24 SB,,,2,65,Industrial Park Rd/Airport Rd/Exit 8
129N04468,27,33.23437919,33.34716096,0.112781763,SR24 SB,,,2,65,Industrial Park Rd/Airport Rd/Exit 8
129-04467,28,33.34716096,33.67026855,0.323107597,SR24 SB,,,2,65,RT-79
129N04467,29,33.67026855,33.76569462,0.095426063,SR24 SB,,,2,65,RT-79
129N04466,30,33.76569462,33.90517054,0.139475925,SR24 SB,,,2,65,RT-79/Exit 7
129-04465,31,33.90517054,33.98786855,0.082698008,SR24 SB,,,2,65,Highland Ave/Exit 6
129N04465,32,33.98786855,34.46029941,0.472430859,SR24 SB,,,2,65,Highland Ave/Exit 6
129-04464,33,34.46029941,36.12949191,1.669192499,SR24 SB,,,2,65,US-6/President Ave/Exit 5
129N04464,34,36.12949191,36.49270293,0.363211019,SR24 SB,,,2,65,US-6/President Ave/Exit 5
129-04463,35,36.49270293,38.36654417,1.873841242,SR24 SB,,,2,65,I-195/Exit 41
129N04463,36,38.36654417,38.44257882,0.076034651,SR24 SB,,,2,55,I-195/Exit 41
129P13801,37,38.44257882,38.71871166,0.276132839,SR24 SB,,,1,45,Exit 4
129+04216,38,38.71871166,39.35759428,0.638882617,SR24 SB,,,1,35,RT-24/Exit 8A
129P13881,39,39.35759428,39.8529848,0.49539052,SR24 SB,,,1,30,Exit 8A
129N04438,40,39.8529848,39.91632537,0.063340568,SR24 SB,,,2,45,I-195/Exit 3
129-04437,41,39.91632537,40.00218946,0.085864097,SR24 SB,,,2,55,Brayton Ave/Eastern Ave/Exit 2
129N04437,42,40.00218946,40.20546223,0.203272763,SR24 SB,,,2,55,Brayton Ave/Eastern Ave/Exit 2
129-04436,43,40.20546223,41.24377647,1.038314244,SR24 SB,,,2,55,RT-81/Exit 1
129N04436,44,41.24377647,41.71331915,0.469542681,SR24 SB,,,2,55,RT-81/Exit 1
