tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129N04451,0,0.656018122,0.724685241,0.06770793,SR24 SB,I-93/Exit 21,I-93/Exit 21,50,109.5544344,I-93/Exit 21
129-04450,1,0.724685241,3.372692103,2.625463508,SR24 SB,I-93/Exit 21,MA-139/Exit 20,65,4223.211491,RT-139/Exit 20
129N04450,2,3.372692103,3.877178753,0.501966922,SR24 SB,MA-139/Exit 20,MA-139/Exit 20,65,806.2645294,RT-139/Exit 20
129-04449,3,3.877178753,5.590682945,1.701261173,SR24 SB,MA-139/Exit 20,Harrison Blvd/Exit 19,65,2733.817873,Harrison Blvd/Exit 19
129N04449,4,5.590682945,6.060067422,0.465036017,SR24 SB,Harrison Blvd/Exit 19,Harrison Blvd/Exit 19,65,748.8923029,Harrison Blvd/Exit 19
129-04448,5,6.060067422,7.793279743,1.719309605,SR24 SB,Harrison Blvd/Exit 19,MA-27/Exit 18,65,2765.263447,RT-27/Exit 18
129N04448,6,7.793279743,8.238436058,0.441632293,SR24 SB,MA-27/Exit 18,MA-27/Exit 18,65,710.2829571,RT-27/Exit 18
129-04447,7,8.238436058,10.06759878,1.815959841,SR24 SB,MA-27/Exit 18,MA-123/Exit 17,65,2918.426552,RT-123/Exit 17
129N04447,8,10.06759878,10.52378745,0.453076842,SR24 SB,MA-123/Exit 17,MA-123/Exit 17,65,727.871072,RT-123/Exit 17
129-04446,9,10.52378745,13.43229688,2.884737899,SR24 SB,MA-123/Exit 17,MA-106/Exit 16,65,4640.408217,RT-106/Exit 16
129N04446,10,13.43229688,13.92672109,0.490280573,SR24 SB,MA-106/Exit 16,MA-106/Exit 16,65,788.8487807,RT-106/Exit 16
129-04445,11,13.92672109,17.04973492,3.096560617,SR24 SB,MA-106/Exit 16,MA-104/Exit 15,65,4982.400884,RT-104/Exit 15
129N04445,12,17.04973492,17.30269714,0.251341291,SR24 SB,MA-104/Exit 15,MA-104/Exit 15,65,403.5772617,RT-104/Exit 15
129-04444,13,17.30269714,17.65816952,0.354216927,SR24 SB,MA-104/Exit 15,I-495/Exit 14,65,567.5508627,I-495/Exit 14
129N04444,14,17.65816952,18.92886439,1.260091872,SR24 SB,I-495/Exit 14,I-495/Exit 14,65,2026.677638,I-495/Exit 14
129-04443,15,18.92886439,21.55691373,2.605945379,SR24 SB,I-495/Exit 14,US-44/Exit 13,65,4192.938957,US-44/Exit 13
129N04443,16,21.55691373,21.8495612,0.291173551,SR24 SB,US-44/Exit 13,US-44/Exit 13,65,467.9666576,US-44/Exit 13
129-04442,17,21.8495612,24.2310971,2.362400565,SR24 SB,US-44/Exit 13,MA-140/Exit 12,65,3799.633919,RT-140/Exit 12
129N04442,18,24.2310971,24.3348116,0.103989356,SR24 SB,MA-140/Exit 12,MA-140/Exit 12,65,165.5151425,RT-140/Exit 12
129-04441,19,24.3348116,25.70199462,1.355189293,SR24 SB,MA-140/Exit 12,Padelford St/Exit 11,65,2181.31448,Padelford St/Exit 11
