tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129-04644,0,102.6864817,102.9342369,0.245498891,SR2 EB,I-190/Exit 33,Harvard St/Exit 34,55,396.5273642,Harvard St/Exit 34
129N04644,1,102.9342369,102.9573284,0.020566085,SR2 EB,Harvard St/Exit 34,Harvard St/Exit 34,55,36.97621395,Harvard St/Exit 34
129-04643,2,102.9573284,104.005604,1.039580242,SR2 EB,Harvard St/Exit 34,MA-70/Exit 35,55,1677.102322,RT-70/Exit 35
129N04643,3,104.005604,104.0626843,0.056337805,SR2 EB,MA-70/Exit 35,MA-70/Exit 35,55,91.54914002,RT-70/Exit 35
129-04642,4,104.0626843,105.4357804,1.362708089,SR2 EB,MA-70/Exit 35,Shirley Rd/Exit 36,55,2197.410935,Shirley Rd/Exit 36
129N04642,5,105.4357804,105.4880336,0.052467867,SR2 EB,Shirley Rd/Exit 36,Shirley Rd/Exit 36,55,83.73779528,Shirley Rd/Exit 36
129-04641,6,105.4880336,106.7321232,1.233898712,SR2 EB,Shirley Rd/Exit 36,Jackson Rd/Exit 37,55,1990.685985,Jackson Rd/Exit 37
129N04641,7,106.7321232,107.0654342,0.328716701,SR2 EB,Jackson Rd/Exit 37,Jackson Rd/Exit 37,55,533.0622891,Jackson Rd/Exit 37
129-04640,8,107.0654342,109.7639343,2.676265358,SR2 EB,Jackson Rd/Exit 37,MA-110/MA-111/Exit 38,55,4318.916196,RT-110/RT-111/Exit 38
129N04640,9,109.7639343,110.0307196,0.263957316,SR2 EB,MA-110/MA-111/Exit 38,MA-110/MA-111/Exit 38,55,426.8971248,RT-110/RT-111/Exit 38
129-04639,10,110.0307196,113.3719373,3.314357734,SR2 EB,MA-110/MA-111/Exit 38,Taylor St/Exit 39,55,5346.192913,Taylor St/Exit 39
129N04639,11,113.3719373,113.6004873,0.226923412,SR2 EB,Taylor St/Exit 39,Taylor St/Exit 39,55,365.725826,Taylor St/Exit 39
129-04638,12,113.6004873,113.6348779,0.034389369,SR2 EB,I-495/Exit 40,I-495/Exit 40,55,55.04090548,I-495
129N04638,13,113.6348779,113.6597211,0.025584223,SR2 EB,I-495/Exit 40,I-495/Exit 40,55,39.77780783,I-495
129N04481,14,113.6597211,114.1231353,0.45989708,SR2 EB,I-495/Exit 40,I-495/Exit 40,55,741.666947,I-495/Exit 40
129-04480,15,114.1231353,115.9064165,1.770214269,SR2 EB,I-495/Exit 40,Newtown Rd/Exit 41,55,2853.487603,Newtown Rd/Exit 41
129N04480,16,115.9064165,116.0080067,0.101031499,SR2 EB,Newtown Rd/Exit 41,Newtown Rd/Exit 41,55,162.5400894,Newtown Rd/Exit 41
129-04479,17,116.0080067,118.0482988,2.026535438,SR2 EB,Newtown Rd/Exit 41,MA-27/Main St/Exit 42,55,3264.665551,RT-27/Main St/Exit 42
129N04479,18,118.0482988,118.1637201,0.114936965,SR2 EB,MA-27/Main St/Exit 42,MA-27/Main St/Exit 42,55,184.7068348,RT-27/Main St/Exit 42
129-04743,19,118.1637201,118.5364227,0.369843828,SR2 EB,MA-27/Main St/Exit 42,Massachusetts Ave (Acton),55,596.7836776,Massachusetts Ave
129N04743,20,118.5364227,118.5756421,0.038709552,SR2 EB,MA-27/Main St/Exit 42,Massachusetts Ave (Acton),55,62.75100581,Massachusetts Ave
129-04756,21,118.5756421,118.7281714,0.15085319,SR2 EB,Massachusetts Ave (Acton),Piper Rd/Taylor Rd,55,243.660672,Piper Rd/Taylor Rd
129N04756,22,118.7281714,118.7963538,0.06747497,SR2 EB,Piper Rd/Taylor Rd,Piper Rd/Taylor Rd,55,109.1336643,Piper Rd/Taylor Rd
129-04755,23,118.7963538,119.5241117,0.721996148,SR2 EB,Piper Rd/Taylor Rd,Hosmer St,55,1164.493072,Hosmer St
129-04754,24,119.5241117,120.2032315,0.672560463,SR2 EB,Hosmer St,School St/Wehterbee St,55,1086.871445,School St
129N04754,25,120.2032315,120.2377495,0.034584837,SR2 EB,School St/Wehterbee St,School St/Wehterbee St,55,55.19901113,School St
129-04753,26,120.2377495,120.2439548,0.008847665,SR2 EB,School St/Wehterbee St,School St/Wehterbee St,55,9.930688336,Wetherbee St
129-04752,27,120.2439548,121.0276968,0.77786919,SR2 EB,School St/Wehterbee St,MA-2/Commonwealth Ave/Elm St,50,1255.094698,RT-2A/Elm St/Commonwealth Ave
129N04752,28,121.0276968,121.0798388,0.050565519,SR2 EB,MA-2/Commonwealth Ave/Elm St,MA-2/Commonwealth Ave/Elm St,25,81.37361895,RT-2A/Elm St/Commonwealth Ave
129-04751,29,121.0798388,121.4429823,0.359164495,SR2 EB,MA-2/Commonwealth Ave/Elm St,MA-2/Elm St/Baker Avenue Ext,35,579.3548115,Baker Ave Ext/RT-2A/Elm St
