tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129+04400,0,7.280391232,7.825829275,0.538375041,SR2 WB,US-3/MA-16,Lake St/Exit 60,30,867.4330529,Lake St/Exit 60
129P04400,1,7.825829275,8.232952364,0.401633964,SR2 WB,Lake St/Exit 60,Lake St/Exit 60,55,647.5090001,Lake St/Exit 60
129+04401,2,8.232952364,8.267780129,0.034306142,SR2 WB,Lake St/Exit 60,East of MA-60/Pleasant St/Exit 59,55,54.90056003,RT-60/Pleasant St/Exit 59
129P04401,3,8.267780129,8.505846725,0.234584401,SR2 WB,East of MA-60/Pleasant St/Exit 59,MA-60/Pleasant St/Exit 59,55,378.9806201,RT-60/Pleasant St/Exit 59
129+04402,4,8.505846725,8.553416783,0.046972551,SR2 WB,MA-60/Pleasant St/Exit 59,West of Park Ave/Exit 58/Exit 59,55,75.67563676,Park Ave/Exit 58/Exit 59
129P04402,5,8.553416783,9.51329348,0.947014804,SR2 WB,West of Park Ave/Exit 58/Exit 59,Park Ave/Exit 58/Exit 59,55,1527.271319,Park Ave/Exit 58/Exit 59
129+04403,6,9.51329348,9.82962479,0.311168724,SR2 WB,Park Ave/Exit 58/Exit 59,Dow Ave/Exit 57,55,502.5598083,Dow Ave/Exit 57
129P04403,7,9.82962479,10.23412942,0.39907929,SR2 WB,Dow Ave/Exit 57,Dow Ave/Exit 57,55,643.492938,Dow Ave/Exit 57
129+04404,8,10.23412942,10.41830705,0.181425232,SR2 WB,Dow Ave/Exit 57,MA-225/MA-4/Exit 56,55,292.9406669,RT-4/RT-225/Exit 56
129P04404,9,10.41830705,10.81048692,0.387613726,SR2 WB,MA-225/MA-4/Exit 56,MA-225/MA-4/Exit 56,55,624.84377,RT-4/RT-225/Exit 56
129+04405,10,10.81048692,11.32787182,0.509896567,SR2 WB,MA-225/MA-4/Exit 56,Pleasant St/Exit 55,55,822.7310137,Pleasant St/Exit 55
129P04405,11,11.32787182,11.53919575,0.208343587,SR2 WB,Pleasant St/Exit 55,Pleasant St/Exit 55,55,336.1470198,Pleasant St/Exit 55
129+04406,12,11.53919575,12.07201375,0.524990267,SR2 WB,Pleasant St/Exit 55,Waltham St/Exit 54,55,846.9609704,Waltham St/Exit 54
129P04406,13,12.07201375,12.3009441,0.225396093,SR2 WB,Waltham St/Exit 54,Waltham St/Exit 54,55,364.1339652,Waltham St/Exit 54
129+04407,14,12.3009441,12.98096277,0.670578073,SR2 WB,Waltham St/Exit 54,Spring St/Exit 53,55,1081.55398,Spring St/Exit 53
129P04407,15,12.98096277,13.17838383,0.194795669,SR2 WB,Spring St/Exit 53,Spring St/Exit 53,55,314.0451489,Spring St/Exit 53
129+04408,16,13.17838383,13.51609833,0.333661607,SR2 WB,Spring St/Exit 53,I-95/Exit 52,55,538.0493008,I-95/Exit 52
129P04408,17,13.51609833,14.10359529,0.578545813,SR2 WB,I-95/Exit 52,I-95/Exit 52,55,932.0401612,I-95/Exit 52
129+04745,18,14.10359529,16.04783011,1.917806929,SR2 WB,I-95/Exit 52,Bedford Rd,45,3094.661565,Bedford Rd
129P04745,19,16.04783011,16.08585827,0.037339419,SR2 WB,Bedford Rd,Bedford Rd,45,59.53425392,Bedford Rd
129+04746,20,16.08585827,17.12008181,1.029469026,SR2 WB,Bedford Rd,Byp Rd/Cambridge Tpke,45,1661.272861,Cambridge Tpke/Bypass Rd
129P04746,21,17.12008181,17.58725079,0.466177729,SR2 WB,Byp Rd/Cambridge Tpke,Byp Rd/Cambridge Tpke,45,752.9018316,Cambridge Tpke/Bypass Rd
129+04747,22,17.58725079,18.36363774,0.767920092,SR2 WB,Byp Rd/Cambridge Tpke,MA-126/Walden St,45,1239.716914,RT-126/Walden St
129P04747,23,18.36363774,18.45867603,0.094134411,SR2 WB,MA-126/Walden St,MA-126/Walden St,45,151.8487856,RT-126/Walden St
129+04748,24,18.45867603,19.4620003,0.989898401,SR2 WB,MA-126/Walden St,Sudbury Rd,45,1597.960698,Sudbury Rd
129+04749,25,19.4620003,20.3991632,0.924861541,SR2 WB,Sudbury Rd,Old Road to 9 Acre Corner,45,1492.976104,Old Road To Nine Acre Cor
129+04750,26,20.3991632,20.56626415,0.165853463,SR2 WB,Old Road to 9 Acre Corner,MA-62/Main St,45,267.5448624,RT-62/Main St
129P04750,27,20.56626415,20.66805383,0.100651585,SR2 WB,MA-62/Main St,MA-62/Main St,45,162.5046038,RT-62/Main St
129+04751,28,20.66805383,21.31656551,0.639279283,SR2 WB,MA-62/Main St,MA-2/Elm St/Baker Avenue Ext,45,1030.175118,Baker Ave Ext/RT-2A/Elm St
129P04751,29,21.31656551,21.50429935,0.183357715,SR2 WB,MA-2/Elm St/Baker Avenue Ext,MA-2/Elm St/Baker Avenue Ext,40,296.0638719,Baker Ave Ext/RT-2A/Elm St
129+04752,30,21.50429935,21.86518667,0.356746932,SR2 WB,MA-2/Elm St/Baker Avenue Ext,MA-2/Commonwealth Ave/Elm St,40,575.6345717,RT-2A/Elm St/Commonwealth Ave
129P04752,31,21.86518667,21.94618684,0.073611036,SR2 WB,MA-2/Commonwealth Ave/Elm St,MA-2/Commonwealth Ave/Elm St,25,118.9283203,RT-2A/Elm St/Commonwealth Ave
129+04753,32,21.94618684,22.73396277,0.776820125,SR2 WB,MA-2/Commonwealth Ave/Elm St,Wetherbee St/School St,45,1254.835071,Wetherbee St
129+04754,33,22.73396277,22.76215714,0.028315106,SR2 WB,Wetherbee St/Scholl St,Wetherbee St/School St,45,43.64173195,School St
129+04755,34,22.76215714,23.47061084,0.699649964,SR2 WB,Wetherbee St/School St,Hosmer St,45,1126.821044,Hosmer St
129+04756,35,23.47061084,24.17141711,0.69042882,SR2 WB,Hosmer St,Piper Rd/Taylor Rd,45,1114.276133,Piper Rd/Taylor Rd
129P04756,36,24.17141711,24.20585608,0.033990289,SR2 WB,Piper Rd/Taylor Rd,Piper Rd/Taylor Rd,45,54.7645133,Piper Rd/Taylor Rd
129+04743,37,24.20585608,24.38478754,0.177058739,SR2 WB,Piper Rd/Taylor Rd,Massachusetts Ave (Acton),45,284.5911451,Massachusetts Ave
129P04743,38,24.38478754,24.4399067,0.054796917,SR2 WB,Massachusetts Ave (Acton),Massachusetts Ave (Acton),45,87.58765163,Massachusetts Ave
129+04479,39,24.4399067,24.61598016,0.173733631,SR2 WB,Massachusetts Ave (Acton),MA-27/Main St/Exit 42,45,279.4843467,RT-27/Main St/Exit 42
129P04479,40,24.61598016,24.71737869,0.100515301,SR2 WB,MA-27/Main St/Exit 42,MA-27/Main St/Exit 42,45,160.8585385,RT-27/Main St/Exit 42
129+04480,41,24.71737869,26.77059149,2.027698847,SR2 WB,MA-27/Main St/Exit 42,Newtown Rd/Exit 41,55,3266.790279,Newtown Rd/Exit 41
129P04480,42,26.77059149,26.86241101,0.090763502,SR2 WB,Newtown Rd/Exit 41,Newtown Rd/Exit 41,55,146.0287878,Newtown Rd/Exit 41
129+04481,43,26.86241101,28.90397178,2.015071614,SR2 WB,Newtown Rd/Exit 41,I-495/Exit 40,55,3247.380577,I-495/Exit 40
129P04481,44,28.90397178,29.18846159,0.281900399,SR2 WB,I-495/Exit 40,I-495/Exit 40,55,452.6099845,I-495/Exit 40
129+04638,45,29.18846159,29.337621,0.146868528,SR2 WB,I-495/Exit 40,I-495/Exit 40,55,237.2785058,I-495
129P04638,46,29.337621,29.37369302,0.035838736,SR2 WB,I-495/Exit 40,I-495/Exit 40,55,57.48114551,I-495
129+04639,47,29.37369302,29.45761328,0.083183663,SR2 WB,I-495,Taylor St/Exit 39,55,133.5601636,Taylor St/Exit 39
129P04639,48,29.45761328,29.68153057,0.220852047,SR2 WB,Taylor St/Exit 39,Taylor St/Exit 39,55,356.1430156,Taylor St/Exit 39
129+04640,49,29.68153057,32.96419491,3.235929295,SR2 WB,Taylor St/Exit 39,MA-110/MA-111/Exit 38,55,5220.843095,RT-110/RT-111/Exit 38
129P04640,50,32.96419491,33.26269543,0.293138,SR2 WB,MA-110/MA-111/Exit 38,MA-110/MA-111/Exit 38,55,474.7931947,RT-110/RT-111/Exit 38
129+04641,51,33.26269543,35.70818686,2.411066804,SR2 WB,MA-110/MA-111/Exit 38,Jackson Rd/Exit 37,55,3888.876813,Jackson Rd/Exit 37
129P04641,52,35.70818686,36.21826611,0.502222139,SR2 WB,Jackson Rd/Exit 37,Jackson Rd/Exit 37,55,811.2940854,Jackson Rd/Exit 37
129+04642,53,36.21826611,37.73032338,1.491894164,SR2 WB,Jackson Rd/Exit 37,Shirley Rd/Exit 36,55,2405.962703,Shirley Rd/Exit 36
129P04642,54,37.73032338,37.75572635,0.024897191,SR2 WB,Shirley Rd/Exit 36,Shirley Rd/Exit 36,55,40.28132712,Shirley Rd/Exit 36
129+04643,55,37.75572635,39.03457288,1.259785732,SR2 WB,Shirley Rd/Exit 36,MA-70/Exit 35,55,2033.887524,RT-70/Exit 35
129P04643,56,39.03457288,39.06963507,0.033765284,SR2 WB,MA-70/Exit 35,MA-70/Exit 35,55,55.76755614,RT-70/Exit 35
129+04644,57,39.06963507,40.1329134,1.047236301,SR2 WB,MA-70/Exit 35,Harvard St/Exit 34,55,1691.839515,Harvard St/Exit 34
129P04644,58,40.1329134,40.21248278,0.07777612,SR2 WB,Harvard St/Exit 34,Harvard St/Exit 34,55,126.5643736,Harvard St/Exit 34
