tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129N04195,0,49.740147,49.76019344,0.019912614,SR3 SB,I-93 Exit 7,I-93 Exit 7,55,32.57923775,I-93
129-04194,1,49.76019344,49.78776202,0.029020273,SR3 SB,I-93 Exit 7,Thomas E Burgin Pkwy/Exits 18-19,55,44.64096307,Thomas S Burgin Pky/Exit 19
129N04194,2,49.78776202,50.23043605,0.445890307,SR3 SB,Thomas E Burgin Pkwy/Exits 18-19,Thomas E Burgin Pkwy/Exits 18-19,55,718.7816734,Thomas S Burgin Pky/Exit 19
129-04193,3,50.23043605,51.1579171,0.933604707,SR3 SB,Thomas E Burgin Pkwy/Exits 18-19,Union St/Exit 17,55,1503.455439,Union St/Exit 17
129N04193,4,51.1579171,51.73464972,0.580957105,SR3 SB,Union St/Exit 17,Union St/Exit 17,55,936.3597393,Union St/Exit 17
129-04192,5,51.73464972,53.61611404,1.891499364,SR3 SB,Union St/Exit 17,MA-18/Main St/Exit 16,55,3052.658385,RT-18/Main St/Exit 16
129N04192,6,53.61611404,54.09669752,0.483997228,SR3 SB,MA-18/Main St/Exit 16,MA-18/Main St/Exit 16,55,779.9636581,RT-18/Main St/Exit 16
129-04191,7,54.09669752,56.16987478,2.087994881,SR3 SB,MA-18/Main St/Exit 16,Derby St/Exit 15,60,3363.079108,Derby St/Exit 15
129N04191,8,56.16987478,56.36011014,0.191330826,SR3 SB,Derby St/Exit 15,Derby St/Exit 15,60,308.5324215,Derby St/Exit 15
129-04190,9,56.36011014,57.31499095,0.961083723,SR3 SB,Derby St/Exit 15,MA-228/Hingham St/Exit 14,60,1549.251109,RT-228/Hingham St/Exit 14
129N04190,10,57.31499095,57.51380388,0.199534099,SR3 SB,MA-228/Hingham St/Exit 14,MA-228/Hingham St/Exit 14,60,322.5120613,RT-228/Hingham St/Exit 14
129-04189,11,57.51380388,60.09071515,2.59236052,SR3 SB,MA-228/Hingham St/Exit 14,MA-53/Washington St/Exit 13,60,4180.539101,RT-53/Washington St/Exit 13
129N04189,12,60.09071515,60.25160689,0.160735415,SR3 SB,MA-53/Washington St/Exit 13,MA-53/Washington St/Exit 13,60,260.9680811,RT-53/Washington St/Exit 13
129-04188,13,60.25160689,65.29802947,5.079985203,SR3 SB,MA-53/Washington St/Exit 13,MA-139/Church St/Exit 12,60,8186.48467,RT-139/Church St/Exit 12
129N04188,14,65.29802947,65.46458018,0.166623826,SR3 SB,MA-139/Church St/Exit 12,MA-139/Church St/Exit 12,60,270.1686522,RT-139/Church St/Exit 12
129-04187,15,65.46458018,69.54563539,4.115074354,SR3 SB,MA-139/Church St/Exit 12,MA-14/Exit 11,60,6620.748572,RT-14/Exit 11
129N04187,16,69.54563539,69.72498421,0.181002656,SR3 SB,MA-14/Exit 11,MA-14/Exit 11,60,290.9505076,RT-14/Exit 11
129-04186,17,69.72498421,72.1549585,2.451501016,SR3 SB,MA-14/Exit 11,MA-3/Tremont St/Exit 10,60,3942.327243,RT-3A/Tremont St/Exit 10
129N04186,18,72.1549585,72.34759419,0.1944316,SR3 SB,MA-3/Tremont St/Exit 10,MA-3/Tremont St/Exit 10,60,312.5261871,RT-3A/Tremont St/Exit 10
129-04185,19,72.34759419,73.9240671,1.589375649,SR3 SB,MA-3/Tremont St/Exit 10,MA-3/Main St/Exit 9,60,2557.480643,RT-3A/Main St/Exit 9
129N04185,20,73.9240671,74.40268194,0.483244357,SR3 SB,MA-3A/Main St/Exit 9,MA-3A/Main St/Exit 9,60,776.4838674,RT-3A/Main St/Exit 9
129-04184,21,74.40268194,75.20779269,0.812649462,SR3 SB,MA-3A/Main St/Exit 9,Smiths Ln/Exit 8,60,1306.552355,Smith Lane/Exit 8
129N04184,22,75.20779269,75.40548338,0.199331334,SR3 SB,Smiths Ln/Exit 8,Smiths Ln/Exit 8,60,320.6606365,Smith Lane/Exit 8
129-04183,23,75.40548338,75.95775644,0.558362042,SR3 SB,Smiths Ln/Exit 8,Cherry St/US-44 West/Exit 7,60,895.9129642,Cherry St/Exit 7
129N04183,24,75.95775644,76.32821117,0.373116604,SR3 SB,Cherry St/US-44 West/Exit 7,Cherry St/US-44 West/Exit 7,60,600.7775966,Cherry St/Exit 7
129-04182,25,76.32821117,76.74532966,0.420385896,SR3 SB,Cherry St/US-44 West/Exit 7,US-44 East/Exit 6,60,676.3758526,US-44/Exit 6
129N04182,26,76.74532966,77.48149681,0.741418547,SR3 SB,US-44 East/Exit 6,US-44 East/Exit 6,60,1194.198674,US-44/Exit 6
129-04181,27,77.48149681,78.66722978,1.195509979,SR3 SB,US-44 East/Exit 6,Long Pond Rd/Exit 5,60,1924.300361,Long Pond Rd/Exit 5
129N04181,28,78.66722978,79.3598673,0.694422564,SR3 SB,Long Pond Rd/Exit 5,Long Pond Rd/Exit 5,60,1123.509848,Long Pond Rd/Exit 5
129-04180,29,79.3598673,79.68679776,0.327733988,SR3 SB,Long Pond Rd/Exit 5,Plymouth Plantation Hwy/Exit 4,60,530.3541472,Plimoth Plantation Hwy/Exit 4
129N04180,30,79.68679776,79.95433645,0.26872875,SR3 SB,Plymouth Plantation Hwy/Exit 4,Plymouth Plantation Hwy/Exit 4,60,433.999403,Plimoth Plantation Hwy/Exit 4
129-04179,31,79.95433645,84.34407872,4.422826502,SR3 SB,Plymouth Plantation Hwy/Exit 4,MA-3/Clark Rd/Exit 3,60,7121.19834,Clark Rd/Exit 3
129N04179,32,84.34407872,84.55916656,0.216912036,SR3 SB,Clark Rd/Exit 3,Clark Rd/Exit 3,60,348.9216417,Clark Rd/Exit 3
129-04178,33,84.55916656,89.45198249,4.931546557,SR3 SB,Clark Rd/Exit 3,Herring Pond Rd/Exit 2,60,7936.769767,Herring Pond Rd/Exit 2
129N04178,34,89.45198249,89.67489282,0.224445927,SR3 SB,Herring Pond Rd/Exit 2,Herring Pond Rd/Exit 2,60,361.6110922,Herring Pond Rd/Exit 2
129-04177,35,89.67489282,91.32461405,1.664192737,SR3 SB,Herring Pond Rd/Exit 2,North of US-6/Exit 1,60,2676.378327,US-6/RT-3A
129N04177,36,91.32461405,91.77206258,0.451738084,SR3 SB,North of US-6/Exit 1,US-6/Exit 1,40,725.7148238,US-6/RT-3A
