tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129N04782,0,23.95779621,23.99230333,0.034376121,US1 SB,Lowell St,Lowell St,50,55.52123421,Lowell St
129-04781,1,23.99230333,24.62090992,0.629280888,US1 SB,Lowell St,I-95/Peabody Rd,50,1011.118261,I-95/City of Peabody
129-04780,2,24.62090992,24.84328245,0.222414052,US1 SB,I-95/Peabody Rd,Winona St/Forest St,50,357.6683614,Winona St/Forest St
129-04779,3,24.84328245,25.38711776,0.544172623,US1 SB,Winona St/Forest St,I-95/MA-128 (Peabody),50,874.8212995,I-95/RT-128 South Ramp
129N04779,4,25.38711776,25.65973503,0.272468054,US1 SB,I-95/MA-128 (Peabody),I-95/MA-128 (Peabody),50,438.5847994,I-95/RT-128 South Ramp
129-04778,5,25.65973503,25.7807809,0.120972916,US1 SB,I-95/MA-128 (Peabody),Lake St,50,194.8013428,Lake St
129N04778,6,25.7807809,25.84269049,0.061919028,US1 SB,Lake St,Lake St,50,99.34105799,Lake St
129-04777,7,25.84269049,26.04831323,0.205758681,US1 SB,Lake St,I-95/MA-128 (Lynnfield) (North),50,330.6703584,I-95/RT-128 North Ramp
129-04776,8,26.04831323,26.23076488,0.182139011,US1 SB,I-95/MA-128 (Lynnfield) (North),I-95/MA-128 (Lynnfield) (South),50,293.4962231,I-95/RT-128 Overpass
129N04776,9,26.23076488,26.43682715,0.205794737,US1 SB,I-95/MA-128 (Lynnfield),I-95/MA-128 (Lynnfield),50,331.5020076,I-95/RT-128 Overpass
129-04775,10,26.43682715,26.47301565,0.035664736,US1 SB,I-95/MA-128 (Lynnfield) (South),MA-129/Salem St,50,58.45534803,RT-129/Salem St
129N04775,11,26.47301565,26.72312134,0.249485893,US1 SB,MA-129/Salem St,MA-129/Salem St,50,402.2991219,RT-129/Salem St
129-04774,12,26.72312134,28.41906213,1.695239688,US1 SB,MA-129/Salem St,MA-129/Walnut St,50,2728.35244,RT-129/Walnut St
129N04774,13,28.41906213,28.62013136,0.201365375,US1 SB,MA-129/Walnut St,MA-129/Walnut St,50,323.4752836,RT-129/Walnut St
129-04773,14,28.62013136,28.96857686,0.348716314,US1 SB,MA-129/Walnut St,Lynn Fells Pkwy,50,560.5424835,Lynn Fells Pky
129N04773,15,28.96857686,29.04617018,0.07768377,US1 SB,Lynn Fells Pkwy,Lynn Fells Pkwy,50,124.8171967,Lynn Fells Pky
129-04772,16,29.04617018,30.17117213,1.127541396,US1 SB,Lynn Fells Pkwy,Main St (Saugus),50,1812.0551,Main St
129N04772,17,30.17117213,30.30870453,0.135977362,US1 SB,Main St (Saugus),Main St (Saugus),50,219.7382107,Main St
129-04771,18,30.30870453,30.65308975,0.344628114,US1 SB,Main St (Saugus),Essex St,50,554.0303829,Essex St
129N04771,19,30.65308975,30.84421969,0.190651834,US1 SB,Essex St,Essex St,50,307.4609405,Essex St
129-04770,20,30.84421969,31.00461117,0.161260854,US1 SB,Essex St,MA-99,50,259.0763032,RT-99
129N04770,21,31.00461117,31.37013502,0.365203143,US1 SB,MA-99,MA-99,50,587.1871182,RT-99
129-04421,22,31.37013502,32.45188939,1.080891553,US1 SB,MA-99,Lynn St/Salem St,50,1740.122715,Lynn St
129N04421,23,32.45188939,32.54747118,0.095046463,US1 SB,Lynn St/Salem St,Lynn St/Salem St,50,153.4943029,Lynn St
129-04420,24,32.54747118,32.74586364,0.197910571,US1 SB,Lynn St/Salem St,MA-60/Squire Rd,50,319.262413,RT-60/Squire Rd
129N04420,25,32.74586364,33.28821474,0.541047625,US1 SB,MA-60/Squire Rd,MA-60/Squire Rd,50,871.9432404,RT-60/Squire Rd
129-04419,26,33.28821474,33.72484848,0.436523956,US1 SB,MA-60/Squire Rd,Sargent St,55,702.5765939,Sargent St
129N04419,27,33.72484848,33.96394272,0.239660484,US1 SB,Sargent St,Sargent St,55,384.8238764,Sargent St
129-04418,28,33.96394272,34.7333728,0.769514505,US1 SB,Sargent St,Ramp to MA-16 WB,55,1238.188784,RT-16
129N04418,29,34.7333728,34.89342724,0.15937575,US1 SB,Ramp to MA-16 WB,Ramp from MA-16 WB,55,257.0174116,RT-16
129-04417,30,34.89342724,35.15592285,0.262860605,US1 SB,Ramp from MA-16 WB,Webster Ave,50,422.4816219,Webster Ave
129N04417,31,35.15592285,35.48294342,0.326982622,US1 SB,Webster Ave,Ramp from Revere Beach Parkway,50,527.4000708,Webster Ave
129-04416,32,35.48294342,35.57489587,0.092673797,US1 SB,Ramp from Revere Beach Parkway,Carter St,50,148.6584567,Carter St
129N04416,33,35.57489587,35.85141254,0.277230386,US1 SB,Carter St,Carter St,50,446.0274577,Carter St
129-04415,34,35.85141254,35.99645355,0.144809202,US1 SB,Carter St,Spruce St,50,233.7811296,5th/6th St
129N04415,35,35.99645355,36.18887921,0.193257781,US1 SB,Spruce St,5th St,50,310.4139016,5th/6th St
129-04414,36,36.18887921,36.30192821,0.113916597,US1 SB,5th St,North of 4th St,50,182.9317784,4th St
