tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129+04255,0,90.68724639,90.893,0.212100082,US3 NB,Middlesex Rd/Exit 36,Spit Brook Rd/Exit 1 (New Hampshire),55,339.9319004,Spit Brook Rd/Exit 1
129P04254,1,90.50347184,90.68724639,0.181813441,US3 NB,Middlesex Rd/Exit 36,Middlesex Rd/Exit 36,55,294.934314,Middlesex Rd/Exit 36
129+04254,2,89.72066283,90.50347184,0.780538032,US3 NB,MA-113/Kendall Rd/Exit 35,Middlesex Rd/Exit 36,55,1256.470027,Middlesex Rd/Exit 36
129P04253,3,89.4740327,89.72066283,0.245675098,US3 NB,MA-113/Kendall Rd/Exit 35,MA-113/Kendall Rd/Exit 35,55,395.850837,RT-113/Kendall Rd/Exit 35
129+04253,4,87.78915918,89.4740327,1.679811362,US3 NB,Westford Rd/Exit 34,MA-113/Kendall Rd/Exit 35,55,2703.686228,RT-113/Kendall Rd/Exit 35
129P04252,5,87.52553636,87.78915918,0.263758927,US3 NB,Westford Rd/Exit 34,Westford Rd/Exit 34,55,423.0699749,Westford Rd/Exit 34
129+04252,6,85.86351068,87.52553636,1.656666093,US3 NB,MA-40/Groton Rd/Exit 33,Westford Rd/Exit 34,55,2667.337846,Westford Rd/Exit 34
129P04251,7,85.62691687,85.86351068,0.235674091,US3 NB,MA-40/Groton Rd/Exit 33,MA-40/Groton Rd/Exit 33,55,379.9651077,RT-40/Groton Rd/Exit 33
129+04251,8,83.76076386,85.62691687,1.856686317,US3 NB,MA-4/Exit 32,MA-40/Groton Rd/Exit 33,55,2995.944256,RT-40/Groton Rd/Exit 33
129P04250,9,83.16362499,83.76076386,0.593840745,US3 NB,MA-4/Exit 32,MA-4/Exit 32,55,958.3655178,RT-4/Exit 32
129+04250,10,81.71537764,83.16362499,1.439582016,US3 NB,MA-110/Chelmsford St/Exit 35B & 35C,MA-4/Exit 32,55,2323.400862,RT-4/Exit 32
129P04249,11,81.18440373,81.71537764,0.528569662,US3 NB,MA-110/Chelmsford St/Exit 35B & 35C,MA-110/Chelmsford St/Exit 35B & 35C,55,851.5693128,RT-110/Chelmsford St/Exit 31
129+04249,12,81.16899927,81.18440373,0.012125332,US3 NB,I-495/Exit 35B & 35C,MA-110/Chelmsford St/Exit 35B & 35C,55,24.72862363,RT-110/Chelmsford St/Exit 31
129P04248,13,80.46824602,81.16899927,0.701083746,US3 NB,I-495/Exit 35B & 35C,I-495/Exit 35B & 35C,55,1124.625344,I-495/Exit 30
129+04248,14,80.31531214,80.46824602,0.152954174,US3 NB,Lowell Connector/Exit 35B & 35C,I-495/Exit 35B & 35C,55,245.2747321,I-495/Exit 30
129P04247,15,80.08931244,80.31531214,0.224597665,US3 NB,Lowell Connector/Exit 35B & 35C,Lowell Connector/Exit 35B & 35C,55,362.7183082,Lowell Connector/Exit 30N
129+04247,16,79.71295756,80.08931244,0.376211935,US3 NB,MA-129/Billerica Rd/Exit 29,Lowell Connector/Exit 35B & 35C,55,604.1091464,Lowell Connector/Exit 30N
129P04246,17,79.49544387,79.71295756,0.21674853,US3 NB,MA-129/Billerica Rd/Exit 29,MA-129/Billerica Rd/Exit 29,55,349.1099609,RT-129/Billerica Rd/Exit 29
129+04246,18,77.64533417,79.49544387,1.845916264,US3 NB,Treble Cove Rd/Exit 28,MA-129/Billerica Rd/Exit 29,55,2969.22847,RT-129/Billerica Rd/Exit 29
129P04245,19,77.41416746,77.64533417,0.230281219,US3 NB,Treble Cove Rd/Exit 28,Treble Cove Rd/Exit 28,55,370.9828671,Treble Cove Rd/Exit 28
129+04245,20,76.10645186,77.41416746,1.303785135,US3 NB,Concord Rd/Exit 27,Treble Cove Rd/Exit 28,55,2098.727665,Treble Cove Rd/Exit 28
129P04244,21,75.62877,76.10645186,0.476031453,US3 NB,Concord Rd/Exit 27,Concord Rd/Exit 27,55,766.6074718,Concord Rd/Exit 27
129+04244,22,72.69571827,75.62877,2.924192668,US3 NB,MA-62/Burlington Rd/Exit 26,Concord Rd/Exit 27,55,4707.155959,Concord Rd/Exit 27
129P04243,23,72.0102674,72.69571827,0.682656561,US3 NB,MA-62/Burlington Rd/Exit 26,MA-62/Burlington Rd/Exit 26,55,1100.046897,RT-62/Burlington Rd/Exit 26
129+04243,24,70.53798554,72.0102674,1.467192453,US3 NB,I-95/MA-128/Exit 25,MA-62/Burlington Rd/Exit 26,55,2363.187527,RT-62/Burlington Rd/Exit 26
