tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129-04254,0,0,0.231162701,0.422459596,US3 SB,Spit Brook Rd/Exit 1 (New Hampshire),Middlesex Rd/Exit 36,55,680.6377566,Middlesex Rd/Exit 36
129N04254,1,0.231162701,0.649537481,0.41065506,US3 SB,Middlesex Rd/Exit 36,Middlesex Rd/Exit 36,55,659.1853329,Middlesex Rd/Exit 36
129-04253,2,0.649537481,1.49760139,0.829918595,US3 SB,Middlesex Rd/Exit 36,MA-113/Kendall Rd/Exit 35,55,1335.820937,RT-113/Kendall Rd/Exit 35
129N04253,3,1.49760139,1.720617682,0.218057879,US3 SB,MA-113/Kendall Rd/Exit 35,MA-113/Kendall Rd/Exit 35,55,351.3443466,RT-113/Kendall Rd/Exit 35
129-04252,4,1.720617682,2.879729489,1.134907575,US3 SB,MA-113/Kendall Rd/Exit 35,Westford Rd/Exit 34,55,1825.692419,Westford Rd/Exit 34
129N04252,5,2.879729489,3.141503175,0.256775397,US3 SB,Westford Rd/Exit 34,Westford Rd/Exit 34,55,412.3988864,Westford Rd/Exit 34
129-04251,6,3.141503175,5.444357016,2.253620724,US3 SB,Westford Rd/Exit 34,MA-40/Groton Rd/Exit 33,55,3628.314397,RT-40/Groton Rd/Exit 33
129N04251,7,5.444357016,5.622595258,0.175065191,US3 SB,MA-40/Groton Rd/Exit 33,MA-40/Groton Rd/Exit 33,55,281.0254062,RT-40/Groton Rd/Exit 33
129-04250,8,5.622595258,7.310747163,1.647797068,US3 SB,MA-40/Groton Rd/Exit 33,MA-4/Exit 32,55,2660.017355,RT-4/Exit 32
129N04250,9,7.310747163,7.886281941,0.562177263,US3 SB,MA-4/Exit 32,MA-4/Exit 32,55,906.7070282,RT-4/Exit 32
129-04249,10,7.886281941,9.243042656,1.32283371,US3 SB,MA-4/Exit 32,MA-110/Chelmsford St/Exit 35B & 35C,55,2136.226188,RT-110/Chelmsford St/Exit 31
129N04249,11,9.243042656,9.905559081,0.648710422,US3 SB,MA-110/Chelmsford St/Exit 35B & 35C,MA-110/Chelmsford St/Exit 35B & 35C,55,1042.768369,RT-110/Chelmsford St/Exit 31
129-04248,12,9.905559081,9.919228803,0.011900648,US3 SB,MA-110/Chelmsford St/Exit 35B & 35C,I-495/Exit 35B & 35C,55,22.75574617,I-495/Exit 30
129N04248,13,9.919228803,10.65830686,0.723658801,US3 SB,I-495/Exit 35B & 35C,I-495/Exit 35B & 35C,55,1164.337386,I-495/Exit 30
129-04247,14,10.65830686,10.80565445,0.144389179,US3 SB,I-495/Exit 35B & 35C,Lowell Connector/Exit 35B & 35C,55,232.1348077,Lowell Connector/Exit 30N
129N04247,15,10.80565445,11.25831768,0.443177305,US3 SB,Lowell Connector/Exit 35B & 35C,Lowell Connector/Exit 35B & 35C,55,713.1737786,Lowell Connector/Exit 30N
129-04246,16,11.25831768,11.70742498,0.440240236,US3 SB,Lowell Connector/Exit 35B & 35C,MA-129/Billerica Rd/Exit 29,55,707.5379319,RT-129/Billerica Rd/Exit 29
129N04246,17,11.70742498,11.92569024,0.214043422,US3 SB,MA-129/Billerica Rd/Exit 29,MA-129/Billerica Rd/Exit 29,55,343.785314,RT-129/Billerica Rd/Exit 29
129-04245,18,11.92569024,13.62470178,1.664441325,US3 SB,MA-129/Billerica Rd/Exit 29,Treble Cove Rd/Exit 28,55,2675.882942,Treble Cove Rd/Exit 28
129N04245,19,13.62470178,13.83288613,0.203591467,US3 SB,Treble Cove Rd/Exit 28,Treble Cove Rd/Exit 28,55,327.8951477,Treble Cove Rd/Exit 28
129-04244,20,13.83288613,15.36382339,1.497438655,US3 SB,Treble Cove Rd/Exit 28,Concord Rd/Exit 27,55,2412.171374,Concord Rd/Exit 27
129N04244,21,15.36382339,15.58009157,0.211764335,US3 SB,Concord Rd/Exit 27,Concord Rd/Exit 27,55,340.7799631,Concord Rd/Exit 27
129-04243,22,15.58009157,18.46876622,2.826049516,US3 SB,Concord Rd/Exit 27,MA-62/Burlington Rd/Exit 26,55,4552.064673,RT-62/Burlington Rd/Exit 26
129N04243,23,18.46876622,18.84542339,0.370274714,US3 SB,MA-62/Burlington Rd/Exit 26,MA-62/Burlington Rd/Exit 26,55,593.3853523,RT-62/Burlington Rd/Exit 26
129-04242,24,18.84542339,20.71309565,1.827888344,US3 SB,MA-62/Burlington Rd/Exit 26,I-95/MA-128/Exit 25,55,2942.775841,I-95/RT-128/Middlesex Tpke/Exit 32
