tmc,tstamp,speed,cvalue
129P04641,2020-03-27 00:00:00,60.00,93.40
129P04641,2020-03-27 00:10:00,67.61,24.00
129P04641,2020-03-27 00:20:00,63.62,67.10
129P04641,2020-03-27 00:30:00,51.74,35.70
129P04641,2020-03-27 00:40:00,50.00,33.00
129P04641,2020-03-27 00:50:00,73.00,30.71
129P04641,2020-03-27 01:00:00,65.48,84.70
129P04641,2020-03-27 01:10:00,61.89,99.00
129P04641,2020-03-27 01:20:00,63.00,98.50
129P04641,2020-03-27 01:30:00,,
129P04641,2020-03-27 01:40:00,50.00,
129P04641,2020-03-27 01:50:00,64.27,80.90
129P04641,2020-03-27 02:00:00,60.93,84.40
129P04641,2020-03-27 02:10:00,60.00,86.71
129P04641,2020-03-27 02:20:00,58.87,88.56
129P04641,2020-03-27 02:30:00,,
129P04641,2020-03-27 02:40:00,58.00,91.40
129P04641,2020-03-27 02:50:00,53.05,56.10
129P04641,2020-03-27 03:00:00,56.28,16.88
129P04641,2020-03-27 03:10:00,68.00,35.17
129P04641,2020-03-27 03:20:00,64.00,81.14
129P04641,2020-03-27 03:30:00,65.32,81.44
129P04641,2020-03-27 03:40:00,68.75,65.60
129P04641,2020-03-27 03:50:00,63.40,58.00
129P04641,2020-03-27 04:00:00,60.00,59.80
129P04641,2020-03-27 04:10:00,64.00,99.00
129P04641,2020-03-27 04:20:00,64.99,93.10
129P04641,2020-03-27 04:30:00,58.00,65.11
129P04641,2020-03-27 04:40:00,67.61,69.13
129P04641,2020-03-27 04:50:00,69.97,64.30
129P04641,2020-03-27 05:00:00,63.14,58.78
129P04641,2020-03-27 05:10:00,58.00,62.50
129P04641,2020-03-27 05:20:00,66.77,75.75
129P04641,2020-03-27 05:30:00,67.15,84.89
129P04641,2020-03-27 05:40:00,69.80,72.90
129P04641,2020-03-27 05:50:00,67.07,93.90
129P04641,2020-03-27 06:00:00,66.69,92.88
129P04641,2020-03-27 06:10:00,64.64,98.10
129P04641,2020-03-27 06:20:00,62.20,95.40
129P04641,2020-03-27 06:30:00,67.14,79.70
129P04641,2020-03-27 06:40:00,71.79,49.10
129P04641,2020-03-27 06:50:00,64.87,97.80
129P04641,2020-03-27 07:00:00,67.18,83.40
129P04641,2020-03-27 07:10:00,65.87,100.00
129P04641,2020-03-27 07:20:00,65.52,99.00
129P04641,2020-03-27 07:30:00,66.36,96.10
129P04641,2020-03-27 07:40:00,65.79,99.30
129P04641,2020-03-27 07:50:00,65.86,99.10
129P04641,2020-03-27 08:00:00,67.60,91.90
129P04641,2020-03-27 08:10:00,64.96,99.60
129P04641,2020-03-27 08:20:00,67.69,76.30
129P04641,2020-03-27 08:30:00,67.00,99.00
129P04641,2020-03-27 08:40:00,67.95,83.00
129P04641,2020-03-27 08:50:00,69.02,88.40
129P04641,2020-03-27 09:00:00,69.87,89.50
129P04641,2020-03-27 09:10:00,69.09,97.80
129P04641,2020-03-27 09:20:00,65.33,99.80
129P04641,2020-03-27 09:30:00,65.52,99.70
129P04641,2020-03-27 09:40:00,63.90,99.70
129P04641,2020-03-27 09:50:00,66.69,96.20
129P04641,2020-03-27 10:00:00,65.89,90.10
129P04641,2020-03-27 10:10:00,64.73,93.50
129P04641,2020-03-27 10:20:00,64.29,100.00
129P04641,2020-03-27 10:30:00,65.70,99.00
129P04641,2020-03-27 10:40:00,70.09,65.40
129P04641,2020-03-27 10:50:00,69.19,94.90
129P04641,2020-03-27 11:00:00,68.73,89.60
129P04641,2020-03-27 11:10:00,67.46,99.80
129P04641,2020-03-27 11:20:00,64.61,99.50
129P04641,2020-03-27 11:30:00,69.48,84.50
129P04641,2020-03-27 11:40:00,66.14,97.30
129P04641,2020-03-27 11:50:00,69.18,89.40
129P04641,2020-03-27 12:00:00,68.64,86.40
129P04641,2020-03-27 12:10:00,64.75,95.90
129P04641,2020-03-27 12:20:00,68.16,90.30
129P04641,2020-03-27 12:30:00,65.04,98.60
129P04641,2020-03-27 12:40:00,67.17,94.30
129P04641,2020-03-27 12:50:00,69.19,84.70
129P04641,2020-03-27 13:00:00,67.28,96.30
129P04641,2020-03-27 13:10:00,71.98,62.90
129P04641,2020-03-27 13:20:00,70.66,89.50
129P04641,2020-03-27 13:30:00,73.64,59.40
129P04641,2020-03-27 13:40:00,68.21,85.90
129P04641,2020-03-27 13:50:00,62.98,100.00
129P04641,2020-03-27 14:00:00,66.56,100.00
129P04641,2020-03-27 14:10:00,66.39,99.80
129P04641,2020-03-27 14:20:00,67.89,95.60
129P04641,2020-03-27 14:30:00,69.80,72.90
129P04641,2020-03-27 14:40:00,68.69,97.00
129P04641,2020-03-27 14:50:00,67.36,97.00
129P04641,2020-03-27 15:00:00,68.38,100.00
129P04641,2020-03-27 15:10:00,69.77,100.00
129P04641,2020-03-27 15:20:00,69.19,99.90
129P04641,2020-03-27 15:30:00,66.52,91.60
129P04641,2020-03-27 15:40:00,72.83,70.90
129P04641,2020-03-27 15:50:00,70.17,95.90
129P04641,2020-03-27 16:00:00,74.18,73.40
129P04641,2020-03-27 16:10:00,68.55,85.30
129P04641,2020-03-27 16:20:00,70.42,96.00
129P04641,2020-03-27 16:30:00,63.17,39.40
129P04641,2020-03-27 16:40:00,72.11,78.00
129P04641,2020-03-27 16:50:00,69.26,93.70
129P04641,2020-03-27 17:00:00,71.58,93.00
129P04641,2020-03-27 17:10:00,74.17,68.20
129P04641,2020-03-27 17:20:00,71.46,84.30
129P04641,2020-03-27 17:30:00,69.18,84.20
129P04641,2020-03-27 17:40:00,71.00,98.70
129P04641,2020-03-27 17:50:00,71.17,95.70
129P04641,2020-03-27 18:00:00,67.44,81.80
129P04641,2020-03-27 18:10:00,66.99,87.60
129P04641,2020-03-27 18:20:00,69.35,95.20
129P04641,2020-03-27 18:30:00,69.88,92.00
129P04641,2020-03-27 18:40:00,69.74,87.90
129P04641,2020-03-27 18:50:00,63.54,65.80
129P04641,2020-03-27 19:00:00,63.98,77.10
129P04641,2020-03-27 19:10:00,70.50,86.30
129P04641,2020-03-27 19:20:00,68.73,98.38
129P04641,2020-03-27 19:30:00,68.00,96.90
129P04641,2020-03-27 19:40:00,67.79,96.80
129P04641,2020-03-27 19:50:00,63.83,96.00
129P04641,2020-03-27 20:00:00,53.89,52.67
129P04641,2020-03-27 20:10:00,60.99,97.57
129P04641,2020-03-27 20:20:00,69.40,55.50
129P04641,2020-03-27 20:30:00,69.67,65.20
129P04641,2020-03-27 20:40:00,70.57,24.20
129P04641,2020-03-27 20:50:00,57.25,74.40
129P04641,2020-03-27 21:00:00,74.06,57.10
129P04641,2020-03-27 21:10:00,57.70,59.40
129P04641,2020-03-27 21:20:00,64.16,97.00
129P04641,2020-03-27 21:30:00,62.28,100.00
129P04641,2020-03-27 21:40:00,,
129P04641,2020-03-27 21:50:00,60.88,97.00
129P04641,2020-03-27 22:00:00,58.00,89.50
129P04641,2020-03-27 22:10:00,64.00,100.00
129P04641,2020-03-27 22:20:00,63.30,100.00
129P04641,2020-03-27 22:30:00,68.99,41.30
129P04641,2020-03-27 22:40:00,70.00,42.00
129P04641,2020-03-27 22:50:00,70.00,97.00
129P04641,2020-03-27 23:00:00,65.98,79.00
129P04641,2020-03-27 23:10:00,62.12,71.38
129P04641,2020-03-27 23:20:00,60.00,59.00
129P04641,2020-03-27 23:30:00,61.79,86.50
129P04641,2020-03-27 23:40:00,60.00,81.00
129P04641,2020-03-27 23:50:00,60.20,35.50
129P04640,2020-03-27 00:00:00,56.00,90.00
129P04640,2020-03-27 00:10:00,67.66,19.67
129P04640,2020-03-27 00:20:00,63.13,77.20
129P04640,2020-03-27 00:30:00,51.07,34.75
129P04640,2020-03-27 00:40:00,73.00,21.00
129P04640,2020-03-27 00:50:00,67.63,72.80
129P04640,2020-03-27 01:00:00,61.19,98.40
129P04640,2020-03-27 01:10:00,60.30,99.00
129P04640,2020-03-27 01:20:00,60.00,98.33
129P04640,2020-03-27 01:30:00,,
129P04640,2020-03-27 01:40:00,58.53,57.33
129P04640,2020-03-27 01:50:00,61.59,99.40
129P04640,2020-03-27 02:00:00,58.98,85.50
129P04640,2020-03-27 02:10:00,58.49,81.50
129P04640,2020-03-27 02:20:00,60.00,96.00
129P04640,2020-03-27 02:30:00,,
129P04640,2020-03-27 02:40:00,56.99,89.88
129P04640,2020-03-27 02:50:00,54.56,84.30
129P04640,2020-03-27 03:00:00,63.21,36.38
129P04640,2020-03-27 03:10:00,65.00,42.67
129P04640,2020-03-27 03:20:00,60.00,95.20
129P04640,2020-03-27 03:30:00,66.00,54.40
129P04640,2020-03-27 03:40:00,71.00,34.60
129P04640,2020-03-27 03:50:00,60.00,53.38
129P04640,2020-03-27 04:00:00,60.00,62.00
129P04640,2020-03-27 04:10:00,63.14,88.86
129P04640,2020-03-27 04:20:00,61.17,76.30
129P04640,2020-03-27 04:30:00,58.28,73.14
129P04640,2020-03-27 04:40:00,67.46,55.90
129P04640,2020-03-27 04:50:00,59.40,83.70
129P04640,2020-03-27 05:00:00,55.42,56.11
129P04640,2020-03-27 05:10:00,55.00,63.00
129P04640,2020-03-27 05:20:00,65.31,72.10
129P04640,2020-03-27 05:30:00,65.65,64.80
129P04640,2020-03-27 05:40:00,76.04,26.00
129P04640,2020-03-27 05:50:00,73.15,73.50
129P04640,2020-03-27 06:00:00,67.92,95.00
129P04640,2020-03-27 06:10:00,60.20,83.20
129P04640,2020-03-27 06:20:00,67.21,90.20
129P04640,2020-03-27 06:30:00,63.36,99.10
129P04640,2020-03-27 06:40:00,70.70,69.40
129P04640,2020-03-27 06:50:00,62.29,100.00
129P04640,2020-03-27 07:00:00,70.78,52.20
129P04640,2020-03-27 07:10:00,67.59,90.70
129P04640,2020-03-27 07:20:00,72.75,63.10
129P04640,2020-03-27 07:30:00,65.45,100.00
129P04640,2020-03-27 07:40:00,67.46,97.10
129P04640,2020-03-27 07:50:00,65.30,100.00
129P04640,2020-03-27 08:00:00,71.16,79.90
129P04640,2020-03-27 08:10:00,63.85,92.10
129P04640,2020-03-27 08:20:00,67.45,85.30
129P04640,2020-03-27 08:30:00,66.83,88.50
129P04640,2020-03-27 08:40:00,69.39,90.60
129P04640,2020-03-27 08:50:00,69.08,92.90
129P04640,2020-03-27 09:00:00,65.00,100.00
129P04640,2020-03-27 09:10:00,67.07,99.40
129P04640,2020-03-27 09:20:00,64.05,98.80
129P04640,2020-03-27 09:30:00,65.08,100.00
