tmc,tstamp,speed,cvalue
129-04249,2020-03-27 00:00:00,60.95,55.60
129-04249,2020-03-27 00:10:00,59.39,59.40
129-04249,2020-03-27 00:20:00,60.66,89.00
129-04249,2020-03-27 00:30:00,65.60,88.20
129-04249,2020-03-27 00:40:00,65.00,88.33
129-04249,2020-03-27 00:50:00,,
129-04249,2020-03-27 01:00:00,63.00,99.60
129-04249,2020-03-27 01:10:00,63.00,99.00
129-04249,2020-03-27 01:20:00,,
129-04249,2020-03-27 01:30:00,62.00,94.17
129-04249,2020-03-27 01:40:00,58.00,58.50
129-04249,2020-03-27 01:50:00,56.42,74.67
129-04249,2020-03-27 02:00:00,,
129-04249,2020-03-27 02:10:00,68.48,25.70
129-04249,2020-03-27 02:20:00,70.11,49.88
129-04249,2020-03-27 02:30:00,69.53,59.20
129-04249,2020-03-27 02:40:00,61.93,54.40
129-04249,2020-03-27 02:50:00,65.10,88.00
129-04249,2020-03-27 03:00:00,66.50,97.70
129-04249,2020-03-27 03:10:00,63.46,82.50
129-04249,2020-03-27 03:20:00,60.90,76.70
129-04249,2020-03-27 03:30:00,62.00,90.90
129-04249,2020-03-27 03:40:00,62.00,97.50
129-04249,2020-03-27 03:50:00,61.78,88.80
129-04249,2020-03-27 04:00:00,64.21,85.11
129-04249,2020-03-27 04:10:00,65.79,86.00
129-04249,2020-03-27 04:20:00,64.10,98.90
129-04249,2020-03-27 04:30:00,69.17,64.20
129-04249,2020-03-27 04:40:00,76.87,15.50
129-04249,2020-03-27 04:50:00,69.82,87.40
129-04249,2020-03-27 05:00:00,77.82,43.60
129-04249,2020-03-27 05:10:00,76.05,78.90
129-04249,2020-03-27 05:20:00,73.68,99.80
129-04249,2020-03-27 05:30:00,73.06,100.00
129-04249,2020-03-27 05:40:00,70.29,100.00
129-04249,2020-03-27 05:50:00,71.17,100.00
129-04249,2020-03-27 06:00:00,74.89,100.00
129-04249,2020-03-27 06:10:00,70.78,100.00
129-04249,2020-03-27 06:20:00,71.85,100.00
129-04249,2020-03-27 06:30:00,69.88,100.00
129-04249,2020-03-27 06:40:00,68.04,100.00
129-04249,2020-03-27 06:50:00,71.79,100.00
129-04249,2020-03-27 07:00:00,70.79,100.00
129-04249,2020-03-27 07:10:00,68.61,100.00
129-04249,2020-03-27 07:20:00,70.78,100.00
129-04249,2020-03-27 07:30:00,67.36,100.00
129-04249,2020-03-27 07:40:00,66.19,100.00
129-04249,2020-03-27 07:50:00,65.89,100.00
129-04249,2020-03-27 08:00:00,66.72,100.00
129-04249,2020-03-27 08:10:00,68.56,91.90
129-04249,2020-03-27 08:20:00,72.95,73.40
129-04249,2020-03-27 08:30:00,72.44,100.00
129-04249,2020-03-27 08:40:00,72.58,100.00
129-04249,2020-03-27 08:50:00,71.26,98.80
129-04249,2020-03-27 09:00:00,70.67,98.60
129-04249,2020-03-27 09:10:00,67.38,98.50
129-04249,2020-03-27 09:20:00,70.19,100.00
129-04249,2020-03-27 09:30:00,66.99,100.00
129-04249,2020-03-27 09:40:00,66.89,100.00
129-04249,2020-03-27 09:50:00,66.79,100.00
129-04249,2020-03-27 10:00:00,64.77,100.00
129-04249,2020-03-27 10:10:00,65.26,100.00
129-04249,2020-03-27 10:20:00,66.69,100.00
129-04249,2020-03-27 10:30:00,68.79,100.00
129-04249,2020-03-27 10:40:00,72.27,59.10
129-04249,2020-03-27 10:50:00,69.87,95.20
129-04249,2020-03-27 11:00:00,67.49,100.00
129-04249,2020-03-27 11:10:00,69.33,100.00
129-04249,2020-03-27 11:20:00,67.36,100.00
129-04249,2020-03-27 11:30:00,64.88,100.00
129-04249,2020-03-27 11:40:00,68.97,100.00
129-04249,2020-03-27 11:50:00,68.82,100.00
129-04249,2020-03-27 12:00:00,67.65,100.00
129-04249,2020-03-27 12:10:00,66.17,100.00
129-04249,2020-03-27 12:20:00,65.79,100.00
129-04249,2020-03-27 12:30:00,71.60,100.00
129-04249,2020-03-27 12:40:00,69.37,100.00
129-04249,2020-03-27 12:50:00,66.85,100.00
129-04249,2020-03-27 13:00:00,68.66,100.00
129-04249,2020-03-27 13:10:00,65.99,100.00
129-04249,2020-03-27 13:20:00,68.47,99.70
129-04249,2020-03-27 13:30:00,69.18,100.00
129-04249,2020-03-27 13:40:00,71.66,100.00
129-04249,2020-03-27 13:50:00,69.78,100.00
129-04249,2020-03-27 14:00:00,67.22,100.00
129-04249,2020-03-27 14:10:00,67.38,100.00
129-04249,2020-03-27 14:20:00,66.77,99.40
129-04249,2020-03-27 14:30:00,68.88,99.90
129-04249,2020-03-27 14:40:00,72.99,61.60
129-04249,2020-03-27 14:50:00,69.58,100.00
129-04249,2020-03-27 15:00:00,70.39,99.80
129-04249,2020-03-27 15:10:00,69.18,100.00
129-04249,2020-03-27 15:20:00,68.59,100.00
129-04249,2020-03-27 15:30:00,69.17,100.00
129-04249,2020-03-27 15:40:00,71.08,100.00
129-04249,2020-03-27 15:50:00,67.69,100.00
129-04249,2020-03-27 16:00:00,64.68,100.00
129-04249,2020-03-27 16:10:00,70.05,100.00
129-04249,2020-03-27 16:20:00,68.58,100.00
129-04249,2020-03-27 16:30:00,70.00,100.00
129-04249,2020-03-27 16:40:00,69.29,99.80
129-04249,2020-03-27 16:50:00,68.02,100.00
129-04249,2020-03-27 17:00:00,71.10,99.80
129-04249,2020-03-27 17:10:00,71.69,100.00
129-04249,2020-03-27 17:20:00,73.55,95.20
129-04249,2020-03-27 17:30:00,70.78,98.60
129-04249,2020-03-27 17:40:00,70.99,100.00
129-04249,2020-03-27 17:50:00,72.96,98.90
129-04249,2020-03-27 18:00:00,69.90,99.00
129-04249,2020-03-27 18:10:00,70.97,100.00
129-04249,2020-03-27 18:20:00,70.29,100.00
129-04249,2020-03-27 18:30:00,68.75,90.80
129-04249,2020-03-27 18:40:00,70.57,100.00
129-04249,2020-03-27 18:50:00,72.53,100.00
129-04249,2020-03-27 19:00:00,67.34,100.00
129-04249,2020-03-27 19:10:00,66.94,100.00
129-04249,2020-03-27 19:20:00,70.98,83.30
129-04249,2020-03-27 19:30:00,64.33,91.80
129-04249,2020-03-27 19:40:00,71.82,74.30
129-04249,2020-03-27 19:50:00,62.98,100.00
129-04249,2020-03-27 20:00:00,66.85,100.00
129-04249,2020-03-27 20:10:00,67.03,93.50
129-04249,2020-03-27 20:20:00,70.28,75.80
129-04249,2020-03-27 20:30:00,71.55,61.80
129-04249,2020-03-27 20:40:00,65.19,100.00
129-04249,2020-03-27 20:50:00,71.15,67.20
129-04249,2020-03-27 21:00:00,64.18,100.00
129-04249,2020-03-27 21:10:00,63.85,100.00
129-04249,2020-03-27 21:20:00,64.89,100.00
129-04249,2020-03-27 21:30:00,61.23,73.80
129-04249,2020-03-27 21:40:00,61.82,100.00
129-04249,2020-03-27 21:50:00,64.93,100.00
129-04249,2020-03-27 22:00:00,65.09,100.00
129-04249,2020-03-27 22:10:00,68.24,99.63
129-04249,2020-03-27 22:20:00,63.86,100.00
129-04249,2020-03-27 22:30:00,62.87,100.00
129-04249,2020-03-27 22:40:00,65.23,100.00
129-04249,2020-03-27 22:50:00,69.35,61.50
129-04249,2020-03-27 23:00:00,68.75,21.50
129-04249,2020-03-27 23:10:00,69.17,90.10
129-04249,2020-03-27 23:20:00,61.98,67.50
129-04249,2020-03-27 23:30:00,65.37,93.20
129-04249,2020-03-27 23:40:00,67.96,96.10
129-04249,2020-03-27 23:50:00,62.20,83.70
129-04247,2020-03-27 00:00:00,,
129-04247,2020-03-27 00:10:00,,
129-04247,2020-03-27 00:20:00,65.00,92.00
129-04247,2020-03-27 00:30:00,65.00,94.50
129-04247,2020-03-27 00:40:00,51.37,89.70
129-04247,2020-03-27 00:50:00,52.96,94.33
129-04247,2020-03-27 01:00:00,61.75,81.89
129-04247,2020-03-27 01:10:00,64.00,82.70
129-04247,2020-03-27 01:20:00,,
129-04247,2020-03-27 01:30:00,61.00,99.80
129-04247,2020-03-27 01:40:00,,
129-04247,2020-03-27 01:50:00,56.09,80.33
129-04247,2020-03-27 02:00:00,58.71,99.29
129-04247,2020-03-27 02:10:00,57.00,100.00
129-04247,2020-03-27 02:20:00,60.14,89.33
129-04247,2020-03-27 02:30:00,73.02,24.90
129-04247,2020-03-27 02:40:00,56.59,76.30
129-04247,2020-03-27 02:50:00,60.93,90.10
129-04247,2020-03-27 03:00:00,63.86,91.90
129-04247,2020-03-27 03:10:00,63.42,96.00
129-04247,2020-03-27 03:20:00,62.89,99.00
129-04247,2020-03-27 03:30:00,66.00,88.67
129-04247,2020-03-27 03:40:00,61.47,95.20
129-04247,2020-03-27 03:50:00,62.74,93.60
129-04247,2020-03-27 04:00:00,66.56,82.90
129-04247,2020-03-27 04:10:00,70.70,88.00
129-04247,2020-03-27 04:20:00,67.11,87.90
129-04247,2020-03-27 04:30:00,70.74,51.60
129-04247,2020-03-27 04:40:00,72.42,61.00
129-04247,2020-03-27 04:50:00,68.46,65.60
129-04247,2020-03-27 05:00:00,76.77,72.70
129-04247,2020-03-27 05:10:00,78.06,71.30
129-04247,2020-03-27 05:20:00,76.12,94.50
129-04247,2020-03-27 05:30:00,72.79,89.10
129-04247,2020-03-27 05:40:00,69.99,100.00
129-04247,2020-03-27 05:50:00,72.04,95.30
129-04247,2020-03-27 06:00:00,75.13,98.10
129-04247,2020-03-27 06:10:00,68.94,100.00
129-04247,2020-03-27 06:20:00,70.06,99.20
129-04247,2020-03-27 06:30:00,70.83,100.00
129-04247,2020-03-27 06:40:00,69.48,100.00
129-04247,2020-03-27 06:50:00,71.57,100.00
129-04247,2020-03-27 07:00:00,71.29,100.00
129-04247,2020-03-27 07:10:00,72.15,100.00
129-04247,2020-03-27 07:20:00,69.49,90.60
129-04247,2020-03-27 07:30:00,65.84,100.00
129-04247,2020-03-27 07:40:00,66.57,100.00
129-04247,2020-03-27 07:50:00,69.95,100.00
129-04247,2020-03-27 08:00:00,67.25,100.00
129-04247,2020-03-27 08:10:00,66.54,98.10
129-04247,2020-03-27 08:20:00,67.45,80.20
129-04247,2020-03-27 08:30:00,71.47,75.70
129-04247,2020-03-27 08:40:00,69.67,100.00
129-04247,2020-03-27 08:50:00,71.75,99.80
129-04247,2020-03-27 09:00:00,74.87,76.20
129-04247,2020-03-27 09:10:00,67.51,79.10
129-04247,2020-03-27 09:20:00,70.04,94.80
129-04247,2020-03-27 09:30:00,67.66,100.00
129-04247,2020-03-27 09:40:00,70.36,97.80
129-04247,2020-03-27 09:50:00,65.18,83.80
129-04247,2020-03-27 10:00:00,64.15,90.30
129-04247,2020-03-27 10:10:00,65.20,96.70
129-04247,2020-03-27 10:20:00,63.87,98.60
129-04247,2020-03-27 10:30:00,62.96,100.00
129-04247,2020-03-27 10:40:00,65.95,84.50
129-04247,2020-03-27 10:50:00,65.54,89.40
129-04247,2020-03-27 11:00:00,68.82,84.60
129-04247,2020-03-27 11:10:00,67.55,94.80
129-04247,2020-03-27 11:20:00,72.81,67.60
129-04247,2020-03-27 11:30:00,65.27,100.00
129-04247,2020-03-27 11:40:00,69.94,91.70
129-04247,2020-03-27 11:50:00,69.84,100.00
129-04247,2020-03-27 12:00:00,71.69,98.90
129-04247,2020-03-27 12:10:00,71.49,90.50
129-04247,2020-03-27 12:20:00,66.55,100.00
129-04247,2020-03-27 12:30:00,69.51,100.00
129-04247,2020-03-27 12:40:00,68.07,100.00
129-04247,2020-03-27 12:50:00,64.96,100.00
129-04247,2020-03-27 13:00:00,66.64,100.00
129-04247,2020-03-27 13:10:00,66.85,100.00
129-04247,2020-03-27 13:20:00,69.11,96.30
129-04247,2020-03-27 13:30:00,67.91,100.00
129-04247,2020-03-27 13:40:00,71.19,95.70
129-04247,2020-03-27 13:50:00,69.86,93.20
129-04247,2020-03-27 14:00:00,67.64,100.00
129-04247,2020-03-27 14:10:00,67.63,99.00
129-04247,2020-03-27 14:20:00,67.25,98.60
129-04247,2020-03-27 14:30:00,68.71,99.20
129-04247,2020-03-27 14:40:00,64.39,100.00
129-04247,2020-03-27 14:50:00,68.03,94.80
129-04247,2020-03-27 15:00:00,67.98,100.00
129-04247,2020-03-27 15:10:00,77.05,56.70
129-04247,2020-03-27 15:20:00,74.16,67.20
129-04247,2020-03-27 15:30:00,76.34,84.40
129-04247,2020-03-27 15:40:00,73.85,100.00
129-04247,2020-03-27 15:50:00,72.84,97.10
129-04247,2020-03-27 16:00:00,69.75,98.50
129-04247,2020-03-27 16:10:00,72.85,100.00
129-04247,2020-03-27 16:20:00,70.23,99.70
129-04247,2020-03-27 16:30:00,65.70,100.00
129-04247,2020-03-27 16:40:00,68.97,96.10
129-04247,2020-03-27 16:50:00,70.83,100.00
129-04247,2020-03-27 17:00:00,70.43,100.00
129-04247,2020-03-27 17:10:00,72.69,87.90
129-04247,2020-03-27 17:20:00,70.54,91.40
129-04247,2020-03-27 17:30:00,66.57,100.00
129-04247,2020-03-27 17:40:00,67.18,100.00
129-04247,2020-03-27 17:50:00,69.53,94.90
129-04247,2020-03-27 18:00:00,68.68,97.90
129-04247,2020-03-27 18:10:00,74.04,55.20
129-04247,2020-03-27 18:20:00,66.40,99.60
129-04247,2020-03-27 18:30:00,65.74,100.00
129-04247,2020-03-27 18:40:00,66.63,100.00
129-04247,2020-03-27 18:50:00,67.21,100.00
129-04247,2020-03-27 19:00:00,67.59,100.00
129-04247,2020-03-27 19:10:00,66.88,100.00
129-04247,2020-03-27 19:20:00,66.49,100.00
129-04247,2020-03-27 19:30:00,67.94,100.00
129-04247,2020-03-27 19:40:00,70.18,76.80
129-04247,2020-03-27 19:50:00,70.46,83.80
129-04247,2020-03-27 20:00:00,67.75,100.00
129-04247,2020-03-27 20:10:00,67.74,99.86
129-04247,2020-03-27 20:20:00,70.22,88.00
129-04247,2020-03-27 20:30:00,68.17,99.80
129-04247,2020-03-27 20:40:00,66.24,99.90
129-04247,2020-03-27 20:50:00,64.96,80.40
129-04247,2020-03-27 21:00:00,57.60,100.00
129-04247,2020-03-27 21:10:00,62.00,100.00
129-04247,2020-03-27 21:20:00,70.21,37.30
129-04247,2020-03-27 21:30:00,71.71,53.60
129-04247,2020-03-27 21:40:00,66.58,96.10
129-04247,2020-03-27 21:50:00,66.30,100.00
129-04247,2020-03-27 22:00:00,65.36,95.60
129-04247,2020-03-27 22:10:00,71.99,96.00
129-04247,2020-03-27 22:20:00,62.17,100.00
129-04247,2020-03-27 22:30:00,60.55,100.00
129-04247,2020-03-27 22:40:00,66.77,100.00
129-04247,2020-03-27 22:50:00,59.42,30.80
129-04247,2020-03-27 23:00:00,73.62,23.30
129-04247,2020-03-27 23:10:00,56.06,74.40
129-04247,2020-03-27 23:20:00,60.90,99.10
129-04247,2020-03-27 23:30:00,64.00,98.80
129-04247,2020-03-27 23:40:00,67.00,98.90
129-04247,2020-03-27 23:50:00,67.00,100.00
129-04248,2020-03-27 00:00:00,,
129-04248,2020-03-27 00:10:00,,
129-04248,2020-03-27 00:20:00,,
129-04248,2020-03-27 00:30:00,,
129-04248,2020-03-27 00:40:00,,
129-04248,2020-03-27 00:50:00,,
129-04248,2020-03-27 01:00:00,66.79,95.44
129-04248,2020-03-27 01:10:00,67.65,99.00
129-04248,2020-03-27 01:20:00,,
129-04248,2020-03-27 01:30:00,,
129-04248,2020-03-27 01:40:00,,
129-04248,2020-03-27 01:50:00,61.72,81.00
129-04248,2020-03-27 02:00:00,69.00,77.00
129-04248,2020-03-27 02:10:00,,
129-04248,2020-03-27 02:20:00,9.51,67.40
129-04248,2020-03-27 02:30:00,75.60,78.80
129-04248,2020-03-27 02:40:00,65.00,100.00
129-04248,2020-03-27 02:50:00,65.00,100.00
129-04248,2020-03-27 03:00:00,70.15,97.30
129-04248,2020-03-27 03:10:00,68.15,92.50
129-04248,2020-03-27 03:20:00,67.00,94.00
129-04248,2020-03-27 03:30:00,71.00,95.00
129-04248,2020-03-27 03:40:00,71.00,96.00
129-04248,2020-03-27 03:50:00,67.00,95.60
129-04248,2020-03-27 04:00:00,67.28,98.29
129-04248,2020-03-27 04:10:00,,
129-04248,2020-03-27 04:20:00,68.62,91.00
129-04248,2020-03-27 04:30:00,76.56,42.00
129-04248,2020-03-27 04:40:00,79.15,44.14
129-04248,2020-03-27 04:50:00,67.91,68.80
129-04248,2020-03-27 05:00:00,78.36,75.10
129-04248,2020-03-27 05:10:00,78.36,90.70
129-04248,2020-03-27 05:20:00,76.95,98.60
129-04248,2020-03-27 05:30:00,75.93,100.00
129-04248,2020-03-27 05:40:00,73.38,100.00
129-04248,2020-03-27 05:50:00,74.17,95.90
129-04248,2020-03-27 06:00:00,77.57,92.70
129-04248,2020-03-27 06:10:00,74.50,98.50
129-04248,2020-03-27 06:20:00,73.94,99.70
129-04248,2020-03-27 06:30:00,76.19,98.80
129-04248,2020-03-27 06:40:00,74.71,95.90
129-04248,2020-03-27 06:50:00,75.75,100.00
129-04248,2020-03-27 07:00:00,73.59,100.00
129-04248,2020-03-27 07:10:00,71.51,99.10
129-04248,2020-03-27 07:20:00,73.53,98.40
129-04248,2020-03-27 07:30:00,70.78,98.60
129-04248,2020-03-27 07:40:00,72.34,99.40
129-04248,2020-03-27 07:50:00,71.72,96.50
129-04248,2020-03-27 08:00:00,72.48,99.10
129-04248,2020-03-27 08:10:00,71.52,96.70
129-04248,2020-03-27 08:20:00,77.36,65.10
129-04248,2020-03-27 08:30:00,78.79,62.70
129-04248,2020-03-27 08:40:00,74.38,99.00
